Jan-19,Players:,Player 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Session,Type,Duration,HR min [bpm],HR avg [bpm],HR max [bpm],HR min [%],HR avg [%],HR max [%],HR zones 1 ,HR zones 2 ,HR zones 3 ,HR zones 4 ,HR zones 5 ,Total distance [yd],Distance / min [yd/min],Maximum speed [mph],Average speed [mph],Sprints,Speed zones 1 [yd],Speed zones 2 [yd],Speed zones 3 [yd],Speed zones 4 [yd],Speed zones 5 [yd],Training load score,Calories [kcal],Number of accelerations 1 ,Number of accelerations 2 ,Number of accelerations 3 ,Number of accelerations 4 ,Number of decelerations 1 ,Number of decelerations 2 ,Number of decelerations 3 ,Number of decelerations 4 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 1 Jan,,,1:33:15,87,119,168,44,60,84,0:28:48,0:25:56,0:13:18,0:04:09,0:00:00,3140.52,33.68,17.29,1.16,23,1283.68,706.14,310.91,209.1,341.1,73,982,412,72,40,23,267,237,51,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:10 PM Basketball,,Training,1:33:15,87,119,168,44,60,84,0:28:48,0:25:56,0:13:18,0:04:09,0:00:00,3140.52,33.68,17.29,1.16,23,1283.68,706.14,310.91,209.1,341.1,73,982,412,72,40,23,267,237,51,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 3 Jan,,,1:39:26,54,109,239,27,55,120,0:25:03,0:14:50,0:10:29,0:04:07,0:01:29,3839.56,38.62,15.95,1.33,14,1736.22,926.4,345.14,300.09,205.93,58,848,438,105,61,14,292,263,63,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:08 PM Basketball,,Training,1:39:26,54,109,239,27,55,120,0:25:03,0:14:50,0:10:29,0:04:07,0:01:29,3839.56,38.62,15.95,1.33,14,1736.22,926.4,345.14,300.09,205.93,58,848,438,105,61,14,292,263,63,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 4 Jan,,,1:26:25,69,116,210,35,58,105,0:21:21,0:24:50,0:11:26,0:02:00,0:00:50,3154.85,36.5,16.14,1.26,18,1693.13,695.65,198.93,146,109.8,63,856,436,84,39,18,259,273,55,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:12 PM Basketball,,Training,1:26:25,69,116,210,35,58,105,0:21:21,0:24:50,0:11:26,0:02:00,0:00:50,3154.85,36.5,16.14,1.26,18,1693.13,695.65,198.93,146,109.8,63,856,436,84,39,18,259,273,55,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 7 Jan,,,1:48:10,51,117,212,26,59,106,0:23:50,0:26:17,0:16:20,0:05:07,0:00:20,4492.66,41.54,16.81,1.44,21,2319.98,997.48,420.82,200.02,218.83,82,1072,491,126,44,21,298,331,58,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:18 PM Basketball,,Training,1:48:10,51,117,212,26,59,106,0:23:50,0:26:17,0:16:20,0:05:07,0:00:20,4492.66,41.54,16.81,1.44,21,2319.98,997.48,420.82,200.02,218.83,82,1072,491,126,44,21,298,331,58,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 8 Jan,,,1:29:37,60,120,201,30,60,100,0:32:53,0:18:26,0:19:53,0:01:06,0:00:23,3403.97,37.98,14.79,1.29,5,1710.3,774.82,333.33,156.82,113.84,71,946,459,99,42,5,292,278,47,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:13 PM Basketball,,Training,1:29:37,60,120,201,30,60,100,0:32:53,0:18:26,0:19:53,0:01:06,0:00:23,3403.97,37.98,14.79,1.29,5,1710.3,774.82,333.33,156.82,113.84,71,946,459,99,42,5,292,278,47,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu 10 Jan,,,1:38:04,66,109,198,33,55,99,0:19:10,0:30:44,0:08:45,0:00:01,0:00:01,3523.5,35.93,16.22,1.23,6,1937.88,765.96,289.15,71.08,82.35,53,848,521,153,38,6,297,330,66,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:55 PM Basketball,,Training,1:38:04,66,109,198,33,55,99,0:19:10,0:30:44,0:08:45,0:00:01,0:00:01,3523.5,35.93,16.22,1.23,6,1937.88,765.96,289.15,71.08,82.35,53,848,521,153,38,6,297,330,66,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 11 Jan,,,1:17:52,21,114,235,11,57,118,0:12:16,0:10:18,0:11:57,0:03:41,0:02:44,3013.77,38.7,16.22,1.34,14,1464.56,719.27,234.8,107.39,216.75,60,704,401,74,24,14,215,240,42,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:34 PM Basketball,,Training,1:17:52,21,114,235,11,57,118,0:12:16,0:10:18,0:11:57,0:03:41,0:02:44,3013.77,38.7,16.22,1.34,14,1464.56,719.27,234.8,107.39,216.75,60,704,401,74,24,14,215,240,42,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 14 Jan,,,2:56:17,44,119,221,22,60,111,0:32:55,0:43:05,0:24:44,0:07:06,0:01:46,6271.74,35.58,16.43,1.41,7,3114.05,1527.12,626.2,256.67,178.48,122,1655,806,232,73,7,482,516,83,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:45 PM Basketball,,Training,2:56:17,44,119,221,22,60,111,0:32:55,0:43:05,0:24:44,0:07:06,0:01:46,6271.74,35.58,16.43,1.41,7,3114.05,1527.12,626.2,256.67,178.48,122,1655,806,232,73,7,482,516,83,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue 15 Jan,,,2:13:02,37,107,209,19,54,105,0:31:11,0:25:28,0:07:57,0:00:51,0:00:27,4406.37,33.13,16.43,1.24,10,2401.68,1015.74,304.46,111.22,151.9,53,959,586,151,55,10,331,379,65,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:42 PM Basketball,,Training,2:13:02,37,107,209,19,54,105,0:31:11,0:25:28,0:07:57,0:00:51,0:00:27,4406.37,33.13,16.43,1.24,10,2401.68,1015.74,304.46,111.22,151.9,53,959,586,151,55,10,331,379,65,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri 18 Jan,,,2:11:39,43,115,221,22,58,111,0:18:59,0:15:49,0:16:43,0:04:38,0:01:28,3288.49,24.98,15.86,1.12,6,1709.31,838.91,289.92,94.93,35.76,69,995,468,92,53,6,271,301,42,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:51 PM Basketball,,Training,2:11:39,43,115,221,22,58,111,0:18:59,0:15:49,0:16:43,0:04:38,0:01:28,3288.49,24.98,15.86,1.12,6,1709.31,838.91,289.92,94.93,35.76,69,995,468,92,53,6,271,301,42,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun 20 Jan,,,1:26:37,28,126,234,14,63,118,0:12:04,0:16:03,0:12:15,0:06:35,0:03:15,2590.43,29.91,12.29,1.19,2,1364.61,709.86,145.34,96.35,11.92,83,847,377,85,31,2,215,227,41,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:52 PM Basketball,,Training,1:26:37,28,126,234,14,63,118,0:12:04,0:16:03,0:12:15,0:06:35,0:03:15,2590.43,29.91,12.29,1.19,2,1364.61,709.86,145.34,96.35,11.92,83,847,377,85,31,2,215,227,41,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon 21 Jan,,,1:44:00,56,104,227,28,52,114,0:23:16,0:18:48,0:08:40,0:00:36,0:00:27,3615.91,34.77,13.45,1.22,4,1918.96,1013.12,190.94,87.93,29.2,44,777,564,124,36,4,318,312,61,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:33 PM Basketball,,Training,1:44:00,56,104,227,28,52,114,0:23:16,0:18:48,0:08:40,0:00:36,0:00:27,3615.91,34.77,13.45,1.22,4,1918.96,1013.12,190.94,87.93,29.2,44,777,564,124,36,4,318,312,61,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
