Name;"Group Id";"Group name";"League ID";"Player ID";"Distance (mi)";"Distance (speed | extreme) (mi)";"Distance (speed | high) (mi)";"Distance (speed | low) (mi)";"Distance (speed | medium) (mi)";"Distance (speed | very high) (mi)";"Distance (speed | very low) (mi)";"Distance / min (mi)";"Distance / min (speed | extreme) (mi)";"Distance / min (speed | high) (mi)";"Distance / min (speed | low) (mi)";"Distance / min (speed | medium) (mi)";"Distance / min (speed | very high) (mi)";"Distance / min (speed | very low) (mi)";Number;Position;"Speed (% of max.) (%)";"Speed (max.) (mph)";"Speed (Ø) (mph)";"Time (s)";"Time (speed | extreme) (s)";"Time (speed | high) (s)";"Time (speed | low) (s)";"Time (speed | medium) (s)";"Time (speed | very high) (s)";"Time (speed | very low) (s)";"Time on Playing Field (s)";"Accel 1";"Accel 1 / min";"Accel 2";"Accel 2 / min";"Accel 3";"Accel 3 / min";"Accel 4";"Accel 4 / min";"Acceleration (max.) (ft/s²)";"Acceleration Load (distance | high) (mi)";"Acceleration Load (distance | low) (mi)";"Acceleration Load (distance | medium) (mi)";"Acceleration Load (distance | very high) (mi)";"Acceleration Load (load | high)";"Acceleration Load (load | low)";"Acceleration Load (load | medium)";"Acceleration Load (load | very high)";"Acceleration Load (max.)";"Acceleration Load (time | high) (s)";"Acceleration Load (time | low) (s)";"Acceleration Load (time | medium) (s)";"Acceleration Load (time | very high) (s)";"Acceleration Load / min";"Accels Load";"Accels Load / min";"Accumulated Acceleration Load";"Accumulated Acceleration Load / min";"Anaerobic Activity (distance) (mi)";"Anaerobic Activity (time) (s)";"Decel 1";"Decel 1 / min";"Decel 2";"Decel 2 / min";"Decel 3";"Decel 3 / min";"Decel 4";"Decel 4 / min";"Deceleration (max.) (ft/s²)";"Decels Load";"Decels Load / min";"High Metabolic Power Distance (m)";"High Metabolic Power Distance / min (m)";"High Speed and Acceleration Distance (m)";"High Speed and Acceleration Distance / min (m)";"High Speed and Acceleration Time (s)";"Jump Load (J)";"Jump Load / min (J)";"Jump Load per mass (J/kg)";"Jump Load per mass / min (J/kg)";"Mechanical Intensity";"Mechanical Intensity (def.)";"Mechanical Intensity (off.)";"Mechanical Load";"Mechanical Load (def.)";"Mechanical Load (off.)";"Metabolic Power (max.) (W)";"Metabolic Power (time | high) (s)";"Metabolic Power (time | low) (s)";"Metabolic Power (time | medium) (s)";"Metabolic Power (time | very high) (s)";"Metabolic Power (Ø) (W)";"Metabolic Power per mass (max.) (W/kg)";"Metabolic Power per mass (Ø) (W/kg)";"Metabolic Work (kcal)";"Metabolic Work / min (kcal)";"Physio Intensity";"Physio Load";"Heart Rate (max.) (bpm)";"Heart Rate (min.) (bpm)";"Heart Rate (time | 0 - 50%) (s)";"Heart Rate (time | 50 - 60%) (s)";"Heart Rate (time | 60 - 70%) (s)";"Heart Rate (time | 70 - 80%) (s)";"Heart Rate (time | 80 - 90%) (s)";"Heart Rate (time | ≥ 90%) (s)";"Heart Rate (Ø) (bpm)";"Heart Rate Recoveries";"Heart Rate Recoveries / min";"Human Core Temperature (max.) (°F)";"Human Core Temperature (Ø) (°F)";TRIMP;Accelerations;"Accelerations (high)";"Accelerations (low)";"Accelerations (medium)";"Accelerations (very high)";"Accelerations / min";"Accelerations / min (high)";"Accelerations / min (low)";"Accelerations / min (medium)";"Accelerations / min (very high)";"Changes of Direction";"Changes of Direction (left)";"Changes of Direction (right)";"Changes of Direction / min";"Changes of Direction / min (left)";"Changes of Direction / min (right)";"Changes of Orientation";"Changes of Orientation / min";Decelerations;"Decelerations (high)";"Decelerations (low)";"Decelerations (medium)";"Decelerations (very high)";"Decelerations / min";"Decelerations / min (high)";"Decelerations / min (low)";"Decelerations / min (medium)";"Decelerations / min (very high)";Exertions;"Exertions (high)";"Exertions (low)";"Exertions (medium)";"Exertions (very high)";"Exertions / min";"Exertions / min (high)";"Exertions / min (low)";"Exertions / min (medium)";"Exertions / min (very high)";FCTs;"FCTs (high)";"FCTs (low)";"FCTs (medium)";"FCTs / min";"FCTs / min (high)";"FCTs / min (low)";"FCTs / min (medium)";Jumps;"Jumps (high)";"Jumps (low)";"Jumps (medium)";"Jumps (very high)";"Jumps / min";"Jumps / min (high)";"Jumps / min (low)";"Jumps / min (medium)";"Jumps / min (very high)";MCTs;"MCTs (high)";"MCTs (low)";"MCTs (medium)";"MCTs / min";"MCTs / min (high)";"MCTs / min (low)";"MCTs / min (medium)";Sprints;"Sprints (high)";"Sprints (low)";"Sprints (medium)";"Sprints (very high)";"Sprints / min";"Sprints / min (high)";"Sprints / min (low)";"Sprints / min (medium)";"Sprints / min (very high)";"Noah Shots";"Noah Shots (make)";"Noah Shots (miss)";"Noah Shots / min";"Noah Shots / min (make)";"Noah Shots / min (miss)";"RSPCT Shots";"RSPCT Shots (make)";"RSPCT Shots (miss)";"RSPCT Shots / min";"RSPCT Shots / min (make)";"RSPCT Shots / min (miss)";Description;Types
"Bubba Parham";1;GUARDS;40329;16;2.968;0;0;0;0;0;0;0.019;0;0;0;0;0;0;3;Guard;62;15.35;1.12;9577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.807;1.126;0.459;0.575;189.83;289.15;131.99;117.72;8.08;502;8330;494;251;0.81;489.91;3.07;728.69;4.57;1.199;609;0;0;0;0;0;0;0;0;0;1481.32;9.28;0;0;0;0;0;15572.65;97.56;213.24;1.34;12.35;0;0;1971.23;0;0;0;0;0;0;0;0;0;0;345.23;2.16;5.1;812.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;0.9;0;0;0;0;0;0;0;0;0;0;210;67;53;83;7;1.32;0.42;0.33;0.52;0.04;0;0;0;0;0;0;0;0;104;2;94;6;2;0.65;0.01;0.59;0.04;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #13 Duke";Game
"Deebo Coleman";1;GUARDS;63391;19;2.476;0;0;0;0;0;0;0.016;0;0;0;0;0;0;10;Forward;66;16.4;0.93;9575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.551;0.866;0.325;0.733;145.28;231.15;99.55;167.63;9.34;379;8505;360;331;0.72;374.82;2.35;643.61;4.03;1.139;591;0;0;0;0;0;0;0;0;0;1221.82;7.66;0;0;0;0;0;18330.74;114.87;187.97;1.18;10.01;0;0;1596.64;0;0;0;0;0;0;0;0;0;0;375.84;2.36;5.7;905.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0.75;0;0;0;0;0;0;0;0;0;0;175;59;39;55;22;1.1;0.37;0.24;0.34;0.14;0;0;0;0;0;0;0;0;90;5;82;2;1;0.56;0.03;0.51;0.01;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #13 Duke";Game
"Devion Smith";1;GUARDS;63390;30;0.561;0;0;0;0;0;0;0.004;0;0;0;0;0;0;5;Forward;37;9.23;0.21;9577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.017;0.477;0.058;0.01;4.25;144.92;14.26;3.17;7.4;13;9494;64;6;0.19;148.68;0.93;166.6;1.04;0.017;12;0;0;0;0;0;0;0;0;0;434.86;2.72;0;0;0;0;0;3709.18;23.24;47.54;0.3;3.66;0;0;583.55;0;0;0;0;0;0;0;0;0;0;62.95;0.39;1;164.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0.03;0;0;0;0;0;0;0;0;0;0;6;2;2;1;1;0.04;0.01;0.01;0.01;0.01;0;0;0;0;0;0;0;0;21;0;19;1;1;0.13;0;0.12;0.01;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #13 Duke";Game
"Jordan Meka";2;BIGS;64244;24;2.752;0;0;0;0;0;0;0.017;0;0;0;0;0;0;23;Center;58;14.42;1.04;9577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.742;1.158;0.48;0.373;172.7;269.05;143.08;96.34;8.67;455;8405;514;203;0.76;417.77;2.62;681.18;4.27;0.914;505;0;0;0;0;0;0;0;0;0;1321.64;8.28;0;0;0;0;0;41487.4;259.92;406.5;2.55;10.9;0;0;1739.41;0;0;0;0;0;0;0;0;0;0;439.57;2.75;6.6;1053.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182;1.14;0;0;0;0;0;0;0;0;0;0;170;40;46;73;11;1.07;0.25;0.29;0.46;0.07;0;0;0;0;0;0;0;0;150;12;116;14;8;0.94;0.08;0.73;0.09;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #13 Duke";Game
"Jordan Usher";1;GUARDS;37356;17;3.535;0;0;0;0;0;0;0.022;0;0;0;0;0;0;4;Forward;64;16.02;1.33;9577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.85;1.613;0.56;0.511;208.45;349.35;158.94;119.06;9.32;556;8185;587;249;0.93;592.14;3.71;835.79;5.24;1.139;629;0;0;0;0;0;0;0;0;0;1789.64;11.21;0;0;0;0;0;24455.58;153.21;245.07;1.54;14.92;0;0;2381.77;0;0;0;0;0;0;0;0;0;0;559.86;3.51;8.3;1322.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;0.91;0;0;0;0;0;0;0;0;0;0;222;58;55;90;19;1.39;0.36;0.34;0.56;0.12;0;0;0;0;0;0;0;0;99;4;86;9;0;0.62;0.03;0.54;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #13 Duke";Game
"Khalid Moore";1;GUARDS;29932;21;2.854;0;0;0;0;0;0;0.018;0;0;0;0;0;0;12;Forward;73;18.19;1.08;9536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.818;1.099;0.418;0.518;192.29;256.01;123.6;114.41;8.59;499;8339;457;241;0.77;430.23;2.71;686.31;4.32;1.151;595;0;0;0;0;0;0;0;0;0;1364.18;8.58;0;0;0;0;0;31153.95;196.01;330.2;2.08;11.29;0;0;1794.41;0;0;0;0;0;0;0;0;0;0;431.47;2.71;6.4;1009.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;1.06;0;0;0;0;0;0;0;0;0;0;183;53;41;79;10;1.15;0.33;0.26;0.5;0.06;0;0;0;0;0;0;0;0;149;5;127;15;2;0.94;0.03;0.8;0.09;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #13 Duke";Game
"Kyle Sturdivant";1;GUARDS;64242;14;2.611;0;0;0;0;0;0;0.016;0;0;0;0;0;0;1;Guard;69;17.05;0.98;9577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.611;1.023;0.41;0.567;148.7;234.71;115.21;116.22;8.38;388;8525;423;241;0.68;402.09;2.52;614.84;3.85;1.013;504;0;0;0;0;0;0;0;0;0;1296.55;8.12;0;0;0;0;0;25088.87;157.18;280.76;1.76;10.64;0;0;1698.64;0;0;0;0;0;0;0;0;0;0;374.05;2.34;5.5;874.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133;0.83;0;0;0;0;0;0;0;0;0;0;182;63;46;58;15;1.14;0.39;0.29;0.36;0.09;0;0;0;0;0;0;0;0;147;1;135;10;1;0.92;0.01;0.85;0.06;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #13 Duke";Game
"Michael Devoe";1;GUARDS;29933;31;3.851;0;0;0;0;0;0;0.024;0;0;0;0;0;0;99;Guard;56;13.82;1.45;9577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.835;1.886;0.528;0.602;230.16;399.04;173.43;139.9;10.09;598;8051;629;299;1.05;583.55;3.66;942.53;5.9;1.251;733;0;0;0;0;0;0;0;0;0;1986.14;12.44;0;0;0;0;0;28932.12;181.26;333.93;2.09;16.1;0;0;2569.68;0;0;0;0;0;0;0;0;0;0;512.84;3.21;7.8;1251.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;226;1.42;0;0;0;0;0;0;0;0;0;0;253;73;47;124;9;1.59;0.46;0.29;0.78;0.06;0;0;0;0;0;0;0;0;157;3;144;7;3;0.98;0.02;0.9;0.04;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #13 Duke";Game
"Miles Kelly";1;GUARDS;63392;22;0.379;0;0;0;0;0;0;0.002;0;0;0;0;0;0;13;Guard;31;7.67;0.14;9577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.017;0.321;0.041;0;3.48;107.35;10.72;0.03;5.41;11;9518;48;0;0.14;101;0.63;121.59;0.76;0.005;3;0;0;0;0;0;0;0;0;0;252.55;1.58;0;0;0;0;0;1122.64;7.03;14.47;0.09;2.21;0;0;353.55;0;0;0;0;0;0;0;0;0;0;42.3;0.27;0.7;110.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.01;0;0;0;0;0;0;0;0;0;0;3;0;2;1;0;0.02;0;0.01;0.01;0;0;0;0;0;0;0;0;0;8;0;8;0;0;0.05;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #13 Duke";Game
"Saba Gigiberia";2;BIGS;50661;15;1.878;0;0;0;0;0;0;0.012;0;0;0;0;0;0;2;Center;65;16.16;0.71;9555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.45;0.829;0.283;0.317;118.9;224.85;91.09;75.76;8.85;309;8751;336;159;0.57;338.41;2.13;510.6;3.21;0.646;372;0;0;0;0;0;0;0;0;0;1014.41;6.37;0;0;0;0;0;22561.5;141.68;200.56;1.26;8.5;0;0;1352.82;0;0;0;0;0;0;0;0;0;0;332.47;2.09;5;792.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178;1.12;0;0;0;0;0;0;0;0;0;0;115;34;25;50;6;0.72;0.21;0.16;0.31;0.04;0;0;0;0;0;0;0;0;93;2;85;6;0;0.58;0.01;0.53;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #13 Duke";Game
