Name;"Group Id";"Group name";"League ID";"Player ID";"Distance (mi)";"Distance (speed | extreme) (mi)";"Distance (speed | high) (mi)";"Distance (speed | low) (mi)";"Distance (speed | medium) (mi)";"Distance (speed | very high) (mi)";"Distance (speed | very low) (mi)";"Distance / min (mi)";"Distance / min (speed | extreme) (mi)";"Distance / min (speed | high) (mi)";"Distance / min (speed | low) (mi)";"Distance / min (speed | medium) (mi)";"Distance / min (speed | very high) (mi)";"Distance / min (speed | very low) (mi)";Number;Position;"Speed (% of max.) (%)";"Speed (max.) (mph)";"Speed (Ø) (mph)";"Time (s)";"Time (speed | extreme) (s)";"Time (speed | high) (s)";"Time (speed | low) (s)";"Time (speed | medium) (s)";"Time (speed | very high) (s)";"Time (speed | very low) (s)";"Time on Playing Field (s)";"Accel 1";"Accel 1 / min";"Accel 2";"Accel 2 / min";"Accel 3";"Accel 3 / min";"Accel 4";"Accel 4 / min";"Acceleration (max.) (ft/s²)";"Acceleration Load (distance | high) (mi)";"Acceleration Load (distance | low) (mi)";"Acceleration Load (distance | medium) (mi)";"Acceleration Load (distance | very high) (mi)";"Acceleration Load (load | high)";"Acceleration Load (load | low)";"Acceleration Load (load | medium)";"Acceleration Load (load | very high)";"Acceleration Load (max.)";"Acceleration Load (time | high) (s)";"Acceleration Load (time | low) (s)";"Acceleration Load (time | medium) (s)";"Acceleration Load (time | very high) (s)";"Acceleration Load / min";"Accels Load";"Accels Load / min";"Accumulated Acceleration Load";"Accumulated Acceleration Load / min";"Anaerobic Activity (distance) (mi)";"Anaerobic Activity (time) (s)";"Decel 1";"Decel 1 / min";"Decel 2";"Decel 2 / min";"Decel 3";"Decel 3 / min";"Decel 4";"Decel 4 / min";"Deceleration (max.) (ft/s²)";"Decels Load";"Decels Load / min";"High Metabolic Power Distance (m)";"High Metabolic Power Distance / min (m)";"High Speed and Acceleration Distance (m)";"High Speed and Acceleration Distance / min (m)";"High Speed and Acceleration Time (s)";"Jump Load (J)";"Jump Load / min (J)";"Jump Load per mass (J/kg)";"Jump Load per mass / min (J/kg)";"Mechanical Intensity";"Mechanical Intensity (def.)";"Mechanical Intensity (off.)";"Mechanical Load";"Mechanical Load (def.)";"Mechanical Load (off.)";"Metabolic Power (max.) (W)";"Metabolic Power (time | high) (s)";"Metabolic Power (time | low) (s)";"Metabolic Power (time | medium) (s)";"Metabolic Power (time | very high) (s)";"Metabolic Power (Ø) (W)";"Metabolic Power per mass (max.) (W/kg)";"Metabolic Power per mass (Ø) (W/kg)";"Metabolic Work (kcal)";"Metabolic Work / min (kcal)";"Physio Intensity";"Physio Load";"Heart Rate (max.) (bpm)";"Heart Rate (min.) (bpm)";"Heart Rate (time | 0 - 50%) (s)";"Heart Rate (time | 50 - 60%) (s)";"Heart Rate (time | 60 - 70%) (s)";"Heart Rate (time | 70 - 80%) (s)";"Heart Rate (time | 80 - 90%) (s)";"Heart Rate (time | ≥ 90%) (s)";"Heart Rate (Ø) (bpm)";"Heart Rate Recoveries";"Heart Rate Recoveries / min";"Human Core Temperature (max.) (°F)";"Human Core Temperature (Ø) (°F)";TRIMP;Accelerations;"Accelerations (high)";"Accelerations (low)";"Accelerations (medium)";"Accelerations (very high)";"Accelerations / min";"Accelerations / min (high)";"Accelerations / min (low)";"Accelerations / min (medium)";"Accelerations / min (very high)";"Changes of Direction";"Changes of Direction (left)";"Changes of Direction (right)";"Changes of Direction / min";"Changes of Direction / min (left)";"Changes of Direction / min (right)";"Changes of Orientation";"Changes of Orientation / min";Decelerations;"Decelerations (high)";"Decelerations (low)";"Decelerations (medium)";"Decelerations (very high)";"Decelerations / min";"Decelerations / min (high)";"Decelerations / min (low)";"Decelerations / min (medium)";"Decelerations / min (very high)";Exertions;"Exertions (high)";"Exertions (low)";"Exertions (medium)";"Exertions (very high)";"Exertions / min";"Exertions / min (high)";"Exertions / min (low)";"Exertions / min (medium)";"Exertions / min (very high)";FCTs;"FCTs (high)";"FCTs (low)";"FCTs (medium)";"FCTs / min";"FCTs / min (high)";"FCTs / min (low)";"FCTs / min (medium)";Jumps;"Jumps (high)";"Jumps (low)";"Jumps (medium)";"Jumps (very high)";"Jumps / min";"Jumps / min (high)";"Jumps / min (low)";"Jumps / min (medium)";"Jumps / min (very high)";MCTs;"MCTs (high)";"MCTs (low)";"MCTs (medium)";"MCTs / min";"MCTs / min (high)";"MCTs / min (low)";"MCTs / min (medium)";Sprints;"Sprints (high)";"Sprints (low)";"Sprints (medium)";"Sprints (very high)";"Sprints / min";"Sprints / min (high)";"Sprints / min (low)";"Sprints / min (medium)";"Sprints / min (very high)";"Noah Shots";"Noah Shots (make)";"Noah Shots (miss)";"Noah Shots / min";"Noah Shots / min (make)";"Noah Shots / min (miss)";"RSPCT Shots";"RSPCT Shots (make)";"RSPCT Shots (miss)";"RSPCT Shots / min";"RSPCT Shots / min (make)";"RSPCT Shots / min (miss)";Description;Types
"Deebo Coleman";1;GUARDS;63391;19;2.503;0;0;0;0;0;0;0.018;0;0;0;0;0;0;10;Forward;61;15.29;1.07;8408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.464;0.901;0.252;0.887;131.96;220.92;76.28;218.19;10.22;329;7375;288;416;0.82;355.5;2.54;647.34;4.62;1.233;651;0;0;0;0;0;0;0;0;0;1223.73;8.73;0;0;0;0;0;22788.49;162.63;233.68;1.67;11.27;0;0;1579.23;0;0;0;0;0;0;0;0;0;0;381.39;2.72;6.5;915.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;1.2;0;0;0;0;0;0;0;0;0;0;151;58;22;37;34;1.08;0.41;0.16;0.26;0.24;0;0;0;0;0;0;0;0;134;1;129;4;0;0.96;0.01;0.92;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #9 LSU";Game
"Devion Smith";1;GUARDS;63390;30;2.593;0;0;0;0;0;0;0.019;0;0;0;0;0;0;5;Forward;62;15.35;1.11;8407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.578;1.069;0.287;0.658;149.21;259.99;93.25;148.36;9.9;387;7391;325;304;0.82;428.45;3.06;650.81;4.64;1.102;581;0;0;0;0;0;0;0;0;0;1341.41;9.57;0;0;0;0;0;22180.03;158.29;284.29;2.03;12.63;0;0;1769.86;0;0;0;0;0;0;0;0;0;0;322.34;2.3;5.4;758.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;1.13;0;0;0;0;0;0;0;0;0;0;179;70;26;65;18;1.28;0.5;0.19;0.46;0.13;0;0;0;0;0;0;0;0;128;7;114;4;3;0.91;0.05;0.81;0.03;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #9 LSU";Game
"Jordan Meka";2;BIGS;64244;24;0.4;0;0;0;0;0;0;0.003;0;0;0;0;0;0;23;Center;17;4.3;0.17;8408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003;0.393;0.005;0;1.85;107.89;2.18;0;4.73;7;8392;9;0;0.14;91.68;0.65;111.92;0.8;0.002;4;0;0;0;0;0;0;0;0;0;275.59;1.97;0;0;0;0;0;709.81;5.07;6.95;0.05;2.62;0;0;367.27;0;0;0;0;0;0;0;0;0;0;57.36;0.41;1.1;153.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;1;0;0.02;0;0.01;0.01;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0.02;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #9 LSU";Game
"Jordan Usher";1;GUARDS;37356;17;3.876;0;0;0;0;0;0;0.028;0;0;0;0;0;0;4;Forward;68;17.02;1.66;8408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.817;1.837;0.534;0.688;209.56;383.92;163.21;153.27;9.85;555;6934;600;319;1.15;644.41;4.6;909.96;6.49;1.288;697;0;0;0;0;0;0;0;0;0;1966.5;14.03;0;0;0;0;0;32786.87;233.97;328.56;2.34;18.63;0;0;2610.91;0;0;0;0;0;0;0;0;0;0;615.38;4.39;10.4;1450.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181;1.29;0;0;0;0;0;0;0;0;0;0;260;64;57;106;33;1.86;0.46;0.41;0.76;0.24;0;0;0;0;0;0;0;0;127;9;102;13;3;0.91;0.06;0.73;0.09;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #9 LSU";Game
"Khalid Moore";1;GUARDS;29932;21;3.703;0;0;0;0;0;0;0.026;0;0;0;0;0;0;12;Forward;68;16.91;1.59;8408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.063;1.313;0.461;0.867;248.15;280.42;143.02;183.21;10.11;641;6876;512;379;1.09;544.23;3.88;854.8;6.1;1.691;839;0;0;0;0;0;0;0;0;0;1755;12.52;0;0;0;0;0;34805.1;248.38;368.89;2.63;16.41;0;0;2299.23;0;0;0;0;0;0;0;0;0;0;570.05;4.07;9.4;1310.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220;1.57;0;0;0;0;0;0;0;0;0;0;249;83;50;98;18;1.78;0.59;0.36;0.7;0.13;0;0;0;0;0;0;0;0;180;6;165;5;4;1.28;0.04;1.18;0.04;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #9 LSU";Game
"Kyle Sturdivant";1;GUARDS;64242;14;2.208;0;0;0;0;0;0;0.016;0;0;0;0;0;0;1;Guard;65;16.06;0.95;8407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.504;0.932;0.267;0.505;130.06;199.04;80.67;113.01;9.05;334;7557;285;231;0.66;336.68;2.4;522.78;3.73;0.887;468;0;0;0;0;0;0;0;0;0;1063.91;7.59;0;0;0;0;0;24063.85;171.73;269.29;1.92;10;0;0;1400.59;0;0;0;0;0;0;0;0;0;0;320.07;2.28;5.3;740.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;0.79;0;0;0;0;0;0;0;0;0;0;156;54;35;52;15;1.11;0.39;0.25;0.37;0.11;0;0;0;0;0;0;0;0;142;4;131;6;1;1.01;0.03;0.93;0.04;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #9 LSU";Game
"Michael Devoe";1;GUARDS;29933;31;3.569;0;0;0;0;0;0;0.025;0;0;0;0;0;0;99;Guard;56;14;1.53;8408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.725;1.724;0.53;0.591;206.35;361.97;182.21;141.54;9.09;534;6912;655;306;1.13;560.36;4;892.07;6.37;1.144;682;0;0;0;0;0;0;0;0;0;1869.55;13.34;0;0;0;0;0;22646.75;161.62;261.39;1.87;17.34;0;0;2429.91;0;0;0;0;0;0;0;0;0;0;474.79;3.39;8.3;1159.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178;1.27;0;0;0;0;0;0;0;0;0;0;250;89;43;106;12;1.78;0.64;0.31;0.76;0.09;0;0;0;0;0;0;0;0;123;5;110;6;2;0.88;0.04;0.79;0.04;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #9 LSU";Game
"Miles Kelly";1;GUARDS;63392;22;1.368;0;0;0;0;0;0;0.01;0;0;0;0;0;0;13;Guard;58;14.5;0.59;8408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.295;0.699;0.232;0.142;77.27;182.88;67.81;31.19;8.71;206;7882;251;69;0.46;238.36;1.7;359.14;2.56;0.347;204;0;0;0;0;0;0;0;0;0;747.82;5.34;0;0;0;0;0;12839.49;91.63;165.54;1.18;7.04;0;0;986.18;0;0;0;0;0;0;0;0;0;0;162.8;1.16;2.8;397.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0.51;0;0;0;0;0;0;0;0;0;0;89;15;34;38;2;0.64;0.11;0.24;0.27;0.01;0;0;0;0;0;0;0;0;91;1;86;4;0;0.65;0.01;0.61;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #9 LSU";Game
"Rodney Howard";2;BIGS;50662;25;3.015;0;0;0;0;0;0;0.022;0;0;0;0;0;0;24;Center;58;14.48;1.29;8407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.581;1.277;0.326;0.831;180.27;277.34;126.35;226.46;10.54;464;7072;427;444;1.03;490.91;3.5;810.42;5.78;1.279;780;0;0;0;0;0;0;0;0;0;1499.18;10.7;0;0;0;0;0;36822.06;262.78;330.01;2.36;14.2;0;0;1990.09;0;0;0;0;0;0;0;0;0;0;540.15;3.85;9;1261.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253;1.81;0;0;0;0;0;0;0;0;0;0;228;82;23;72;51;1.63;0.59;0.16;0.51;0.36;0;0;0;0;0;0;0;0;129;5;103;17;4;0.92;0.04;0.74;0.12;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #9 LSU";Game
"Saba Gigiberia";2;BIGS;50661;15;0.359;0;0;0;0;0;0;0.003;0;0;0;0;0;0;2;Center;19;4.8;0.15;8408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.002;0.352;0.004;0.001;0.57;128.87;1.53;0.39;6.07;2;8396;8;1;0.17;115.5;0.82;131.36;0.94;0.002;3;0;0;0;0;0;0;0;0;0;287.45;2.05;0;0;0;0;0;0;0;0;0;2.88;0;0;402.95;0;0;0;0;0;0;0;0;0;0;57.1;0.41;1.1;151.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.01;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0.01;0.01;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #9 LSU";Game
