Name;"Group Id";"Group name";"League ID";"Player ID";"Distance (mi)";"Distance (speed | extreme) (mi)";"Distance (speed | high) (mi)";"Distance (speed | low) (mi)";"Distance (speed | medium) (mi)";"Distance (speed | very high) (mi)";"Distance (speed | very low) (mi)";"Distance / min (mi)";"Distance / min (speed | extreme) (mi)";"Distance / min (speed | high) (mi)";"Distance / min (speed | low) (mi)";"Distance / min (speed | medium) (mi)";"Distance / min (speed | very high) (mi)";"Distance / min (speed | very low) (mi)";Number;Position;"Speed (% of max.) (%)";"Speed (max.) (mph)";"Speed (Ø) (mph)";"Time (s)";"Time (speed | extreme) (s)";"Time (speed | high) (s)";"Time (speed | low) (s)";"Time (speed | medium) (s)";"Time (speed | very high) (s)";"Time (speed | very low) (s)";"Time on Playing Field (s)";"Accel 1";"Accel 1 / min";"Accel 2";"Accel 2 / min";"Accel 3";"Accel 3 / min";"Accel 4";"Accel 4 / min";"Acceleration (max.) (ft/s²)";"Acceleration Load (distance | high) (mi)";"Acceleration Load (distance | low) (mi)";"Acceleration Load (distance | medium) (mi)";"Acceleration Load (distance | very high) (mi)";"Acceleration Load (load | high)";"Acceleration Load (load | low)";"Acceleration Load (load | medium)";"Acceleration Load (load | very high)";"Acceleration Load (max.)";"Acceleration Load (time | high) (s)";"Acceleration Load (time | low) (s)";"Acceleration Load (time | medium) (s)";"Acceleration Load (time | very high) (s)";"Acceleration Load / min";"Accels Load";"Accels Load / min";"Accumulated Acceleration Load";"Accumulated Acceleration Load / min";"Anaerobic Activity (distance) (mi)";"Anaerobic Activity (time) (s)";"Decel 1";"Decel 1 / min";"Decel 2";"Decel 2 / min";"Decel 3";"Decel 3 / min";"Decel 4";"Decel 4 / min";"Deceleration (max.) (ft/s²)";"Decels Load";"Decels Load / min";"High Metabolic Power Distance (m)";"High Metabolic Power Distance / min (m)";"High Speed and Acceleration Distance (m)";"High Speed and Acceleration Distance / min (m)";"High Speed and Acceleration Time (s)";"Jump Load (J)";"Jump Load / min (J)";"Jump Load per mass (J/kg)";"Jump Load per mass / min (J/kg)";"Mechanical Intensity";"Mechanical Intensity (def.)";"Mechanical Intensity (off.)";"Mechanical Load";"Mechanical Load (def.)";"Mechanical Load (off.)";"Metabolic Power (max.) (W)";"Metabolic Power (time | high) (s)";"Metabolic Power (time | low) (s)";"Metabolic Power (time | medium) (s)";"Metabolic Power (time | very high) (s)";"Metabolic Power (Ø) (W)";"Metabolic Power per mass (max.) (W/kg)";"Metabolic Power per mass (Ø) (W/kg)";"Metabolic Work (kcal)";"Metabolic Work / min (kcal)";"Physio Intensity";"Physio Load";"Heart Rate (max.) (bpm)";"Heart Rate (min.) (bpm)";"Heart Rate (time | 0 - 50%) (s)";"Heart Rate (time | 50 - 60%) (s)";"Heart Rate (time | 60 - 70%) (s)";"Heart Rate (time | 70 - 80%) (s)";"Heart Rate (time | 80 - 90%) (s)";"Heart Rate (time | ≥ 90%) (s)";"Heart Rate (Ø) (bpm)";"Heart Rate Recoveries";"Heart Rate Recoveries / min";"Human Core Temperature (max.) (°F)";"Human Core Temperature (Ø) (°F)";TRIMP;Accelerations;"Accelerations (high)";"Accelerations (low)";"Accelerations (medium)";"Accelerations (very high)";"Accelerations / min";"Accelerations / min (high)";"Accelerations / min (low)";"Accelerations / min (medium)";"Accelerations / min (very high)";"Changes of Direction";"Changes of Direction (left)";"Changes of Direction (right)";"Changes of Direction / min";"Changes of Direction / min (left)";"Changes of Direction / min (right)";"Changes of Orientation";"Changes of Orientation / min";Decelerations;"Decelerations (high)";"Decelerations (low)";"Decelerations (medium)";"Decelerations (very high)";"Decelerations / min";"Decelerations / min (high)";"Decelerations / min (low)";"Decelerations / min (medium)";"Decelerations / min (very high)";Exertions;"Exertions (high)";"Exertions (low)";"Exertions (medium)";"Exertions (very high)";"Exertions / min";"Exertions / min (high)";"Exertions / min (low)";"Exertions / min (medium)";"Exertions / min (very high)";FCTs;"FCTs (high)";"FCTs (low)";"FCTs (medium)";"FCTs / min";"FCTs / min (high)";"FCTs / min (low)";"FCTs / min (medium)";Jumps;"Jumps (high)";"Jumps (low)";"Jumps (medium)";"Jumps (very high)";"Jumps / min";"Jumps / min (high)";"Jumps / min (low)";"Jumps / min (medium)";"Jumps / min (very high)";MCTs;"MCTs (high)";"MCTs (low)";"MCTs (medium)";"MCTs / min";"MCTs / min (high)";"MCTs / min (low)";"MCTs / min (medium)";Sprints;"Sprints (high)";"Sprints (low)";"Sprints (medium)";"Sprints (very high)";"Sprints / min";"Sprints / min (high)";"Sprints / min (low)";"Sprints / min (medium)";"Sprints / min (very high)";"Noah Shots";"Noah Shots (make)";"Noah Shots (miss)";"Noah Shots / min";"Noah Shots / min (make)";"Noah Shots / min (miss)";"RSPCT Shots";"RSPCT Shots (make)";"RSPCT Shots (miss)";"RSPCT Shots / min";"RSPCT Shots / min (make)";"RSPCT Shots / min (miss)";Description;Types
"Deebo Coleman";1;GUARDS;63391;19;3.055;0;0;0;0;0;0;0.022;0;0;0;0;0;0;10;Forward;62;15.43;1.33;8293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.608;1.137;0.357;0.953;175.46;250.85;109.29;232.75;9.93;444;7008;390;452;0.99;419.5;3.03;768.35;5.56;1.424;780;0;0;0;0;0;0;0;0;0;1443.95;10.45;0;0;0;0;0;27771.4;200.92;284.78;2.06;13.48;0;0;1863.45;0;0;0;0;0;0;0;0;0;0;458.43;3.32;8.1;1117.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181;1.31;0;0;0;0;0;0;0;0;0;0;181;67;23;57;34;1.31;0.48;0.17;0.41;0.25;0;0;0;0;0;0;0;0;145;2;134;5;4;1.05;0.01;0.97;0.04;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #4 UGA";Game
"Devion Smith";1;GUARDS;63390;30;3.151;0;0;0;0;0;0;0.023;0;0;0;0;0;0;5;Forward;58;14.46;1.37;8293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.793;1.391;0.495;0.473;173.19;283.93;135.83;98.89;8.52;459;7134;486;214;0.89;469.36;3.4;691.84;5.01;1.044;520;0;0;0;0;0;0;0;0;0;1496.59;10.83;0;0;0;0;0;24288;175.72;311.3;2.25;14.22;0;0;1965.95;0;0;0;0;0;0;0;0;0;0;387.41;2.8;6.7;922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;0.8;0;0;0;0;0;0;0;0;0;0;198;55;42;94;7;1.43;0.4;0.3;0.68;0.05;0;0;0;0;0;0;0;0;132;7;112;7;6;0.96;0.05;0.81;0.05;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #4 UGA";Game
"Jalon Moore";1;GUARDS;63393;23;0.518;0;0;0;0;0;0;0.004;0;0;0;0;0;0;14;Forward;32;8.04;0.23;8293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.027;0.421;0.065;0.005;6.1;114.12;13.21;1.78;6.08;16;8224;50;4;0.17;100.95;0.73;135.2;0.98;0.024;14;0;0;0;0;0;0;0;0;0;320.86;2.32;0;0;0;0;0;1463.93;10.59;15.3;0.11;3.05;0;0;421.82;0;0;0;0;0;0;0;0;0;0;69.65;0.5;1.3;185.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0.03;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0.03;0.01;0;0.01;0;0;0;0;0;0;0;0;0;4;1;2;0;1;0.03;0.01;0.01;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #4 UGA";Game
"Jordan Meka";2;BIGS;64244;24;0.695;0;0;0;0;0;0;0.005;0;0;0;0;0;0;23;Center;36;8.86;0.3;8293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.056;0.559;0.073;0.008;12.91;136.64;17.77;2.3;7.72;37;8183;68;5;0.22;133.27;0.96;169.62;1.23;0.037;23;0;0;0;0;0;0;0;0;0;407.05;2.94;0;0;0;0;0;5021.35;36.33;49.2;0.36;3.91;0;0;540.32;0;0;0;0;0;0;0;0;0;0;101.09;0.73;1.9;265.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0.04;0;0;0;0;0;0;0;0;0;0;12;0;5;6;1;0.09;0;0.04;0.04;0.01;0;0;0;0;0;0;0;0;20;1;17;1;1;0.14;0.01;0.12;0.01;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #4 UGA";Game
"Jordan Usher";1;GUARDS;37356;17;3.849;0;0;0;0;0;0;0.028;0;0;0;0;0;0;4;Forward;71;17.69;1.67;8293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.839;1.872;0.488;0.65;218.81;363.21;152.99;153.26;11.08;578;6835;562;318;1.14;630.05;4.56;888.27;6.43;1.285;724;0;0;0;0;0;0;0;0;0;1858.91;13.45;0;0;0;0;0;32629.56;236.08;326.98;2.37;18.01;0;0;2488.95;0;0;0;0;0;0;0;0;0;0;605.1;4.38;10.4;1440.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;1.09;0;0;0;0;0;0;0;0;0;0;243;81;63;82;17;1.76;0.59;0.46;0.59;0.12;0;0;0;0;0;0;0;0;128;6;108;10;4;0.93;0.04;0.78;0.07;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #4 UGA";Game
"Khalid Moore";1;GUARDS;29932;21;2.585;0;0;0;0;0;0;0.019;0;0;0;0;0;0;12;Forward;67;16.61;1.12;8293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.649;1.058;0.393;0.485;150.95;229.5;110.94;101.25;8.72;399;7280;409;205;0.76;383.18;2.77;592.65;4.29;0.97;480;0;0;0;0;0;0;0;0;0;1176.95;8.52;0;0;0;0;0;20957.67;151.63;222.13;1.61;11.29;0;0;1560.14;0;0;0;0;0;0;0;0;0;0;390.06;2.82;6.6;914.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;0.84;0;0;0;0;0;0;0;0;0;0;153;39;38;58;18;1.11;0.28;0.27;0.42;0.13;0;0;0;0;0;0;0;0;113;2;104;7;0;0.82;0.01;0.75;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #4 UGA";Game
"Kyle Sturdivant";1;GUARDS;64242;14;2.02;0;0;0;0;0;0;0.015;0;0;0;0;0;0;1;Guard;62;15.39;0.88;8293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.408;0.876;0.261;0.476;104.38;192.96;76.39;102.35;9.39;269;7544;270;210;0.61;299.05;2.16;476.08;3.44;0.792;404;0;0;0;0;0;0;0;0;0;985.5;7.13;0;0;0;0;0;14726.74;106.55;164.8;1.19;9.29;0;0;1284.55;0;0;0;0;0;0;0;0;0;0;283.48;2.05;4.9;676.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0.65;0;0;0;0;0;0;0;0;0;0;130;53;18;46;13;0.94;0.38;0.13;0.33;0.09;0;0;0;0;0;0;0;0;83;2;79;1;1;0.6;0.01;0.57;0.01;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #4 UGA";Game
"Michael Devoe";1;GUARDS;29933;31;4.112;0;0;0;0;0;0;0.03;0;0;0;0;0;0;99;Guard;61;15.25;1.79;8293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.944;2.096;0.505;0.568;238.89;419.57;161.92;129.06;8.85;619;6798;596;280;1.22;591.18;4.28;949.44;6.87;1.319;741;0;0;0;0;0;0;0;0;0;2064.41;14.94;0;0;0;0;0;23174.31;167.66;267.48;1.94;19.21;0;0;2655.59;0;0;0;0;0;0;0;0;0;0;543.04;3.93;9.7;1336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188;1.36;0;0;0;0;0;0;0;0;0;0;259;69;39;140;11;1.87;0.5;0.28;1.01;0.08;0;0;0;0;0;0;0;0;127;1;115;10;1;0.92;0.01;0.83;0.07;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #4 UGA";Game
"Miles Kelly";1;GUARDS;63392;22;1.96;0;0;0;0;0;0;0.014;0;0;0;0;0;0;13;Guard;59;14.62;0.85;8293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.458;0.928;0.366;0.208;108.87;241.35;105.93;41.89;8.11;291;7504;406;92;0.64;319.05;2.31;498.03;3.6;0.512;267;0;0;0;0;0;0;0;0;0;990;7.16;0;0;0;0;0;12733.46;92.13;164.18;1.19;9.47;0;0;1309.05;0;0;0;0;0;0;0;0;0;0;234.63;1.7;4.1;570.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0.51;0;0;0;0;0;0;0;0;0;0;110;23;43;42;2;0.8;0.17;0.31;0.3;0.01;0;0;0;0;0;0;0;0;85;1;80;4;0;0.61;0.01;0.58;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #4 UGA";Game
"Rodney Howard";2;BIGS;50662;25;2.643;0;0;0;0;0;0;0.019;0;0;0;0;0;0;24;Center;60;14.87;1.15;8276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.708;1.191;0.491;0.253;166.14;250.73;152.13;57.38;9.97;460;7142;550;124;0.81;419.09;3.04;626.39;4.54;0.746;422;0;0;0;0;0;0;0;0;0;1275.27;9.25;0;0;0;0;0;33696.03;244.29;301.99;2.19;12.28;0;0;1694.36;0;0;0;0;0;0;0;0;0;0;465.96;3.38;8;1106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141;1.02;0;0;0;0;0;0;0;0;0;0;195;35;71;86;3;1.41;0.25;0.51;0.62;0.02;0;0;0;0;0;0;0;0;127;2;107;14;4;0.92;0.01;0.78;0.1;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #4 UGA";Game
