Name;"Group Id";"Group name";"League ID";"Player ID";"Distance (mi)";"Distance (speed | extreme) (mi)";"Distance (speed | high) (mi)";"Distance (speed | low) (mi)";"Distance (speed | medium) (mi)";"Distance (speed | very high) (mi)";"Distance (speed | very low) (mi)";"Distance / min (mi)";"Distance / min (speed | extreme) (mi)";"Distance / min (speed | high) (mi)";"Distance / min (speed | low) (mi)";"Distance / min (speed | medium) (mi)";"Distance / min (speed | very high) (mi)";"Distance / min (speed | very low) (mi)";Number;Position;"Speed (% of max.) (%)";"Speed (max.) (mph)";"Speed (Ø) (mph)";"Time (s)";"Time (speed | extreme) (s)";"Time (speed | high) (s)";"Time (speed | low) (s)";"Time (speed | medium) (s)";"Time (speed | very high) (s)";"Time (speed | very low) (s)";"Time on Playing Field (s)";"Accel 1";"Accel 1 / min";"Accel 2";"Accel 2 / min";"Accel 3";"Accel 3 / min";"Accel 4";"Accel 4 / min";"Acceleration (max.) (ft/s²)";"Acceleration Load (distance | high) (mi)";"Acceleration Load (distance | low) (mi)";"Acceleration Load (distance | medium) (mi)";"Acceleration Load (distance | very high) (mi)";"Acceleration Load (load | high)";"Acceleration Load (load | low)";"Acceleration Load (load | medium)";"Acceleration Load (load | very high)";"Acceleration Load (max.)";"Acceleration Load (time | high) (s)";"Acceleration Load (time | low) (s)";"Acceleration Load (time | medium) (s)";"Acceleration Load (time | very high) (s)";"Acceleration Load / min";"Accels Load";"Accels Load / min";"Accumulated Acceleration Load";"Accumulated Acceleration Load / min";"Anaerobic Activity (distance) (mi)";"Anaerobic Activity (time) (s)";"Decel 1";"Decel 1 / min";"Decel 2";"Decel 2 / min";"Decel 3";"Decel 3 / min";"Decel 4";"Decel 4 / min";"Deceleration (max.) (ft/s²)";"Decels Load";"Decels Load / min";"High Metabolic Power Distance (m)";"High Metabolic Power Distance / min (m)";"High Speed and Acceleration Distance (m)";"High Speed and Acceleration Distance / min (m)";"High Speed and Acceleration Time (s)";"Jump Load (J)";"Jump Load / min (J)";"Jump Load per mass (J/kg)";"Jump Load per mass / min (J/kg)";"Mechanical Intensity";"Mechanical Intensity (def.)";"Mechanical Intensity (off.)";"Mechanical Load";"Mechanical Load (def.)";"Mechanical Load (off.)";"Metabolic Power (max.) (W)";"Metabolic Power (time | high) (s)";"Metabolic Power (time | low) (s)";"Metabolic Power (time | medium) (s)";"Metabolic Power (time | very high) (s)";"Metabolic Power (Ø) (W)";"Metabolic Power per mass (max.) (W/kg)";"Metabolic Power per mass (Ø) (W/kg)";"Metabolic Work (kcal)";"Metabolic Work / min (kcal)";"Physio Intensity";"Physio Load";"Heart Rate (max.) (bpm)";"Heart Rate (min.) (bpm)";"Heart Rate (time | 0 - 50%) (s)";"Heart Rate (time | 50 - 60%) (s)";"Heart Rate (time | 60 - 70%) (s)";"Heart Rate (time | 70 - 80%) (s)";"Heart Rate (time | 80 - 90%) (s)";"Heart Rate (time | ≥ 90%) (s)";"Heart Rate (Ø) (bpm)";"Heart Rate Recoveries";"Heart Rate Recoveries / min";"Human Core Temperature (max.) (°F)";"Human Core Temperature (Ø) (°F)";TRIMP;Accelerations;"Accelerations (high)";"Accelerations (low)";"Accelerations (medium)";"Accelerations (very high)";"Accelerations / min";"Accelerations / min (high)";"Accelerations / min (low)";"Accelerations / min (medium)";"Accelerations / min (very high)";"Changes of Direction";"Changes of Direction (left)";"Changes of Direction (right)";"Changes of Direction / min";"Changes of Direction / min (left)";"Changes of Direction / min (right)";"Changes of Orientation";"Changes of Orientation / min";Decelerations;"Decelerations (high)";"Decelerations (low)";"Decelerations (medium)";"Decelerations (very high)";"Decelerations / min";"Decelerations / min (high)";"Decelerations / min (low)";"Decelerations / min (medium)";"Decelerations / min (very high)";Exertions;"Exertions (high)";"Exertions (low)";"Exertions (medium)";"Exertions (very high)";"Exertions / min";"Exertions / min (high)";"Exertions / min (low)";"Exertions / min (medium)";"Exertions / min (very high)";FCTs;"FCTs (high)";"FCTs (low)";"FCTs (medium)";"FCTs / min";"FCTs / min (high)";"FCTs / min (low)";"FCTs / min (medium)";Jumps;"Jumps (high)";"Jumps (low)";"Jumps (medium)";"Jumps (very high)";"Jumps / min";"Jumps / min (high)";"Jumps / min (low)";"Jumps / min (medium)";"Jumps / min (very high)";MCTs;"MCTs (high)";"MCTs (low)";"MCTs (medium)";"MCTs / min";"MCTs / min (high)";"MCTs / min (low)";"MCTs / min (medium)";Sprints;"Sprints (high)";"Sprints (low)";"Sprints (medium)";"Sprints (very high)";"Sprints / min";"Sprints / min (high)";"Sprints / min (low)";"Sprints / min (medium)";"Sprints / min (very high)";"Noah Shots";"Noah Shots (make)";"Noah Shots (miss)";"Noah Shots / min";"Noah Shots / min (make)";"Noah Shots / min (miss)";"RSPCT Shots";"RSPCT Shots (make)";"RSPCT Shots (miss)";"RSPCT Shots / min";"RSPCT Shots / min (make)";"RSPCT Shots / min (miss)";Description;Types
"Deebo Coleman";1;GUARDS;63391;19;2.627;0;0;0;0;0;0;0.024;0;0;0;0;0;0;10;Forward;61;15.11;1.43;6624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.626;0.836;0.298;0.868;179.3;196.15;94.93;201.73;9;456;5432;338;397;1.08;358.77;3.25;672.11;6.09;1.328;718;0;0;0;0;0;0;0;0;0;1196.18;10.84;0;0;0;0;0;20497.75;185.67;210.19;1.9;14.09;0;0;1554.95;0;0;0;0;0;0;0;0;0;0;396.74;3.59;8.7;960.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172;1.56;0;0;0;0;0;0;0;0;0;0;175;67;28;60;20;1.59;0.61;0.25;0.54;0.18;0;0;0;0;0;0;0;0;111;2;104;3;2;1.01;0.02;0.94;0.03;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game # 10 USC";Game
"Devion Smith";1;GUARDS;63390;30;2.503;0;0;0;0;0;0;0.023;0;0;0;0;0;0;5;Forward;63;15.77;1.36;6624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.744;0.988;0.45;0.321;164.83;211.33;125.57;72.05;8.1;440;5583;445;155;0.92;358.91;3.25;573.78;5.2;0.858;449;0;0;0;0;0;0;0;0;0;1179.82;10.69;0;0;0;0;0;22123.54;200.4;283.56;2.57;13.94;0;0;1538.73;0;0;0;0;0;0;0;0;0;0;307.84;2.79;6.6;732.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;0.84;0;0;0;0;0;0;0;0;0;0;182;41;46;91;4;1.65;0.37;0.42;0.82;0.04;0;0;0;0;0;0;0;0;111;4;91;6;10;1.01;0.04;0.82;0.05;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game # 10 USC";Game
"Jordan Meka";2;BIGS;64244;24;0.372;0;0;0;0;0;0;0.003;0;0;0;0;0;0;23;Center;28;6.85;0.2;6624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.013;0.343;0.013;0.003;4.04;86.19;4.56;1;7.31;10;6594;18;2;0.15;65.95;0.6;95.79;0.87;0.007;6;0;0;0;0;0;0;0;0;0;219;1.98;0;0;0;0;0;602.38;5.46;5.9;0.05;2.58;0;0;284.95;0;0;0;0;0;0;0;0;0;0;51.93;0.47;1.3;142.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.01;0;0;0;0;0;0;0;0;0;0;5;0;4;0;1;0.05;0;0.04;0;0.01;0;0;0;0;0;0;0;0;3;0;3;0;0;0.03;0;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game # 10 USC";Game
"Jordan Usher";1;GUARDS;37356;17;2.951;0;0;0;0;0;0;0.027;0;0;0;0;0;0;4;Forward;64;15.94;1.61;6624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.817;1.205;0.454;0.475;200.84;242.15;135.48;105.08;8.99;530;5386;482;227;1.1;437.41;3.96;683.55;6.19;1.089;596;0;0;0;0;0;0;0;0;0;1344.82;12.18;0;0;0;0;0;30531.12;276.55;305.95;2.77;16.14;0;0;1782.23;0;0;0;0;0;0;0;0;0;0;466.49;4.23;10;1104.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162;1.47;0;0;0;0;0;0;0;0;0;0;212;61;52;88;11;1.92;0.55;0.47;0.8;0.1;0;0;0;0;0;0;0;0;126;2;109;14;1;1.14;0.02;0.99;0.13;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game # 10 USC";Game
"Khalid Moore";1;GUARDS;29932;21;2.675;0;0;0;0;0;0;0.024;0;0;0;0;0;0;12;Forward;63;15.74;1.46;6622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.71;1.005;0.373;0.586;167.73;216.47;114.4;127.2;9;438;5512;408;264;1.01;395.68;3.59;625.81;5.67;1.138;578;0;0;0;0;0;0;0;0;0;1242.14;11.25;0;0;0;0;0;19814.35;179.53;210.01;1.9;14.84;0;0;1637.82;0;0;0;0;0;0;0;0;0;0;406.49;3.68;8.6;946.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;1.22;0;0;0;0;0;0;0;0;0;0;172;56;28;74;14;1.56;0.51;0.25;0.67;0.13;0;0;0;0;0;0;0;0;98;4;86;7;1;0.89;0.04;0.78;0.06;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game # 10 USC";Game
"Kyle Sturdivant";1;GUARDS;64242;14;2.235;0;0;0;0;0;0;0.02;0;0;0;0;0;0;1;Guard;59;14.79;1.22;6624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.533;0.957;0.353;0.391;129.1;196.65;101.11;78.9;9.69;345;5743;372;165;0.81;331;3;505.77;4.58;0.791;406;0;0;0;0;0;0;0;0;0;1019.86;9.24;0;0;0;0;0;20914.22;189.45;234.04;2.12;12.24;0;0;1350.86;0;0;0;0;0;0;0;0;0;0;319.21;2.89;6.8;748.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;0.66;0;0;0;0;0;0;0;0;0;0;153;42;35;70;6;1.39;0.38;0.32;0.63;0.05;0;0;0;0;0;0;0;0;122;1;113;8;0;1.11;0.01;1.02;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game # 10 USC";Game
"Michael Devoe";1;GUARDS;29933;31;3.252;0;0;0;0;0;0;0.03;0;0;0;0;0;0;99;Guard;66;16.38;1.78;6600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.758;1.409;0.54;0.546;206.71;292.18;179.27;121.24;9.36;546;5157;635;262;1.29;450.05;4.09;799.4;7.27;1.122;641;0;0;0;0;0;0;0;0;0;1581.41;14.38;0;0;0;0;0;25585.67;232.59;295.31;2.68;18.47;0;0;2031.45;0;0;0;0;0;0;0;0;0;0;432.49;3.93;9.6;1056.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;179;1.63;0;0;0;0;0;0;0;0;0;0;239;63;43;120;13;2.17;0.57;0.39;1.09;0.12;0;0;0;0;0;0;0;0;132;3;115;13;1;1.2;0.03;1.05;0.12;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game # 10 USC";Game
"Miles Kelly";1;GUARDS;63392;22;1.812;0;0;0;0;0;0;0.016;0;0;0;0;0;0;13;Guard;56;13.94;0.99;6624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.513;0.713;0.294;0.292;120.39;173.98;85.74;59;8.82;319;5871;310;123;0.71;260.27;2.36;439.1;3.98;0.654;330;0;0;0;0;0;0;0;0;0;873;7.91;0;0;0;0;0;10904.89;98.78;140.6;1.27;10.27;0;0;1133.27;0;0;0;0;0;0;0;0;0;0;216.4;1.96;4.8;527.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0.68;0;0;0;0;0;0;0;0;0;0;113;25;35;49;4;1.02;0.23;0.32;0.44;0.04;0;0;0;0;0;0;0;0;77;3;72;2;0;0.7;0.03;0.65;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game # 10 USC";Game
"Rodney Howard";2;BIGS;50662;25;1.973;0;0;0;0;0;0;0.018;0;0;0;0;0;0;24;Center;59;14.61;1.07;6624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.471;0.772;0.244;0.487;122.48;169.45;84.45;108.41;8.55;316;5791;294;222;0.78;301.41;2.73;484.8;4.39;0.849;451;0;0;0;0;0;0;0;0;0;922.23;8.35;0;0;0;0;0;17785.98;161.11;159.4;1.44;11.08;0;0;1223.64;0;0;0;0;0;0;0;0;0;0;358.06;3.24;7.5;825.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;1.03;0;0;0;0;0;0;0;0;0;0;136;45;26;49;16;1.23;0.41;0.24;0.44;0.14;0;0;0;0;0;0;0;0;66;1;54;9;2;0.6;0.01;0.49;0.08;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game # 10 USC";Game
"Saba Gigiberia";2;BIGS;50661;15;1.23;0;0;0;0;0;0;0.011;0;0;0;0;0;0;2;Center;64;15.81;0.67;6624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.295;0.581;0.157;0.197;75.37;161.58;53.37;51.35;9.14;193;6128;198;105;0.55;209.68;1.9;341.67;3.09;0.42;240;0;0;0;0;0;0;0;0;0;624;5.65;0;0;0;0;0;13110.15;118.75;116.55;1.06;7.55;0;0;833.68;0;0;0;0;0;0;0;0;0;0;213.05;1.93;4.7;518.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;0.94;0;0;0;0;0;0;0;0;0;0;79;24;21;28;6;0.72;0.22;0.19;0.25;0.05;0;0;0;0;0;0;0;0;54;0;50;4;0;0.49;0;0.45;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game # 10 USC";Game
