Name;"Group Id";"Group name";"League ID";"Player ID";"Distance (mi)";"Distance (speed | extreme) (mi)";"Distance (speed | high) (mi)";"Distance (speed | low) (mi)";"Distance (speed | medium) (mi)";"Distance (speed | very high) (mi)";"Distance (speed | very low) (mi)";"Distance / min (mi)";"Distance / min (speed | extreme) (mi)";"Distance / min (speed | high) (mi)";"Distance / min (speed | low) (mi)";"Distance / min (speed | medium) (mi)";"Distance / min (speed | very high) (mi)";"Distance / min (speed | very low) (mi)";Number;Position;"Speed (% of max.) (%)";"Speed (max.) (mph)";"Speed (Ø) (mph)";"Time (s)";"Time (speed | extreme) (s)";"Time (speed | high) (s)";"Time (speed | low) (s)";"Time (speed | medium) (s)";"Time (speed | very high) (s)";"Time (speed | very low) (s)";"Time on Playing Field (s)";"Accel 1";"Accel 1 / min";"Accel 2";"Accel 2 / min";"Accel 3";"Accel 3 / min";"Accel 4";"Accel 4 / min";"Acceleration (max.) (ft/s²)";"Acceleration Load (distance | high) (mi)";"Acceleration Load (distance | low) (mi)";"Acceleration Load (distance | medium) (mi)";"Acceleration Load (distance | very high) (mi)";"Acceleration Load (load | high)";"Acceleration Load (load | low)";"Acceleration Load (load | medium)";"Acceleration Load (load | very high)";"Acceleration Load (max.)";"Acceleration Load (time | high) (s)";"Acceleration Load (time | low) (s)";"Acceleration Load (time | medium) (s)";"Acceleration Load (time | very high) (s)";"Acceleration Load / min";"Accels Load";"Accels Load / min";"Accumulated Acceleration Load";"Accumulated Acceleration Load / min";"Anaerobic Activity (distance) (mi)";"Anaerobic Activity (time) (s)";"Decel 1";"Decel 1 / min";"Decel 2";"Decel 2 / min";"Decel 3";"Decel 3 / min";"Decel 4";"Decel 4 / min";"Deceleration (max.) (ft/s²)";"Decels Load";"Decels Load / min";"High Metabolic Power Distance (m)";"High Metabolic Power Distance / min (m)";"High Speed and Acceleration Distance (m)";"High Speed and Acceleration Distance / min (m)";"High Speed and Acceleration Time (s)";"Jump Load (J)";"Jump Load / min (J)";"Jump Load per mass (J/kg)";"Jump Load per mass / min (J/kg)";"Mechanical Intensity";"Mechanical Intensity (def.)";"Mechanical Intensity (off.)";"Mechanical Load";"Mechanical Load (def.)";"Mechanical Load (off.)";"Metabolic Power (max.) (W)";"Metabolic Power (time | high) (s)";"Metabolic Power (time | low) (s)";"Metabolic Power (time | medium) (s)";"Metabolic Power (time | very high) (s)";"Metabolic Power (Ø) (W)";"Metabolic Power per mass (max.) (W/kg)";"Metabolic Power per mass (Ø) (W/kg)";"Metabolic Work (kcal)";"Metabolic Work / min (kcal)";"Physio Intensity";"Physio Load";"Heart Rate (max.) (bpm)";"Heart Rate (min.) (bpm)";"Heart Rate (time | 0 - 50%) (s)";"Heart Rate (time | 50 - 60%) (s)";"Heart Rate (time | 60 - 70%) (s)";"Heart Rate (time | 70 - 80%) (s)";"Heart Rate (time | 80 - 90%) (s)";"Heart Rate (time | ≥ 90%) (s)";"Heart Rate (Ø) (bpm)";"Heart Rate Recoveries";"Heart Rate Recoveries / min";"Human Core Temperature (max.) (°F)";"Human Core Temperature (Ø) (°F)";TRIMP;Accelerations;"Accelerations (high)";"Accelerations (low)";"Accelerations (medium)";"Accelerations (very high)";"Accelerations / min";"Accelerations / min (high)";"Accelerations / min (low)";"Accelerations / min (medium)";"Accelerations / min (very high)";"Changes of Direction";"Changes of Direction (left)";"Changes of Direction (right)";"Changes of Direction / min";"Changes of Direction / min (left)";"Changes of Direction / min (right)";"Changes of Orientation";"Changes of Orientation / min";Decelerations;"Decelerations (high)";"Decelerations (low)";"Decelerations (medium)";"Decelerations (very high)";"Decelerations / min";"Decelerations / min (high)";"Decelerations / min (low)";"Decelerations / min (medium)";"Decelerations / min (very high)";Exertions;"Exertions (high)";"Exertions (low)";"Exertions (medium)";"Exertions (very high)";"Exertions / min";"Exertions / min (high)";"Exertions / min (low)";"Exertions / min (medium)";"Exertions / min (very high)";FCTs;"FCTs (high)";"FCTs (low)";"FCTs (medium)";"FCTs / min";"FCTs / min (high)";"FCTs / min (low)";"FCTs / min (medium)";Jumps;"Jumps (high)";"Jumps (low)";"Jumps (medium)";"Jumps (very high)";"Jumps / min";"Jumps / min (high)";"Jumps / min (low)";"Jumps / min (medium)";"Jumps / min (very high)";MCTs;"MCTs (high)";"MCTs (low)";"MCTs (medium)";"MCTs / min";"MCTs / min (high)";"MCTs / min (low)";"MCTs / min (medium)";Sprints;"Sprints (high)";"Sprints (low)";"Sprints (medium)";"Sprints (very high)";"Sprints / min";"Sprints / min (high)";"Sprints / min (low)";"Sprints / min (medium)";"Sprints / min (very high)";"Noah Shots";"Noah Shots (make)";"Noah Shots (miss)";"Noah Shots / min";"Noah Shots / min (make)";"Noah Shots / min (miss)";"RSPCT Shots";"RSPCT Shots (make)";"RSPCT Shots (miss)";"RSPCT Shots / min";"RSPCT Shots / min (make)";"RSPCT Shots / min (miss)";Description;Types
"Deebo Coleman";1;GUARDS;63391;19;2.383;0;0;0;0;0;0;0.017;0;0;0;0;0;0;10;Forward;62;15.41;1.05;8214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.481;0.795;0.253;0.854;130.77;189.79;73.39;196.69;9.8;324;7238;273;379;0.77;330.59;2.41;590.63;4.31;1.219;612;0;0;0;0;0;0;0;0;0;1106.45;8.08;0;0;0;0;0;21213.5;154.96;217.53;1.59;10.5;0;0;1437.05;0;0;0;0;0;0;0;0;0;0;369.76;2.7;6.4;871.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;0.96;0;0;0;0;0;0;0;0;0;0;143;54;17;40;32;1.04;0.39;0.12;0.29;0.23;0;0;0;0;0;0;0;0;107;5;97;3;2;0.78;0.04;0.71;0.02;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #5 Charleston Southern";Game
"Devion Smith";1;GUARDS;63390;30;3.671;0;0;0;0;0;0;0.027;0;0;0;0;0;0;5;Forward;62;15.54;1.61;8232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.945;1.161;0.422;1.143;225.75;263.05;127.81;249.2;9.13;580;6710;441;501;1.12;532.55;3.88;865.81;6.31;1.873;925;0;0;0;0;0;0;0;0;0;1702.36;12.41;0;0;0;0;0;28054.1;204.47;359.58;2.62;16.29;0;0;2234.91;0;0;0;0;0;0;0;0;0;0;466.8;3.4;7.8;1073.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;226;1.65;0;0;0;0;0;0;0;0;0;0;255;109;27;85;34;1.86;0.79;0.2;0.62;0.25;0;0;0;0;0;0;0;0;142;6;117;6;13;1.03;0.04;0.85;0.04;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #5 Charleston Southern";Game
"Jalon Moore";1;GUARDS;63393;23;0.4;0;0;0;0;0;0;0.003;0;0;0;0;0;0;14;Forward;36;8.84;0.18;8232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.013;0.338;0.047;0.001;3.07;123.33;10.4;0.19;5.15;9;8179;43;1;0.18;82.18;0.6;136.99;1;0.007;4;0;0;0;0;0;0;0;0;0;256.91;1.87;0;0;0;0;0;2602.62;18.97;27.19;0.2;2.47;0;0;339.09;0;0;0;0;0;0;0;0;0;0;53.56;0.39;1;143.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.01;0;0;0;0;0;0;0;0;0;0;3;0;1;2;0;0.02;0;0.01;0.01;0;0;0;0;0;0;0;0;0;15;0;14;1;0;0.11;0;0.1;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #5 Charleston Southern";Game
"Jordan Meka";2;BIGS;64244;24;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;23;Center;11;2.69;0;8232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;5.07;0;0;0.06;0;8232;0;0;0.01;0;0;5.07;0.04;0;0;0;0;0;0;0;0;0;0;0;0.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0.41;0;0;0;0;0;0;0;0;0;0;0.08;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #5 Charleston Southern";Game
"Jordan Usher";1;GUARDS;37356;17;3.236;0;0;0;0;0;0;0.024;0;0;0;0;0;0;4;Forward;62;15.51;1.42;8232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.732;1.469;0.5;0.535;185.15;293.06;146.19;131.34;9.52;495;6933;535;269;0.98;488.23;3.56;755.75;5.51;1.051;593;0;0;0;0;0;0;0;0;0;1539.82;11.22;0;0;0;0;0;30021.84;218.81;300.85;2.19;14.78;0;0;2028.05;0;0;0;0;0;0;0;0;0;0;502.46;3.66;8.8;1211.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153;1.12;0;0;0;0;0;0;0;0;0;0;217;60;51;80;26;1.58;0.44;0.37;0.58;0.19;0;0;0;0;0;0;0;0;108;9;81;12;6;0.79;0.07;0.59;0.09;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #5 Charleston Southern";Game
"Khalid Moore";1;GUARDS;29932;21;2.954;0;0;0;0;0;0;0.022;0;0;0;0;0;0;12;Forward;65;16.29;1.32;8089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.842;1.076;0.416;0.62;192.28;237.08;124.16;121.77;7.88;500;6873;459;258;0.89;450.09;3.34;675.29;5.01;1.29;627;0;0;0;0;0;0;0;0;0;1378.36;10.22;0;0;0;0;0;25132.59;186.41;266.38;1.98;13.56;0;0;1828.45;0;0;0;0;0;0;0;0;0;0;455.48;3.38;7.8;1045.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;1;0;0;0;0;0;0;0;0;0;0;191;63;34;83;11;1.42;0.47;0.25;0.62;0.08;0;0;0;0;0;0;0;0;138;1;130;5;2;1.02;0.01;0.96;0.04;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #5 Charleston Southern";Game
"Kyle Sturdivant";1;GUARDS;64242;14;3.333;0;0;0;0;0;0;0.024;0;0;0;0;0;0;1;Guard;59;14.7;1.46;8232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.786;1.293;0.561;0.692;194.41;252.4;157.97;141.79;8.55;510;6856;566;300;0.97;486.95;3.55;746.57;5.44;1.271;646;0;0;0;0;0;0;0;0;0;1561.64;11.38;0;0;0;0;0;30414.77;221.68;340.36;2.48;14.93;0;0;2048.59;0;0;0;0;0;0;0;0;0;0;481.04;3.51;8.1;1116.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;1.01;0;0;0;0;0;0;0;0;0;0;227;80;50;86;11;1.65;0.58;0.36;0.63;0.08;0;0;0;0;0;0;0;0;168;2;155;9;2;1.22;0.01;1.13;0.07;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #5 Charleston Southern";Game
"Michael Devoe";1;GUARDS;29933;31;0.229;0;0;0;0;0;0;0.002;0;0;0;0;0;0;99;Guard;22;5.56;0.1;8218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008;0.209;0.012;0;2.05;40.26;4.29;0;4.59;6;8193;18;0;0.06;34.64;0.25;46.6;0.34;0.001;1;0;0;0;0;0;0;0;0;0;126.41;0.92;0;0;0;0;0;980.93;7.16;11.32;0.08;1.18;0;0;161.05;0;0;0;0;0;0;0;0;0;0;28.07;0.2;0.5;74.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;1;0;0.03;0;0.02;0.01;0;0;0;0;0;0;0;0;0;4;0;3;1;0;0.03;0;0.02;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #5 Charleston Southern";Game
"Miles Kelly";1;GUARDS;63392;22;2.484;0;0;0;0;0;0;0.018;0;0;0;0;0;0;13;Guard;52;12.92;1.09;8232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.686;0.914;0.449;0.436;164.19;219.04;128.91;95.44;10.3;424;7139;465;204;0.79;345.73;2.52;607.58;4.43;0.939;487;0;0;0;0;0;0;0;0;0;1196.86;8.72;0;0;0;0;0;17363.62;126.55;223.87;1.63;11.24;0;0;1542.59;0;0;0;0;0;0;0;0;0;0;297.12;2.17;5.3;722.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;0.95;0;0;0;0;0;0;0;0;0;0;168;51;42;72;3;1.22;0.37;0.31;0.52;0.02;0;0;0;0;0;0;0;0;120;4;112;3;1;0.87;0.03;0.82;0.02;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #5 Charleston Southern";Game
"Rodney Howard";2;BIGS;50662;25;2.623;0;0;0;0;0;0;0.019;0;0;0;0;0;0;24;Center;56;14.02;1.15;8232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.726;1.026;0.42;0.451;183.9;245.1;149.37;101.64;8.62;482;6992;536;222;0.88;448.5;3.27;680;4.96;1.02;574;0;0;0;0;0;0;0;0;0;1324.5;9.65;0;0;0;0;0;35763.65;260.67;320.52;2.34;12.92;0;0;1773;0;0;0;0;0;0;0;0;0;0;476.77;3.48;8;1097.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1.31;0;0;0;0;0;0;0;0;0;0;203;55;40;101;7;1.48;0.4;0.29;0.74;0.05;0;0;0;0;0;0;0;0;131;10;109;9;3;0.95;0.07;0.79;0.07;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #5 Charleston Southern";Game
