Name;"Group Id";"Group name";"League ID";"Player ID";"Distance (mi)";"Distance (speed | extreme) (mi)";"Distance (speed | high) (mi)";"Distance (speed | low) (mi)";"Distance (speed | medium) (mi)";"Distance (speed | very high) (mi)";"Distance (speed | very low) (mi)";"Distance / min (mi)";"Distance / min (speed | extreme) (mi)";"Distance / min (speed | high) (mi)";"Distance / min (speed | low) (mi)";"Distance / min (speed | medium) (mi)";"Distance / min (speed | very high) (mi)";"Distance / min (speed | very low) (mi)";Number;Position;"Speed (% of max.) (%)";"Speed (max.) (mph)";"Speed (Ø) (mph)";"Time (s)";"Time (speed | extreme) (s)";"Time (speed | high) (s)";"Time (speed | low) (s)";"Time (speed | medium) (s)";"Time (speed | very high) (s)";"Time (speed | very low) (s)";"Time on Playing Field (s)";"Accel 1";"Accel 1 / min";"Accel 2";"Accel 2 / min";"Accel 3";"Accel 3 / min";"Accel 4";"Accel 4 / min";"Acceleration (max.) (ft/s²)";"Acceleration Load (distance | high) (mi)";"Acceleration Load (distance | low) (mi)";"Acceleration Load (distance | medium) (mi)";"Acceleration Load (distance | very high) (mi)";"Acceleration Load (load | high)";"Acceleration Load (load | low)";"Acceleration Load (load | medium)";"Acceleration Load (load | very high)";"Acceleration Load (max.)";"Acceleration Load (time | high) (s)";"Acceleration Load (time | low) (s)";"Acceleration Load (time | medium) (s)";"Acceleration Load (time | very high) (s)";"Acceleration Load / min";"Accels Load";"Accels Load / min";"Accumulated Acceleration Load";"Accumulated Acceleration Load / min";"Anaerobic Activity (distance) (mi)";"Anaerobic Activity (time) (s)";"Decel 1";"Decel 1 / min";"Decel 2";"Decel 2 / min";"Decel 3";"Decel 3 / min";"Decel 4";"Decel 4 / min";"Deceleration (max.) (ft/s²)";"Decels Load";"Decels Load / min";"High Metabolic Power Distance (m)";"High Metabolic Power Distance / min (m)";"High Speed and Acceleration Distance (m)";"High Speed and Acceleration Distance / min (m)";"High Speed and Acceleration Time (s)";"Jump Load (J)";"Jump Load / min (J)";"Jump Load per mass (J/kg)";"Jump Load per mass / min (J/kg)";"Mechanical Intensity";"Mechanical Intensity (def.)";"Mechanical Intensity (off.)";"Mechanical Load";"Mechanical Load (def.)";"Mechanical Load (off.)";"Metabolic Power (max.) (W)";"Metabolic Power (time | high) (s)";"Metabolic Power (time | low) (s)";"Metabolic Power (time | medium) (s)";"Metabolic Power (time | very high) (s)";"Metabolic Power (Ø) (W)";"Metabolic Power per mass (max.) (W/kg)";"Metabolic Power per mass (Ø) (W/kg)";"Metabolic Work (kcal)";"Metabolic Work / min (kcal)";"Physio Intensity";"Physio Load";"Heart Rate (max.) (bpm)";"Heart Rate (min.) (bpm)";"Heart Rate (time | 0 - 50%) (s)";"Heart Rate (time | 50 - 60%) (s)";"Heart Rate (time | 60 - 70%) (s)";"Heart Rate (time | 70 - 80%) (s)";"Heart Rate (time | 80 - 90%) (s)";"Heart Rate (time | ≥ 90%) (s)";"Heart Rate (Ø) (bpm)";"Heart Rate Recoveries";"Heart Rate Recoveries / min";"Human Core Temperature (max.) (°F)";"Human Core Temperature (Ø) (°F)";TRIMP;Accelerations;"Accelerations (high)";"Accelerations (low)";"Accelerations (medium)";"Accelerations (very high)";"Accelerations / min";"Accelerations / min (high)";"Accelerations / min (low)";"Accelerations / min (medium)";"Accelerations / min (very high)";"Changes of Direction";"Changes of Direction (left)";"Changes of Direction (right)";"Changes of Direction / min";"Changes of Direction / min (left)";"Changes of Direction / min (right)";"Changes of Orientation";"Changes of Orientation / min";Decelerations;"Decelerations (high)";"Decelerations (low)";"Decelerations (medium)";"Decelerations (very high)";"Decelerations / min";"Decelerations / min (high)";"Decelerations / min (low)";"Decelerations / min (medium)";"Decelerations / min (very high)";Exertions;"Exertions (high)";"Exertions (low)";"Exertions (medium)";"Exertions (very high)";"Exertions / min";"Exertions / min (high)";"Exertions / min (low)";"Exertions / min (medium)";"Exertions / min (very high)";FCTs;"FCTs (high)";"FCTs (low)";"FCTs (medium)";"FCTs / min";"FCTs / min (high)";"FCTs / min (low)";"FCTs / min (medium)";Jumps;"Jumps (high)";"Jumps (low)";"Jumps (medium)";"Jumps (very high)";"Jumps / min";"Jumps / min (high)";"Jumps / min (low)";"Jumps / min (medium)";"Jumps / min (very high)";MCTs;"MCTs (high)";"MCTs (low)";"MCTs (medium)";"MCTs / min";"MCTs / min (high)";"MCTs / min (low)";"MCTs / min (medium)";Sprints;"Sprints (high)";"Sprints (low)";"Sprints (medium)";"Sprints (very high)";"Sprints / min";"Sprints / min (high)";"Sprints / min (low)";"Sprints / min (medium)";"Sprints / min (very high)";"Noah Shots";"Noah Shots (make)";"Noah Shots (miss)";"Noah Shots / min";"Noah Shots / min (make)";"Noah Shots / min (miss)";"RSPCT Shots";"RSPCT Shots (make)";"RSPCT Shots (miss)";"RSPCT Shots / min";"RSPCT Shots / min (make)";"RSPCT Shots / min (miss)";Description;Types
"Deebo Coleman";1;Guards;63391;19;2.256;0;0.647;0.7;0.801;0.108;0;0.021;0;0.006;0.007;0.008;0.001;0;10;Forward;59;14.57;1.28;6368;0;291;1917;662;34;3464;4092;175.28;1.65;83.17;0.78;73.95;0.7;1.09;0.01;12.26;0.473;0.755;0.242;0.785;145.04;202.02;86.45;183.52;10.84;365;5320;312;371;1.04;333.49;3.14;617.04;5.81;1.151;637;649.04;6.11;259.09;2.44;175.3;1.65;0;0;-11.72;1083.43;10.21;0.302;0.003;0.226;0.002;118;20626.65;194.34;211.51;1.99;13.35;0;0;1416.92;0;0;6355.2;153;5141;1003;71;233.02;29.33;1.08;355.84;3.35;7.8;825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;40;33;36;2;1.05;0.38;0.31;0.34;0.02;42;18;24;0.4;0.17;0.23;167;1.57;83;20;33;28;2;0.78;0.19;0.31;0.26;0.02;150;71;22;37;20;1.41;0.67;0.21;0.35;0.19;58;17;21;20;0.55;0.16;0.2;0.19;97;4;87;5;1;0.91;0.04;0.82;0.05;0.01;78;19;24;35;0.73;0.18;0.23;0.33;52;6;24;19;3;0.49;0.06;0.23;0.18;0.03;0;0;0;0;0;0;0;0;0;0;0;0;Clemson;Game
"Deivon Smith";1;Guards;63390;18;2.831;0.005;0.772;0.909;1.014;0.131;0;0.026;0;0.007;0.008;0.009;0.001;0;5;Guard;66;16.44;1.56;6544;1;348;2349;825;41;2980;5016;226.61;2.08;99.08;0.91;96;0.88;2.18;0.02;13;0.789;0.956;0.418;0.665;190.87;237.26;131.61;139.16;9.89;498;5296;450;299;1.14;423.88;3.89;698.89;6.41;1.265;656;820.72;7.53;325.77;2.99;179.39;1.64;19.64;0.18;-16.9;1345.52;12.34;0.366;0.003;0.288;0.003;144;27584.82;252.94;353.56;3.24;16.22;0;0;1769.39;0;0;6226.89;161;4981;1307;94;228.47;35.92;1.32;360.39;3.3;7.6;828.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;51;33;44;10;1.27;0.47;0.3;0.4;0.09;57;28;29;0.52;0.26;0.27;200;1.83;113;20;55;29;9;1.04;0.18;0.5;0.27;0.08;229;81;39;93;16;2.1;0.74;0.36;0.85;0.15;65;16;11;38;0.6;0.15;0.1;0.35;127;4;101;4;18;1.16;0.04;0.93;0.04;0.17;93;18;13;62;0.85;0.17;0.12;0.57;71;9;31;29;2;0.65;0.08;0.28;0.27;0.02;0;0;0;0;0;0;0;0;0;0;0;0;Clemson;Game
"Jalon Moore";1;Guards;63393;23;0.236;0;0.002;0.203;0.031;0;0;0.002;0;0;0.002;0;0;0;14;Forward;33;8.32;0.14;6055;0;1;802;27;0;5225;1582;57.47;0.57;2.82;0.03;0;0;0;0;5.82;0.011;0.208;0.016;0.001;2.49;94.12;3.71;0.37;5.29;8;6028;17;1;0.18;60.29;0.6;100.69;1;0.008;6;201.66;2;3.27;0.03;0;0;0;0;-5.23;204.94;2.03;0.001;0;0;0;0;833.57;8.26;8.71;0.09;2.63;0;0;265.23;0;0;2341.94;2;5980;73;0;22.9;11.01;0.11;33.99;0.34;0.8;84.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0.02;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0.04;0;0.02;0.02;0;1;0;1;0;0.01;0;0.01;0;2;0;1;0;1;0.02;0;0.01;0;0.01;2;0;2;0;0.02;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Clemson;Game
"Jordan Meka";2;Bigs;64244;24;2.511;0;0.67;0.931;0.746;0.165;0;0.024;0;0.006;0.009;0.007;0.002;0;23;Center;59;14.56;1.46;6220;0;289;2534;632;51;2714;4560;217.13;2.09;93.61;0.9;77.25;0.75;1.09;0.01;11.85;0.729;0.816;0.43;0.536;182.39;233.15;148.78;123.36;12.02;468;4956;533;262;1.18;389.09;3.75;687.68;6.63;1.093;588;822.09;7.93;279.99;2.7;143.11;1.38;0;0;-11.31;1245.19;12.01;0.365;0.004;0.283;0.003;122;23364.21;225.39;228.93;2.21;15.77;0;0;1634.27;0;0;7372.4;140;4942;1057;81;278.56;32.51;1.23;411.67;3.97;9.3;961.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;43;35;33;3;1.1;0.41;0.34;0.32;0.03;47;19;28;0.45;0.18;0.27;197;1.9;83;16;41;26;0;0.8;0.15;0.4;0.25;0;191;66;45;65;15;1.84;0.64;0.43;0.63;0.14;89;25;11;53;0.86;0.24;0.11;0.51;100;5;84;8;3;0.96;0.05;0.81;0.08;0.03;97;26;10;61;0.94;0.25;0.1;0.59;58;12;18;26;2;0.56;0.12;0.17;0.25;0.02;0;0;0;0;0;0;0;0;0;0;0;0;Clemson;Game
"Jordan Usher";1;Guards;37356;17;2.67;0.013;0.735;0.902;0.914;0.105;0;0.025;0;0.007;0.009;0.009;0.001;0;4;Forward;65;16.13;1.51;6365;4;329;2449;760;32;2791;4770;228.23;2.15;94.59;0.89;84.77;0.8;1.09;0.01;11.89;0.574;0.994;0.402;0.699;146.71;266.46;120.68;153.92;12.66;392;5233;429;311;1.15;408.69;3.85;687.78;6.48;1.115;573;783.67;7.39;273.07;2.57;216.27;2.04;3.27;0.03;-12.32;1276.28;12.03;0.342;0.003;0.286;0.003;146;28140.13;265.26;281.99;2.66;15.88;0;0;1684.97;0;0;7666.17;172;4943;1175;74;281.21;34.57;1.27;433.86;4.09;9.4;999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;41;40;46;4;1.23;0.39;0.38;0.43;0.04;36;20;16;0.34;0.19;0.15;180;1.7;111;28;43;33;7;1.05;0.26;0.41;0.31;0.07;194;56;41;61;36;1.83;0.53;0.39;0.58;0.34;69;10;21;38;0.65;0.09;0.2;0.36;110;6;95;4;5;1.04;0.06;0.9;0.04;0.05;95;21;21;53;0.9;0.2;0.2;0.5;55;12;24;16;3;0.52;0.11;0.23;0.15;0.03;0;0;0;0;0;0;0;0;0;0;0;0;Clemson;Game
"Khalid Moore";1;Guards;29932;21;2.371;0.007;0.72;0.81;0.693;0.141;0;0.022;0;0.007;0.008;0.007;0.001;0;12;Forward;65;16.2;1.34;6364;2;322;2066;551;44;3380;3823;171.6;1.62;86.97;0.82;81.8;0.77;3.27;0.03;12.47;0.856;0.742;0.344;0.429;188.42;192.89;105.95;85.96;8.5;492;5301;386;185;0.96;343.63;3.24;573.22;5.4;1.116;546;688.62;6.49;267.34;2.52;172.98;1.63;16.36;0.15;-12.8;1145.3;10.8;0.353;0.003;0.308;0.003;141;17524.87;165.21;185.74;1.75;14.04;0;0;1488.93;0;0;6791.63;154;5184;946;80;234.1;32.39;1.12;360.1;3.39;7.9;839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118;42;30;39;7;1.11;0.4;0.28;0.37;0.07;41;21;20;0.39;0.2;0.19;130;1.23;98;21;44;26;7;0.92;0.2;0.41;0.25;0.07;161;43;37;77;4;1.52;0.41;0.35;0.73;0.04;71;17;13;41;0.67;0.16;0.12;0.39;101;4;96;1;0;0.95;0.04;0.91;0.01;0;89;23;14;52;0.84;0.22;0.13;0.49;54;12;20;19;3;0.51;0.11;0.19;0.18;0.03;0;0;0;0;0;0;0;0;0;0;0;0;Clemson;Game
"Kyle Sturdivant";1;Guards;64242;14;1.546;0.001;0.387;0.614;0.488;0.055;0;0.015;0;0.004;0.006;0.005;0.001;0;1;Guard;61;15.07;0.87;6373;1;182;1672;386;18;4114;3259;143.87;1.35;65.64;0.62;47.64;0.45;1.09;0.01;12.23;0.373;0.539;0.215;0.417;100.72;168.97;72.18;95.28;14.22;266;5661;249;196;0.73;258.23;2.43;437.15;4.12;0.698;384;514.21;4.84;181.64;1.71;124.36;1.17;12;0.11;-14.93;832.21;7.84;0.183;0.002;0.135;0.001;75;12113.8;114.05;135.56;1.28;10.27;0;0;1090.44;0;0;6003.97;90;5620;616;47;146;30.23;0.74;223.05;2.1;4.9;518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;22;29;32;3;0.81;0.21;0.27;0.3;0.03;19;9;10;0.18;0.08;0.09;104;0.98;73;16;32;22;3;0.69;0.15;0.3;0.21;0.03;132;48;21;46;17;1.24;0.45;0.2;0.43;0.16;26;2;2;22;0.24;0.02;0.02;0.21;63;4;56;3;0;0.59;0.04;0.53;0.03;0;57;12;10;35;0.54;0.11;0.09;0.33;33;6;13;13;1;0.31;0.06;0.12;0.12;0.01;0;0;0;0;0;0;0;0;0;0;0;0;Clemson;Game
"Mike Devoe";1;Guards;29933;13;2.954;0;0.622;1.198;1.094;0.041;0;0.028;0;0.006;0.011;0.01;0;0;0;Guard;54;13.47;1.67;6377;0;302;2946;916;14;2200;5582;254.9;2.4;109.11;1.03;62.55;0.59;0;0;10.24;0.643;1.216;0.499;0.597;172.96;308.38;161.01;133.98;11.26;453;5049;590;284;1.31;426.56;4.01;776.33;7.3;1.075;593;901.55;8.48;304.57;2.87;145.09;1.37;0;0;-11.18;1351.21;12.71;0.206;0.002;0.15;0.001;90;18587.01;174.88;214.53;2.02;16.73;0;0;1777.77;0;0;4863.88;150;4678;1497;52;263.64;25.26;1.37;400.91;3.77;9;959.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;30;54;42;1;1.19;0.28;0.51;0.4;0.01;28;14;14;0.26;0.13;0.13;158;1.49;99;15;53;29;2;0.93;0.14;0.5;0.27;0.02;218;74;43;87;14;2.05;0.7;0.4;0.82;0.13;64;5;36;23;0.6;0.05;0.34;0.22;100;5;93;2;0;0.94;0.05;0.88;0.02;0;110;11;36;63;1.03;0.1;0.34;0.59;26;3;10;13;0;0.24;0.03;0.09;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;Clemson;Game
"Miles Kelly";1;Guards;63392;22;2.303;0.005;0.64;0.787;0.801;0.07;0;0.023;0;0.006;0.008;0.008;0.001;0;13;Guard;64;15.93;1.38;6006;1;300;2042;661;23;2979;3840;161.79;1.62;85.3;0.85;73.61;0.74;1.09;0.01;12.75;0.834;0.795;0.452;0.223;176.66;211.39;129.62;41.1;9.01;474;4973;464;95;0.97;321.79;3.21;558.77;5.58;0.857;423;658.41;6.58;269.11;2.69;124.5;1.24;4.36;0.04;-12.22;1056.39;10.55;0.276;0.003;0.195;0.002;92;15942.73;159.26;205.55;2.05;13.77;0;0;1378.18;0;0;5733.29;160;4655;1116;75;219.73;33.26;1.27;280.2;2.8;6.7;670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121;33;39;47;2;1.21;0.33;0.39;0.47;0.02;51;27;24;0.51;0.27;0.24;101;1.01;89;13;47;28;1;0.89;0.13;0.47;0.28;0.01;167;21;61;84;1;1.67;0.21;0.61;0.84;0.01;46;8;15;23;0.46;0.08;0.15;0.23;109;1;101;6;1;1.09;0.01;1.01;0.06;0.01;73;9;23;41;0.73;0.09;0.23;0.41;52;1;27;21;3;0.52;0.01;0.27;0.21;0.03;0;0;0;0;0;0;0;0;0;0;0;0;Clemson;Game
"Rodney Howard";2;Bigs;50662;25;0.877;0;0.229;0.382;0.234;0.032;0;0.008;0;0.002;0.004;0.002;0;0;24;Center;54;13.47;0.51;6227;0;102;1022;205;10;4888;2170;84.36;0.81;26.36;0.25;31.09;0.3;0;0;9.93;0.233;0.402;0.138;0.104;54.16;106.97;40.13;21.94;8.4;144;5886;148;48;0.38;141.81;1.37;223.19;2.15;0.266;138;311.34;3;101.39;0.98;42.55;0.41;0;0;-11.7;455.27;4.39;0.111;0.001;0.084;0.001;39;6600.4;63.6;59.15;0.57;5.75;0;0;597.08;0;0;5323.99;50;5771;380;27;103.84;21.47;0.42;154.21;1.49;3.5;366.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;15;5;18;0;0.37;0.14;0.05;0.17;0;7;5;2;0.07;0.05;0.02;39;0.38;36;6;22;7;1;0.35;0.06;0.21;0.07;0.01;51;11;14;26;0;0.49;0.11;0.13;0.25;0;24;10;5;9;0.23;0.1;0.05;0.09;21;0;16;4;1;0.2;0;0.15;0.04;0.01;31;15;6;10;0.3;0.14;0.06;0.1;17;2;6;9;0;0.16;0.02;0.06;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;Clemson;Game
