Name;"Group Id";"Group name";"League ID";"Player ID";"Distance (mi)";"Distance (speed | extreme) (mi)";"Distance (speed | high) (mi)";"Distance (speed | low) (mi)";"Distance (speed | medium) (mi)";"Distance (speed | very high) (mi)";"Distance (speed | very low) (mi)";"Distance / min (mi)";"Distance / min (speed | extreme) (mi)";"Distance / min (speed | high) (mi)";"Distance / min (speed | low) (mi)";"Distance / min (speed | medium) (mi)";"Distance / min (speed | very high) (mi)";"Distance / min (speed | very low) (mi)";Number;Position;"Speed (% of max.) (%)";"Speed (max.) (mph)";"Speed (Ø) (mph)";"Time (s)";"Time (speed | extreme) (s)";"Time (speed | high) (s)";"Time (speed | low) (s)";"Time (speed | medium) (s)";"Time (speed | very high) (s)";"Time (speed | very low) (s)";"Time on Playing Field (s)";"Accel 1";"Accel 1 / min";"Accel 2";"Accel 2 / min";"Accel 3";"Accel 3 / min";"Accel 4";"Accel 4 / min";"Acceleration (max.) (ft/s²)";"Acceleration Load (distance | high) (mi)";"Acceleration Load (distance | low) (mi)";"Acceleration Load (distance | medium) (mi)";"Acceleration Load (distance | very high) (mi)";"Acceleration Load (load | high)";"Acceleration Load (load | low)";"Acceleration Load (load | medium)";"Acceleration Load (load | very high)";"Acceleration Load (max.)";"Acceleration Load (time | high) (s)";"Acceleration Load (time | low) (s)";"Acceleration Load (time | medium) (s)";"Acceleration Load (time | very high) (s)";"Acceleration Load / min";"Accels Load";"Accels Load / min";"Accumulated Acceleration Load";"Accumulated Acceleration Load / min";"Anaerobic Activity (distance) (mi)";"Anaerobic Activity (time) (s)";"Decel 1";"Decel 1 / min";"Decel 2";"Decel 2 / min";"Decel 3";"Decel 3 / min";"Decel 4";"Decel 4 / min";"Deceleration (max.) (ft/s²)";"Decels Load";"Decels Load / min";"High Metabolic Power Distance (m)";"High Metabolic Power Distance / min (m)";"High Speed and Acceleration Distance (m)";"High Speed and Acceleration Distance / min (m)";"High Speed and Acceleration Time (s)";"Jump Load (J)";"Jump Load / min (J)";"Jump Load per mass (J/kg)";"Jump Load per mass / min (J/kg)";"Mechanical Intensity";"Mechanical Intensity (def.)";"Mechanical Intensity (off.)";"Mechanical Load";"Mechanical Load (def.)";"Mechanical Load (off.)";"Metabolic Power (max.) (W)";"Metabolic Power (time | high) (s)";"Metabolic Power (time | low) (s)";"Metabolic Power (time | medium) (s)";"Metabolic Power (time | very high) (s)";"Metabolic Power (Ø) (W)";"Metabolic Power per mass (max.) (W/kg)";"Metabolic Power per mass (Ø) (W/kg)";"Metabolic Work (kcal)";"Metabolic Work / min (kcal)";"Physio Intensity";"Physio Load";"Heart Rate (max.) (bpm)";"Heart Rate (min.) (bpm)";"Heart Rate (time | 0 - 50%) (s)";"Heart Rate (time | 50 - 60%) (s)";"Heart Rate (time | 60 - 70%) (s)";"Heart Rate (time | 70 - 80%) (s)";"Heart Rate (time | 80 - 90%) (s)";"Heart Rate (time | ≥ 90%) (s)";"Heart Rate (Ø) (bpm)";"Heart Rate Recoveries";"Heart Rate Recoveries / min";"Human Core Temperature (max.) (°F)";"Human Core Temperature (Ø) (°F)";TRIMP;Accelerations;"Accelerations (high)";"Accelerations (low)";"Accelerations (medium)";"Accelerations (very high)";"Accelerations / min";"Accelerations / min (high)";"Accelerations / min (low)";"Accelerations / min (medium)";"Accelerations / min (very high)";"Changes of Direction";"Changes of Direction (left)";"Changes of Direction (right)";"Changes of Direction / min";"Changes of Direction / min (left)";"Changes of Direction / min (right)";"Changes of Orientation";"Changes of Orientation / min";Decelerations;"Decelerations (high)";"Decelerations (low)";"Decelerations (medium)";"Decelerations (very high)";"Decelerations / min";"Decelerations / min (high)";"Decelerations / min (low)";"Decelerations / min (medium)";"Decelerations / min (very high)";Exertions;"Exertions (high)";"Exertions (low)";"Exertions (medium)";"Exertions (very high)";"Exertions / min";"Exertions / min (high)";"Exertions / min (low)";"Exertions / min (medium)";"Exertions / min (very high)";FCTs;"FCTs (high)";"FCTs (low)";"FCTs (medium)";"FCTs / min";"FCTs / min (high)";"FCTs / min (low)";"FCTs / min (medium)";Jumps;"Jumps (high)";"Jumps (low)";"Jumps (medium)";"Jumps (very high)";"Jumps / min";"Jumps / min (high)";"Jumps / min (low)";"Jumps / min (medium)";"Jumps / min (very high)";MCTs;"MCTs (high)";"MCTs (low)";"MCTs (medium)";"MCTs / min";"MCTs / min (high)";"MCTs / min (low)";"MCTs / min (medium)";Sprints;"Sprints (high)";"Sprints (low)";"Sprints (medium)";"Sprints (very high)";"Sprints / min";"Sprints / min (high)";"Sprints / min (low)";"Sprints / min (medium)";"Sprints / min (very high)";"Noah Shots";"Noah Shots (make)";"Noah Shots (miss)";"Noah Shots / min";"Noah Shots / min (make)";"Noah Shots / min (miss)";"RSPCT Shots";"RSPCT Shots (make)";"RSPCT Shots (miss)";"RSPCT Shots / min";"RSPCT Shots / min (make)";"RSPCT Shots / min (miss)";Description;Types
"Deebo Coleman";1;Guards;63391;19;2.718;0;0.806;0.848;0.912;0.152;0;0.022;0;0.007;0.007;0.007;0.001;0;10;Forward;59;14.6;1.33;7352;0;359;2429;746;47;3770;5154;196.19;1.6;109.51;0.89;110.93;0.91;2.18;0.02;12.48;0.636;0.764;0.304;1.013;196.24;230.47;114.48;243.38;10.37;497;5968;408;478;1.15;418.82;3.42;784.56;6.4;1.509;839;780.51;6.37;356.32;2.91;220.77;1.8;0;0;-10.52;1357.6;11.08;0.418;0.003;0.334;0.003;167;27450.91;224.02;281.49;2.3;14.5;0;0;1776.42;0;0;6503.74;169;5886;1193;104;248.61;30.01;1.15;434.27;3.54;8.1;994.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;44;33;55;8;1.14;0.36;0.27;0.45;0.07;52;24;28;0.42;0.2;0.23;228;1.86;129;32;60;35;2;1.05;0.26;0.49;0.29;0.02;210;78;32;70;30;1.71;0.64;0.26;0.57;0.24;66;14;11;41;0.54;0.11;0.09;0.33;145;3;139;3;0;1.18;0.02;1.13;0.02;0;94;19;16;59;0.77;0.16;0.13;0.48;69;14;28;25;2;0.56;0.11;0.23;0.2;0.02;0;0;0;0;0;0;0;0;0;0;0;0;"Game FSU";Game
"Deivon Smith";1;Guards;63390;18;1.777;0.005;0.355;0.719;0.586;0.113;0;0.014;0;0.003;0.006;0.005;0.001;0;5;Guard;60;14.94;0.86;7419;1;167;2092;486;34;4639;4192;178.51;1.44;55.45;0.45;65.82;0.53;2.55;0.02;14.16;0.446;0.699;0.228;0.404;122.36;194.46;76.64;91.34;10.54;315;6645;266;193;0.7;302.33;2.44;484.79;3.92;0.74;417;602.18;4.87;188.73;1.53;152.18;1.23;3.27;0.03;-13.02;946.36;7.65;0.206;0.002;0.217;0.002;109;19769.11;159.87;253.39;2.05;10.1;0;0;1248.69;0;0;6544.8;77;6464;820;58;127.91;37.75;0.74;233.47;1.89;4.2;520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;34;12;22;6;0.6;0.27;0.1;0.18;0.05;41;21;20;0.33;0.17;0.16;137;1.11;67;21;20;21;5;0.54;0.17;0.16;0.17;0.04;145;40;28;56;21;1.17;0.32;0.23;0.45;0.17;26;14;4;8;0.21;0.11;0.03;0.06;92;1;73;8;10;0.74;0.01;0.59;0.06;0.08;47;14;12;21;0.38;0.11;0.1;0.17;34;13;7;12;2;0.27;0.11;0.06;0.1;0.02;0;0;0;0;0;0;0;0;0;0;0;0;"Game FSU";Game
"Jalon Moore";1;Guards;63393;23;0.309;0;0.002;0.244;0.063;0;0;0.003;0;0;0.002;0.001;0;0;14;Forward;31;7.74;0.15;7252;0;1;885;55;0;6311;1924;75.72;0.63;3.27;0.03;0;0;0;0;4.73;0.012;0.255;0.041;0.001;4.87;105.53;9.15;0.73;5.8;13;7194;43;1;0.18;78.99;0.65;120.28;1;0.007;10;237.68;1.97;6.82;0.06;0;0;0;0;-4.73;244.5;2.02;0;0;0;0;0;589.72;4.88;6.16;0.05;2.68;0;0;323.49;0;0;1771.38;1;7147;104;0;24.45;8.33;0.11;42.33;0.35;0.9;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0.01;0;0.01;0;0;0;0;0;0;0;0;2;0.02;0;0;0;0;0;0;0;0;0;0;4;0;3;1;0;0.03;0;0.02;0.01;0;1;0;0;1;0.01;0;0;0.01;3;0;3;0;0;0.02;0;0.02;0;0;1;0;0;1;0.01;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game FSU";Game
"Jordan Meka";2;Bigs;64244;24;0.353;0;0.014;0.237;0.101;0;0;0.003;0;0;0.002;0.001;0;0;23;Center;36;8.95;0.17;7303;0;7;1154;83;0;6059;2700;84.25;0.69;5.55;0.05;0;0;0;0;5.57;0.025;0.259;0.064;0.005;8.2;114.09;19.39;1.7;6.69;24;7197;78;4;0.21;89.8;0.74;143.37;1.18;0.018;13;302.9;2.49;6.82;0.06;0;0;0;0;-5.62;309.72;2.54;0.001;0;0;0;0;4242.06;34.85;41.56;0.34;3.28;0;0;399.51;0;0;2619.89;4;7160;139;0;30.94;11.55;0.14;54.99;0.45;1.1;135.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0.03;0;0.03;0;0;0;0;0;0;0;0;5;0.04;0;0;0;0;0;0;0;0;0;0;12;3;8;1;0;0.1;0.02;0.07;0.01;0;1;0;0;1;0.01;0;0;0.01;12;1;9;0;2;0.1;0.01;0.07;0;0.02;1;0;0;1;0.01;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game FSU";Game
"Jordan Usher";1;Guards;37356;17;3.837;0.026;1.058;1.256;1.354;0.142;0;0.032;0;0.009;0.01;0.011;0.001;0;4;Forward;65;16.06;1.91;7251;7;489;3283;1163;45;2263;6746;293.98;2.43;146.88;1.22;106.95;0.89;3.64;0.03;12.4;1.035;1.509;0.681;0.612;225.71;323.7;178.84;125.97;11.27;607;5712;658;273;1.25;551.45;4.56;854.23;7.07;1.37;685;1057.07;8.75;391.02;3.24;280.36;2.32;12;0.1;-14.63;1740.46;14.4;0.448;0.004;0.363;0.003;186;42511.15;351.79;426.01;3.53;18.97;0;0;2291.91;0;0;7663.01;259;4941;1941;111;384.26;34.56;1.73;618.59;5.12;11.9;1436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183;46;65;65;7;1.51;0.38;0.54;0.54;0.06;52;24;28;0.43;0.2;0.23;152;1.26;143;37;48;45;13;1.18;0.31;0.4;0.37;0.11;248;69;53;110;16;2.05;0.57;0.44;0.91;0.13;100;13;34;53;0.83;0.11;0.28;0.44;160;6;132;15;7;1.32;0.05;1.09;0.12;0.06;140;23;30;87;1.16;0.19;0.25;0.72;75;4;41;21;9;0.62;0.03;0.34;0.17;0.07;0;0;0;0;0;0;0;0;0;0;0;0;"Game FSU";Game
"Khalid Moore";1;Guards;29932;21;2.772;0.01;0.869;0.918;0.776;0.199;0;0.023;0;0.007;0.007;0.006;0.002;0;12;Forward;61;15.22;1.36;7361;3;379;2584;633;60;3701;5706;213.1;1.74;95.16;0.78;104.45;0.85;5.45;0.04;12.56;1.032;0.81;0.38;0.55;226.26;226.3;126.84;119.97;16.01;584;6054;466;256;1.02;418.17;3.41;699.36;5.7;1.373;676;818.15;6.67;332.08;2.71;202.23;1.65;6.55;0.05;-13.44;1359;11.08;0.463;0.004;0.382;0.003;174;27680.87;225.64;293.38;2.39;14.49;0;0;1777.17;0;0;6519.79;174;6018;1059;109;239.82;31.1;1.14;427.82;3.49;8;980.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;46;24;48;8;1.03;0.37;0.2;0.39;0.07;40;22;18;0.33;0.18;0.15;149;1.21;121;28;55;34;4;0.99;0.23;0.45;0.28;0.03;193;56;40;86;11;1.57;0.46;0.33;0.7;0.09;79;28;14;37;0.64;0.23;0.11;0.3;119;5;103;7;4;0.97;0.04;0.84;0.06;0.03;88;30;13;45;0.72;0.24;0.11;0.37;69;15;21;28;5;0.56;0.12;0.17;0.23;0.04;0;0;0;0;0;0;0;0;0;0;0;0;"Game FSU";Game
"Kyle Sturdivant";1;Guards;64242;14;2.739;0.005;0.514;1.174;0.965;0.082;0;0.023;0;0.004;0.01;0.008;0.001;0;1;Guard;60;14.89;1.35;7297;1;250;2679;805;27;3534;5867;234.61;1.93;113.24;0.93;96;0.79;2.18;0.02;13.48;0.692;1.011;0.605;0.431;179.73;246.07;189.77;85.52;7.97;492;5938;668;198;1.02;446.03;3.67;701.08;5.76;0.921;514;840.32;6.91;322.88;2.65;230.18;1.89;17.45;0.14;-14.15;1410.84;11.6;0.236;0.002;0.242;0.002;150;42474.15;349.25;475.32;3.91;15.27;0;0;1856.87;0;0;6059.35;129;5746;1341;80;234.25;30.51;1.18;400.06;3.29;7.5;918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;50;38;46;3;1.13;0.41;0.31;0.38;0.02;47;26;21;0.39;0.21;0.17;134;1.1;123;35;44;34;10;1.01;0.29;0.36;0.28;0.08;249;59;61;117;12;2.05;0.49;0.5;0.96;0.1;44;10;12;22;0.36;0.08;0.1;0.18;238;3;220;13;2;1.96;0.02;1.81;0.11;0.02;98;14;25;59;0.81;0.12;0.21;0.49;40;10;12;16;2;0.33;0.08;0.1;0.13;0.02;0;0;0;0;0;0;0;0;0;0;0;0;"Game FSU";Game
"Mike Devoe";1;Guards;29933;13;3.474;0.016;0.607;1.475;1.315;0.061;0;0.029;0;0.005;0.012;0.011;0;0;0;Guard;64;15.84;1.71;7309;4;290;3445;1134;19;2416;6852;296.78;2.44;115.91;0.95;77.82;0.64;1.45;0.01;12.82;0.815;1.584;0.699;0.376;195.9;337.01;212.63;71.95;9.51;541;5833;772;162;1.2;491.97;4.04;817.49;6.71;0.972;520;1028.28;8.44;323.22;2.65;185.32;1.52;6.55;0.05;-12.31;1543.36;12.67;0.249;0.002;0.218;0.002;117;27884.85;228.9;321.85;2.64;16.71;0;0;2035.33;0;0;6806.43;151;5083;2008;67;282.24;35.35;1.47;473.86;3.89;9.3;1128.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;32;48;48;6;1.1;0.26;0.39;0.39;0.05;37;17;20;0.3;0.14;0.16;130;1.07;102;23;43;33;3;0.84;0.19;0.35;0.27;0.02;241;39;71;122;9;1.98;0.32;0.58;1;0.07;65;8;35;22;0.53;0.07;0.29;0.18;148;2;139;7;0;1.21;0.02;1.14;0.06;0;132;15;54;63;1.08;0.12;0.44;0.52;39;3;16;16;4;0.32;0.02;0.13;0.13;0.03;0;0;0;0;0;0;0;0;0;0;0;0;"Game FSU";Game
"Miles Kelly";1;Guards;63392;22;0.364;0;0.007;0.288;0.068;0;0;0.002;0;0;0.002;0;0;0;13;Guard;30;7.38;0.15;9037;0;4;1103;55;0;7875;1843;81.86;0.54;5.73;0.04;0;0;0;0;5.88;0.031;0.288;0.044;0;7.06;128.6;11.68;0;4.62;21;8965;50;0;0.17;87.59;0.58;147.34;0.98;0.016;11;269.57;1.79;9.27;0.06;1.64;0.01;0;0;-6.14;280.48;1.86;0;0;0;0;0;3059.71;20.31;39.45;0.26;2.44;0;0;368.07;0;0;1508.99;2;8901;134;0;19.79;8.76;0.11;43.73;0.29;0.7;105.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;1;0;0.03;0;0.02;0.01;0;0;0;0;0;0;0;1;0.01;3;0;3;0;0;0.02;0;0.02;0;0;7;0;7;0;0;0.05;0;0.05;0;0;1;0;0;1;0.01;0;0;0.01;24;0;24;0;0;0.16;0;0.16;0;0;1;0;0;1;0.01;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game FSU";Game
"Rodney Howard";2;Bigs;50662;25;2.975;0;0.727;1.101;0.937;0.211;0;0.025;0;0.006;0.009;0.008;0.002;0;24;Center;58;14.5;1.51;7128;0;312;2876;838;67;3036;6034;257.93;2.17;103.92;0.87;104.27;0.88;1.09;0.01;12.2;0.662;1.183;0.435;0.694;183.16;284.75;148.49;153.67;16.34;489;5784;530;324;1.16;467.22;3.93;770.08;6.48;1.197;667;919.89;7.74;375.1;3.16;189.41;1.59;16.36;0.14;-13.55;1500.77;12.63;0.487;0.004;0.378;0.003;167;23908.88;201.25;214.28;1.8;16.57;0;0;1967.98;0;0;7089.03;166;5475;1363;124;337.06;28.59;1.36;536.37;4.51;10.5;1244.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;57;38;39;2;1.14;0.48;0.32;0.33;0.02;46;27;19;0.39;0.23;0.16;175;1.47;119;23;55;35;6;1;0.19;0.46;0.29;0.05;227;70;46;89;22;1.91;0.59;0.39;0.75;0.19;96;43;11;42;0.81;0.36;0.09;0.35;88;4;77;3;4;0.74;0.03;0.65;0.03;0.03;99;43;9;47;0.83;0.36;0.08;0.4;74;17;14;41;2;0.62;0.14;0.12;0.35;0.02;0;0;0;0;0;0;0;0;0;0;0;0;"Game FSU";Game
