Name;"Group Id";"Group name";"League ID";"Player ID";"Distance (mi)";"Distance (speed | extreme) (mi)";"Distance (speed | high) (mi)";"Distance (speed | low) (mi)";"Distance (speed | medium) (mi)";"Distance (speed | very high) (mi)";"Distance (speed | very low) (mi)";"Distance / min (mi)";"Distance / min (speed | extreme) (mi)";"Distance / min (speed | high) (mi)";"Distance / min (speed | low) (mi)";"Distance / min (speed | medium) (mi)";"Distance / min (speed | very high) (mi)";"Distance / min (speed | very low) (mi)";Number;Position;"Speed (% of max.) (%)";"Speed (max.) (mph)";"Speed (Ø) (mph)";"Time (s)";"Time (speed | extreme) (s)";"Time (speed | high) (s)";"Time (speed | low) (s)";"Time (speed | medium) (s)";"Time (speed | very high) (s)";"Time (speed | very low) (s)";"Time on Playing Field (s)";"Accel 1";"Accel 1 / min";"Accel 2";"Accel 2 / min";"Accel 3";"Accel 3 / min";"Accel 4";"Accel 4 / min";"Acceleration (max.) (ft/s²)";"Acceleration Load (distance | high) (mi)";"Acceleration Load (distance | low) (mi)";"Acceleration Load (distance | medium) (mi)";"Acceleration Load (distance | very high) (mi)";"Acceleration Load (load | high)";"Acceleration Load (load | low)";"Acceleration Load (load | medium)";"Acceleration Load (load | very high)";"Acceleration Load (max.)";"Acceleration Load (time | high) (s)";"Acceleration Load (time | low) (s)";"Acceleration Load (time | medium) (s)";"Acceleration Load (time | very high) (s)";"Acceleration Load / min";"Accels Load";"Accels Load / min";"Accumulated Acceleration Load";"Accumulated Acceleration Load / min";"Anaerobic Activity (distance) (mi)";"Anaerobic Activity (time) (s)";"Decel 1";"Decel 1 / min";"Decel 2";"Decel 2 / min";"Decel 3";"Decel 3 / min";"Decel 4";"Decel 4 / min";"Deceleration (max.) (ft/s²)";"Decels Load";"Decels Load / min";"High Metabolic Power Distance (m)";"High Metabolic Power Distance / min (m)";"High Speed and Acceleration Distance (m)";"High Speed and Acceleration Distance / min (m)";"High Speed and Acceleration Time (s)";"Jump Load (J)";"Jump Load / min (J)";"Jump Load per mass (J/kg)";"Jump Load per mass / min (J/kg)";"Mechanical Intensity";"Mechanical Intensity (def.)";"Mechanical Intensity (off.)";"Mechanical Load";"Mechanical Load (def.)";"Mechanical Load (off.)";"Metabolic Power (max.) (W)";"Metabolic Power (time | high) (s)";"Metabolic Power (time | low) (s)";"Metabolic Power (time | medium) (s)";"Metabolic Power (time | very high) (s)";"Metabolic Power (Ø) (W)";"Metabolic Power per mass (max.) (W/kg)";"Metabolic Power per mass (Ø) (W/kg)";"Metabolic Work (kcal)";"Metabolic Work / min (kcal)";"Physio Intensity";"Physio Load";"Heart Rate (max.) (bpm)";"Heart Rate (min.) (bpm)";"Heart Rate (time | 0 - 50%) (s)";"Heart Rate (time | 50 - 60%) (s)";"Heart Rate (time | 60 - 70%) (s)";"Heart Rate (time | 70 - 80%) (s)";"Heart Rate (time | 80 - 90%) (s)";"Heart Rate (time | ≥ 90%) (s)";"Heart Rate (Ø) (bpm)";"Heart Rate Recoveries";"Heart Rate Recoveries / min";"Human Core Temperature (max.) (°F)";"Human Core Temperature (Ø) (°F)";TRIMP;Accelerations;"Accelerations (high)";"Accelerations (low)";"Accelerations (medium)";"Accelerations (very high)";"Accelerations / min";"Accelerations / min (high)";"Accelerations / min (low)";"Accelerations / min (medium)";"Accelerations / min (very high)";"Changes of Direction";"Changes of Direction (left)";"Changes of Direction (right)";"Changes of Direction / min";"Changes of Direction / min (left)";"Changes of Direction / min (right)";"Changes of Orientation";"Changes of Orientation / min";Decelerations;"Decelerations (high)";"Decelerations (low)";"Decelerations (medium)";"Decelerations (very high)";"Decelerations / min";"Decelerations / min (high)";"Decelerations / min (low)";"Decelerations / min (medium)";"Decelerations / min (very high)";Exertions;"Exertions (high)";"Exertions (low)";"Exertions (medium)";"Exertions (very high)";"Exertions / min";"Exertions / min (high)";"Exertions / min (low)";"Exertions / min (medium)";"Exertions / min (very high)";FCTs;"FCTs (high)";"FCTs (low)";"FCTs (medium)";"FCTs / min";"FCTs / min (high)";"FCTs / min (low)";"FCTs / min (medium)";Jumps;"Jumps (high)";"Jumps (low)";"Jumps (medium)";"Jumps (very high)";"Jumps / min";"Jumps / min (high)";"Jumps / min (low)";"Jumps / min (medium)";"Jumps / min (very high)";MCTs;"MCTs (high)";"MCTs (low)";"MCTs (medium)";"MCTs / min";"MCTs / min (high)";"MCTs / min (low)";"MCTs / min (medium)";Sprints;"Sprints (high)";"Sprints (low)";"Sprints (medium)";"Sprints (very high)";"Sprints / min";"Sprints / min (high)";"Sprints / min (low)";"Sprints / min (medium)";"Sprints / min (very high)";"Noah Shots";"Noah Shots (make)";"Noah Shots (miss)";"Noah Shots / min";"Noah Shots / min (make)";"Noah Shots / min (miss)";"RSPCT Shots";"RSPCT Shots (make)";"RSPCT Shots (miss)";"RSPCT Shots / min";"RSPCT Shots / min (make)";"RSPCT Shots / min (miss)";Description;Types
"Deivon Smith";1;Guards;63390;18;2.051;0.024;0.463;0.778;0.704;0.081;0;0.015;0;0.003;0.006;0.005;0.001;0;5;Guard;67;16.78;0.88;8373;6;217;2423;567;25;5135;4896;203.74;1.46;77.45;0.56;58.91;0.42;8.73;0.06;14.53;0.515;0.723;0.336;0.476;133.98;216.22;108.54;106.47;10.31;351;7405;391;225;0.72;348.83;2.5;565.21;4.05;0.851;467;743.45;5.33;227.18;1.63;160.5;1.15;4.36;0.03;-13.63;1135.5;8.14;0.217;0.002;0.203;0.001;106;20489.79;146.84;262.62;1.88;10.64;0;0;1484.33;0;0;8096.19;99;7325;888;59;129.43;46.7;0.75;263.65;1.89;4.3;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;30;31;23;10;0.67;0.21;0.22;0.16;0.07;25;8;17;0.18;0.06;0.12;105;0.75;83;18;35;27;3;0.59;0.13;0.25;0.19;0.02;155;54;22;66;13;1.11;0.39;0.16;0.47;0.09;41;12;12;17;0.29;0.09;0.09;0.12;82;4;56;8;14;0.59;0.03;0.4;0.06;0.1;63;13;16;34;0.45;0.09;0.11;0.24;33;7;10;11;5;0.24;0.05;0.07;0.08;0.04;0;0;0;0;0;0;0;0;0;0;0;0;"GA State";Game
"Jalon Moore";1;Guards;63393;23;0.13;0;0;0.13;0;0;0;0.001;0;0;0.001;0;0;0;14;Forward;12;3.07;0.06;8365;0;0;606;0;0;7759;1269;42.73;0.31;0.55;0;0;0;0;0;3.37;0;0.129;0;0;0;79.82;0.33;0;3.18;0;8361;4;0;0.1;43.27;0.31;80.15;0.57;0;0;149.73;1.07;0;0;0;0;0;0;-2.16;149.73;1.07;0;0;0;0;0;0;0;0;0;1.38;0;0;193;0;0;717.06;0;8353;11;0;10.11;3.37;0.05;20.18;0.14;0.3;46.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"GA State";Game
"Jordan Meka";2;Bigs;64244;24;2.355;0.012;0.595;0.878;0.667;0.203;0;0.017;0;0.004;0.006;0.005;0.001;0;23;Center;63;15.61;1.02;8338;3;261;2401;558;62;5053;5706;194.1;1.4;85.16;0.61;92.18;0.66;2.55;0.02;12.23;0.694;0.772;0.331;0.558;172.74;230.69;113.86;134.16;21.31;437;7221;398;281;0.83;373.98;2.69;651.46;4.69;1.108;595;720.68;5.19;275.83;1.98;199.02;1.43;3.27;0.02;-13.24;1198.81;8.63;0.389;0.003;0.329;0.002;155;30214.73;217.42;296.05;2.13;11.32;0;0;1572.79;0;0;6994.35;139;7190;917;92;196.4;30.84;0.87;395.59;2.85;6.5;901.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;42;26;38;4;0.79;0.3;0.19;0.27;0.03;41;14;27;0.3;0.1;0.19;224;1.61;109;29;46;32;2;0.78;0.21;0.33;0.23;0.01;179;60;27;75;17;1.29;0.43;0.19;0.54;0.12;75;25;13;37;0.54;0.18;0.09;0.27;105;11;77;9;8;0.76;0.08;0.55;0.06;0.06;80;28;11;41;0.58;0.2;0.08;0.3;60;10;16;27;7;0.43;0.07;0.12;0.19;0.05;0;0;0;0;0;0;0;0;0;0;0;0;"GA State";Game
"Jordan Usher";1;Guards;37356;17;4.033;0.034;1.1;1.396;1.341;0.164;0;0.029;0;0.008;0.01;0.01;0.001;0;4;Forward;64;16.05;1.75;8334;9;508;3707;1127;51;2932;7637;324.74;2.34;136.27;0.98;132.48;0.95;3.64;0.03;13.45;1.089;1.641;0.592;0.711;235.42;351.12;159.61;149.1;13.58;624;6817;574;319;1.15;597.13;4.3;895.25;6.44;1.525;758;1154.8;8.31;421.77;3.04;289.02;2.08;12;0.09;-15.54;1877.59;13.52;0.514;0.004;0.439;0.003;215;26271.18;189.13;263.26;1.9;17.82;0;0;2474.72;0;0;7818.36;239;6088;1885;123;330.29;35.26;1.49;651.09;4.69;10.9;1509.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189;58;49;75;7;1.36;0.42;0.35;0.54;0.05;45;18;27;0.32;0.13;0.19;186;1.34;174;36;73;56;9;1.25;0.26;0.53;0.4;0.06;279;82;61;114;22;2.01;0.59;0.44;0.82;0.16;102;22;31;49;0.73;0.16;0.22;0.35;89;8;65;13;3;0.64;0.06;0.47;0.09;0.02;151;30;39;82;1.09;0.22;0.28;0.59;74;9;33;22;10;0.53;0.06;0.24;0.16;0.07;0;0;0;0;0;0;0;0;0;0;0;0;"GA State";Game
"Khalid Moore";1;Guards;29932;21;3.289;0.005;0.97;1.096;1.032;0.185;0;0.024;0;0.007;0.008;0.007;0.001;0;12;Forward;67;16.72;1.42;8327;1;436;2938;834;58;4060;6436;238.27;1.72;117.4;0.85;139.27;1;4.36;0.03;12.63;1.172;1.083;0.491;0.543;246.28;273.56;145.65;119.88;9.18;636;6894;540;256;1.01;499.3;3.6;785.37;5.66;1.458;719;930.14;6.7;380.59;2.74;265.43;1.91;9.95;0.07;-13.23;1586.11;11.43;0.499;0.004;0.437;0.003;221;29071.43;209.47;308.12;2.22;15.03;0;0;2085.41;0;0;6479.42;196;6681;1318;131;253.28;30.9;1.21;508.19;3.66;8.4;1163.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182;79;40;56;7;1.31;0.57;0.29;0.4;0.05;55;24;31;0.4;0.17;0.22;192;1.38;150;40;65;33;12;1.08;0.29;0.47;0.24;0.09;226;58;54;99;15;1.63;0.42;0.39;0.71;0.11;87;23;17;47;0.63;0.17;0.12;0.34;130;4;111;9;6;0.94;0.03;0.8;0.06;0.04;114;26;22;66;0.82;0.19;0.16;0.48;77;14;31;28;4;0.55;0.1;0.22;0.2;0.03;0;0;0;0;0;0;0;0;0;0;0;0;"GA State";Game
"Kyle Sturdivant";1;Guards;64242;14;2.765;0.012;0.631;1.163;0.841;0.118;0;0.02;0;0.005;0.008;0.006;0.001;0;1;Guard;66;16.52;1.21;8260;3;301;2741;672;37;4506;6117;218.99;1.59;111.55;0.81;103.16;0.75;5.82;0.04;13.48;0.648;1.01;0.442;0.664;165.76;253.18;142.28;143.77;12.13;441;6997;518;303;0.91;439.52;3.19;704.99;5.12;1.145;609;802.72;5.83;351.68;2.55;255.27;1.85;10.91;0.08;-15.46;1420.58;10.32;0.329;0.002;0.327;0.002;178;23870.5;173.4;267.13;1.94;13.51;0;0;1860.1;0;0;6702.22;152;6901;1115;91;202.43;33.75;1.02;399.9;2.91;6.7;926.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;56;39;56;7;1.15;0.41;0.28;0.41;0.05;40;20;20;0.29;0.15;0.15;150;1.09;148;39;60;40;9;1.08;0.28;0.44;0.29;0.07;226;80;48;78;20;1.64;0.58;0.35;0.57;0.15;46;12;12;22;0.33;0.09;0.09;0.16;124;5;112;4;3;0.9;0.04;0.81;0.03;0.02;92;16;29;47;0.67;0.12;0.21;0.34;48;9;16;18;5;0.35;0.07;0.12;0.13;0.04;0;0;0;0;0;0;0;0;0;0;0;0;"GA State";Game
"Mike Devoe";1;Guards;29933;13;2.87;0.006;0.658;1.171;0.982;0.051;0;0.021;0;0.005;0.009;0.007;0;0;0;Guard;64;15.99;1.28;8117;2;312;3105;824;17;3857;5638;266.75;1.97;98.59;0.73;77.27;0.57;0;0;11.72;0.7;1.243;0.505;0.422;161.9;306.84;149.62;84.12;9.17;436;6941;552;187;0.92;442.61;3.27;702.48;5.19;0.952;490;882.89;6.53;299.97;2.22;190.91;1.41;3.27;0.02;-12.45;1377.03;10.18;0.264;0.002;0.199;0.001;115;20309.96;150.13;234.42;1.73;13.45;0;0;1819.65;0;0;5631.29;151;6484;1415;66;205.38;29.25;1.07;397.14;2.94;6.9;932.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128;30;44;52;2;0.95;0.22;0.33;0.38;0.01;34;11;23;0.25;0.08;0.17;131;0.97;121;25;53;40;3;0.89;0.18;0.39;0.3;0.02;201;50;41;101;9;1.49;0.37;0.3;0.75;0.07;58;4;22;32;0.43;0.03;0.16;0.24;105;2;94;8;1;0.78;0.01;0.69;0.06;0.01;101;13;35;53;0.75;0.1;0.26;0.39;35;2;17;14;2;0.26;0.01;0.13;0.1;0.01;0;0;0;0;0;0;0;0;0;0;0;0;"GA State";Game
"Miles Kelly";1;Guards;63392;22;2.978;0.012;0.799;1.112;0.912;0.143;0;0.021;0;0.006;0.008;0.007;0.001;0;13;Guard;67;16.74;1.28;8373;3;362;2821;726;44;4417;5319;237.78;1.7;103.32;0.74;105.57;0.76;5.82;0.04;13.2;0.903;1.082;0.557;0.435;187.03;272.32;155.59;81.5;8.06;496;7129;571;176;0.89;452.48;3.24;696.43;4.99;1.109;514;915.8;6.56;298.16;2.14;233.45;1.67;13.09;0.09;-13.53;1460.51;10.47;0.385;0.003;0.339;0.002;170;16434.39;117.76;211.89;1.52;13.71;0;0;1912.99;0;0;6249.27;162;6888;1225;98;184.53;36.26;1.07;371.81;2.66;6.2;866.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152;62;30;53;7;1.09;0.44;0.21;0.38;0.05;38;17;21;0.27;0.12;0.15;170;1.22;123;28;48;41;6;0.88;0.2;0.34;0.29;0.04;194;50;52;89;3;1.39;0.36;0.37;0.64;0.02;65;14;16;35;0.47;0.1;0.11;0.25;101;4;89;4;4;0.72;0.03;0.64;0.03;0.03;103;19;30;54;0.74;0.14;0.21;0.39;67;10;28;24;5;0.48;0.07;0.2;0.17;0.04;0;0;0;0;0;0;0;0;0;0;0;0;"GA State";Game
"Rodney Howard";2;Bigs;50662;25;0.921;0.003;0.245;0.369;0.247;0.057;0;0.007;0;0.002;0.003;0.002;0;0;24;Center;60;14.86;0.4;8390;1;106;1206;204;17;6856;3492;105.23;0.75;32;0.23;27.09;0.19;0;0;10.15;0.233;0.376;0.137;0.175;53.26;115.8;39.64;36.5;8;138;8036;136;79;0.31;164.32;1.18;245.19;1.75;0.357;182;357.82;2.56;106.3;0.76;60.55;0.43;0;0;-11.8;524.66;3.75;0.139;0.001;0.101;0.001;47;5692.63;40.71;51.02;0.36;4.93;0;0;688.98;0;0;5770.18;56;7991;311;33;81.62;23.27;0.33;163.07;1.17;2.8;385.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;15;9;16;0;0.29;0.11;0.06;0.11;0;14;4;10;0.1;0.03;0.07;39;0.28;41;8;20;12;1;0.29;0.06;0.14;0.09;0.01;61;19;9;29;4;0.44;0.14;0.06;0.21;0.03;24;9;1;14;0.17;0.06;0.01;0.1;19;1;15;3;0;0.14;0.01;0.11;0.02;0;27;13;0;14;0.19;0.09;0;0.1;21;3;6;10;2;0.15;0.02;0.04;0.07;0.01;0;0;0;0;0;0;0;0;0;0;0;0;"GA State";Game
"Saba Gigiberia";2;Bigs;50661;15;1.497;0;0.297;0.712;0.383;0.106;0;0.011;0;0.002;0.005;0.003;0.001;0;2;Center;59;14.77;0.65;8343;0;128;2071;325;32;5787;4255;171.26;1.23;49.56;0.36;42.48;0.31;0;0;11.47;0.316;0.659;0.181;0.341;90.02;212.87;67.65;78.1;8.05;233;7709;237;164;0.57;263.3;1.89;448.63;3.23;0.582;330;603.72;4.34;150.34;1.08;97.98;0.7;3.27;0.02;-12.68;855.31;6.15;0.206;0.001;0.169;0.001;73;17224.75;123.87;153.12;1.1;8.04;0;0;1118.6;0;0;6649.27;67;7693;537;46;132.63;26.6;0.53;268.3;1.93;4.5;631.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;21;11;23;1;0.4;0.15;0.08;0.17;0.01;22;12;10;0.16;0.09;0.07;160;1.15;54;11;21;20;2;0.39;0.08;0.15;0.14;0.01;106;33;22;38;13;0.76;0.24;0.16;0.27;0.09;41;15;4;22;0.29;0.11;0.03;0.16;70;1;62;7;0;0.5;0.01;0.45;0.05;0;43;16;4;23;0.31;0.12;0.03;0.17;30;6;8;13;3;0.22;0.04;0.06;0.09;0.02;0;0;0;0;0;0;0;0;0;0;0;0;"GA State";Game
