Name;"Group Id";"Group name";"League ID";"Player ID";"Distance (mi)";"Distance (speed | extreme) (mi)";"Distance (speed | high) (mi)";"Distance (speed | low) (mi)";"Distance (speed | medium) (mi)";"Distance (speed | very high) (mi)";"Distance (speed | very low) (mi)";"Distance / min (mi)";"Distance / min (speed | extreme) (mi)";"Distance / min (speed | high) (mi)";"Distance / min (speed | low) (mi)";"Distance / min (speed | medium) (mi)";"Distance / min (speed | very high) (mi)";"Distance / min (speed | very low) (mi)";Number;Position;"Speed (% of max.) (%)";"Speed (max.) (mph)";"Speed (Ø) (mph)";"Time (s)";"Time (speed | extreme) (s)";"Time (speed | high) (s)";"Time (speed | low) (s)";"Time (speed | medium) (s)";"Time (speed | very high) (s)";"Time (speed | very low) (s)";"Time on Playing Field (s)";"Accel 1";"Accel 1 / min";"Accel 2";"Accel 2 / min";"Accel 3";"Accel 3 / min";"Accel 4";"Accel 4 / min";"Acceleration (max.) (ft/s²)";"Acceleration Load (distance | high) (mi)";"Acceleration Load (distance | low) (mi)";"Acceleration Load (distance | medium) (mi)";"Acceleration Load (distance | very high) (mi)";"Acceleration Load (load | high)";"Acceleration Load (load | low)";"Acceleration Load (load | medium)";"Acceleration Load (load | very high)";"Acceleration Load (max.)";"Acceleration Load (time | high) (s)";"Acceleration Load (time | low) (s)";"Acceleration Load (time | medium) (s)";"Acceleration Load (time | very high) (s)";"Acceleration Load / min";"Accels Load";"Accels Load / min";"Accumulated Acceleration Load";"Accumulated Acceleration Load / min";"Anaerobic Activity (distance) (mi)";"Anaerobic Activity (time) (s)";"Decel 1";"Decel 1 / min";"Decel 2";"Decel 2 / min";"Decel 3";"Decel 3 / min";"Decel 4";"Decel 4 / min";"Deceleration (max.) (ft/s²)";"Decels Load";"Decels Load / min";"High Metabolic Power Distance (m)";"High Metabolic Power Distance / min (m)";"High Speed and Acceleration Distance (m)";"High Speed and Acceleration Distance / min (m)";"High Speed and Acceleration Time (s)";"Jump Load (J)";"Jump Load / min (J)";"Jump Load per mass (J/kg)";"Jump Load per mass / min (J/kg)";"Mechanical Intensity";"Mechanical Intensity (def.)";"Mechanical Intensity (off.)";"Mechanical Load";"Mechanical Load (def.)";"Mechanical Load (off.)";"Metabolic Power (max.) (W)";"Metabolic Power (time | high) (s)";"Metabolic Power (time | low) (s)";"Metabolic Power (time | medium) (s)";"Metabolic Power (time | very high) (s)";"Metabolic Power (Ø) (W)";"Metabolic Power per mass (max.) (W/kg)";"Metabolic Power per mass (Ø) (W/kg)";"Metabolic Work (kcal)";"Metabolic Work / min (kcal)";"Physio Intensity";"Physio Load";"Heart Rate (max.) (bpm)";"Heart Rate (min.) (bpm)";"Heart Rate (time | 0 - 50%) (s)";"Heart Rate (time | 50 - 60%) (s)";"Heart Rate (time | 60 - 70%) (s)";"Heart Rate (time | 70 - 80%) (s)";"Heart Rate (time | 80 - 90%) (s)";"Heart Rate (time | ≥ 90%) (s)";"Heart Rate (Ø) (bpm)";"Heart Rate Recoveries";"Heart Rate Recoveries / min";"Human Core Temperature (max.) (°F)";"Human Core Temperature (Ø) (°F)";TRIMP;Accelerations;"Accelerations (high)";"Accelerations (low)";"Accelerations (medium)";"Accelerations (very high)";"Accelerations / min";"Accelerations / min (high)";"Accelerations / min (low)";"Accelerations / min (medium)";"Accelerations / min (very high)";"Changes of Direction";"Changes of Direction (left)";"Changes of Direction (right)";"Changes of Direction / min";"Changes of Direction / min (left)";"Changes of Direction / min (right)";"Changes of Orientation";"Changes of Orientation / min";Decelerations;"Decelerations (high)";"Decelerations (low)";"Decelerations (medium)";"Decelerations (very high)";"Decelerations / min";"Decelerations / min (high)";"Decelerations / min (low)";"Decelerations / min (medium)";"Decelerations / min (very high)";Exertions;"Exertions (high)";"Exertions (low)";"Exertions (medium)";"Exertions (very high)";"Exertions / min";"Exertions / min (high)";"Exertions / min (low)";"Exertions / min (medium)";"Exertions / min (very high)";FCTs;"FCTs (high)";"FCTs (low)";"FCTs (medium)";"FCTs / min";"FCTs / min (high)";"FCTs / min (low)";"FCTs / min (medium)";Jumps;"Jumps (high)";"Jumps (low)";"Jumps (medium)";"Jumps (very high)";"Jumps / min";"Jumps / min (high)";"Jumps / min (low)";"Jumps / min (medium)";"Jumps / min (very high)";MCTs;"MCTs (high)";"MCTs (low)";"MCTs (medium)";"MCTs / min";"MCTs / min (high)";"MCTs / min (low)";"MCTs / min (medium)";Sprints;"Sprints (high)";"Sprints (low)";"Sprints (medium)";"Sprints (very high)";"Sprints / min";"Sprints / min (high)";"Sprints / min (low)";"Sprints / min (medium)";"Sprints / min (very high)";"Noah Shots";"Noah Shots (make)";"Noah Shots (miss)";"Noah Shots / min";"Noah Shots / min (make)";"Noah Shots / min (miss)";"RSPCT Shots";"RSPCT Shots (make)";"RSPCT Shots (miss)";"RSPCT Shots / min";"RSPCT Shots / min (make)";"RSPCT Shots / min (miss)";Description;Types
"Deebo Coleman";1;Guards;63391;19;2.737;0.014;0.769;0.89;0.915;0.149;0;0.023;0;0.006;0.008;0.008;0.001;0;10;Forward;66;16.48;1.39;7108;4;341;2457;744;47;3516;5307;211.65;1.79;107.05;0.9;100.18;0.85;1.09;0.01;12.64;0.567;0.841;0.313;1.016;166.4;238.31;114.52;235.74;11.31;426;5788;433;460;1.13;419.97;3.55;754.97;6.37;1.439;758;812.8;6.86;323.45;2.73;205.36;1.73;7.64;0.06;-13.25;1349.25;11.39;0.452;0.004;0.337;0.003;158;23461.16;198.05;240.58;2.03;14.94;0;0;1769.22;0;0;6314.66;166;5704;1133;105;254.16;29.14;1.17;435.63;3.68;8.5;1001.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;50;47;42;3;1.2;0.42;0.4;0.35;0.03;55;26;29;0.46;0.22;0.24;213;1.8;113;29;53;26;5;0.95;0.24;0.45;0.22;0.04;196;73;37;45;41;1.65;0.62;0.31;0.38;0.35;66;13;15;38;0.56;0.11;0.13;0.32;117;2;110;3;2;0.99;0.02;0.93;0.03;0.02;98;22;21;55;0.83;0.19;0.18;0.46;69;13;25;27;4;0.58;0.11;0.21;0.23;0.03;0;0;0;0;0;0;0;0;0;0;0;0;"Game Miami";Game
"Deivon Smith";1;Guards;63390;18;2.299;0.021;0.6;0.806;0.748;0.124;0;0.02;0;0.005;0.007;0.006;0.001;0;5;Guard;68;16.93;1.18;7055;5;271;2094;618;38;4029;4424;178.65;1.52;79.81;0.68;79.25;0.67;8;0.07;15.09;0.588;0.799;0.304;0.608;153.23;201.02;102.77;134.23;8.88;389;6025;360;281;0.9;345.71;2.94;591.24;5.03;1.059;557;686.98;5.84;239.42;2.04;197.25;1.68;4.36;0.04;-12.98;1128.02;9.59;0.297;0.003;0.278;0.002;140;23947.03;203.66;306.93;2.61;12.53;0;0;1473.73;0;0;7088.66;125;5814;1034;82;174.11;40.89;1;295.51;2.51;5.7;672.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;40;27;35;10;0.95;0.34;0.23;0.3;0.09;40;19;21;0.34;0.16;0.18;161;1.37;95;28;39;21;7;0.81;0.24;0.33;0.18;0.06;179;67;36;59;17;1.52;0.57;0.31;0.5;0.14;46;15;9;22;0.39;0.13;0.08;0.19;120;4;99;7;10;1.02;0.03;0.84;0.06;0.09;69;18;11;40;0.59;0.15;0.09;0.34;50;10;12;23;5;0.43;0.09;0.1;0.2;0.04;0;0;0;0;0;0;0;0;0;0;0;0;"Game Miami";Game
"Jalon Moore";1;Guards;63393;23;0.291;0;0.008;0.223;0.06;0;0;0.002;0;0;0.002;0.001;0;0;14;Forward;35;8.74;0.15;7092;0;4;863;49;0;6177;2387;66.41;0.56;3.36;0.03;0.73;0.01;0;0;6.68;0.023;0.232;0.035;0.001;6.21;95.92;8.47;1.81;6.05;17;7034;36;4;0.17;70.5;0.6;112.42;0.95;0.013;14;240.55;2.03;4.64;0.04;0;0;0;0;-5.09;245.18;2.07;0.003;0;0.001;0;1;1801.16;15.24;18.82;0.16;2.67;0;0;315.68;0;0;2509.12;3;6999;89;0;24.03;11.8;0.11;40.89;0.35;0.9;104.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;4;1;0;0.04;0;0.03;0.01;0;0;0;0;0;0;0;3;0.03;0;0;0;0;0;0;0;0;0;0;8;1;6;1;0;0.07;0.01;0.05;0.01;0;0;0;0;0;0;0;0;0;6;0;5;0;1;0.05;0;0.04;0;0.01;1;0;1;0;0.01;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game Miami";Game
"Jordan Meka";2;Bigs;64244;24;0.362;0;0.02;0.265;0.076;0;0;0.003;0;0;0.002;0.001;0;0;23;Center;34;8.44;0.19;7031;0;11;1013;64;0;5943;2396;74.97;0.64;5.93;0.05;1.09;0.01;0;0;6.18;0.022;0.278;0.057;0.005;5.66;102.71;14.06;1.78;7.34;16;6955;55;4;0.19;81.99;0.7;124.21;1.06;0.017;12;276.38;2.36;9.82;0.08;0;0;0;0;-5.7;286.19;2.44;0.002;0;0;0;0;3147.17;26.86;30.84;0.26;3.14;0;0;368.18;0;0;2401.04;6;6905;119;0;32.01;10.59;0.14;55.17;0.47;1.2;138.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3;2;0;0.04;0;0.03;0.02;0;0;0;0;0;0;0;2;0.02;0;0;0;0;0;0;0;0;0;0;8;0;5;1;2;0.07;0;0.04;0.01;0.02;1;0;1;0;0.01;0;0.01;0;8;0;5;1;2;0.07;0;0.04;0.01;0.02;1;0;1;0;0.01;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game Miami";Game
"Jordan Usher";1;Guards;37356;17;3.794;0.012;0.99;1.265;1.401;0.125;0;0.033;0;0.009;0.011;0.012;0.001;0;4;Forward;66;16.5;1.97;6940;3;453;3213;1194;39;2039;6511;297.93;2.58;151.49;1.31;111.64;0.97;1.09;0.01;11.92;0.962;1.521;0.73;0.581;200.82;345.67;188.91;113.89;10.32;545;5435;710;249;1.3;562.15;4.86;849.28;7.34;1.276;612;1057.04;9.14;428.42;3.7;258.27;2.23;10.77;0.09;-13.36;1754.51;15.17;0.484;0.004;0.331;0.003;172;31302.53;270.63;313.68;2.71;20.03;0;0;2316.65;0;0;6437.59;244;4715;1871;110;383.22;29.03;1.73;605.23;5.23;12.3;1419.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;187;38;65;83;1;1.62;0.33;0.56;0.72;0.01;53;25;28;0.46;0.22;0.24;146;1.26;159;37;67;50;5;1.37;0.32;0.58;0.43;0.04;239;62;63;102;12;2.07;0.54;0.54;0.88;0.1;95;13;22;60;0.82;0.11;0.19;0.52;105;5;82;8;10;0.91;0.04;0.71;0.07;0.09;144;26;33;85;1.24;0.22;0.29;0.73;78;8;42;26;2;0.67;0.07;0.36;0.22;0.02;0;0;0;0;0;0;0;0;0;0;0;0;"Game Miami";Game
"Khalid Moore";1;Guards;29932;21;3.656;0.024;1.107;1.199;1.008;0.318;0;0.031;0;0.009;0.01;0.009;0.003;0;12;Forward;65;16.09;1.86;7103;6;490;3164;813;97;2533;6444;260.35;2.2;131.16;1.11;148.86;1.26;2.55;0.02;13.06;1.228;1.111;0.487;0.829;269.62;288.08;159.9;171.71;8.91;692;5455;595;360;1.34;542.92;4.59;889.31;7.51;1.833;872;983.97;8.31;421.23;3.56;331.16;2.8;7.64;0.06;-14.18;1743.99;14.73;0.679;0.006;0.603;0.005;281;41024.79;346.55;434.81;3.67;19.32;0;0;2286.91;0;0;7896.21;229;5268;1436;169;337.81;37.66;1.61;572.27;4.83;10.9;1293.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191;82;43;52;14;1.61;0.69;0.36;0.44;0.12;44;20;24;0.37;0.17;0.2;181;1.53;169;46;62;52;9;1.43;0.39;0.52;0.44;0.08;245;74;46;105;20;2.07;0.63;0.39;0.89;0.17;112;37;22;53;0.95;0.31;0.19;0.45;174;14;140;10;10;1.47;0.12;1.18;0.08;0.08;137;45;22;70;1.16;0.38;0.19;0.59;99;22;31;38;8;0.84;0.19;0.26;0.32;0.07;0;0;0;0;0;0;0;0;0;0;0;0;"Game Miami";Game
"Kyle Sturdivant";1;Guards;64242;14;2.537;0.01;0.513;1.086;0.814;0.114;0;0.021;0;0.004;0.009;0.007;0.001;0;1;Guard;61;15.09;1.29;7109;3;245;2523;664;36;3638;5251;217.54;1.84;94.17;0.79;92.91;0.78;3.27;0.03;12.43;0.651;0.952;0.47;0.463;162.78;223.97;147.56;92.04;8;429;5939;532;208;0.94;407.89;3.44;626.36;5.29;0.938;495;764.8;6.46;273.95;2.31;240.61;2.03;18.55;0.16;-13.91;1297.91;10.96;0.283;0.002;0.305;0.003;167;34901.39;294.59;390.57;3.3;14.4;0;0;1705.8;0;0;6720.05;118;5789;1116;86;217.58;33.84;1.1;374.64;3.16;7.2;850.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;50;40;38;9;1.16;0.42;0.34;0.32;0.08;41;20;21;0.35;0.17;0.18;132;1.11;123;40;40;35;8;1.04;0.34;0.34;0.3;0.07;215;64;44;97;10;1.81;0.54;0.37;0.82;0.08;42;16;8;18;0.35;0.14;0.07;0.15;200;2;189;7;2;1.69;0.02;1.6;0.06;0.02;87;17;26;44;0.73;0.14;0.22;0.37;49;8;13;21;7;0.41;0.07;0.11;0.18;0.06;0;0;0;0;0;0;0;0;0;0;0;0;"Game Miami";Game
"Mike Devoe";1;Guards;29933;13;2.968;0.006;0.577;1.225;1.059;0.101;0;0.025;0;0.005;0.01;0.009;0.001;0;0;Guard;62;15.45;1.5;7122;2;269;2995;907;33;2917;5882;257.44;2.17;98.8;0.83;72.73;0.61;1.09;0.01;11.85;0.667;1.312;0.534;0.455;159.64;297.19;163.28;91.77;18.48;417;5899;604;203;1.07;430.06;3.62;711.89;6;0.966;495;881.74;7.43;279.48;2.35;182.32;1.54;9.82;0.08;-12.67;1353.36;11.4;0.278;0.002;0.236;0.002;123;23764.91;200.2;274.29;2.31;15.02;0;0;1783.41;0;0;5685.26;139;5373;1540;71;242.78;29.53;1.26;412.2;3.47;8.1;964.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;31;43;39;2;0.97;0.26;0.36;0.33;0.02;35;16;19;0.29;0.13;0.16;142;1.2;114;25;43;42;4;0.96;0.21;0.36;0.35;0.03;187;56;43;79;9;1.58;0.47;0.36;0.67;0.08;46;5;21;20;0.39;0.04;0.18;0.17;112;2;97;9;4;0.94;0.02;0.82;0.08;0.03;110;20;35;55;0.93;0.17;0.29;0.46;43;10;16;15;2;0.36;0.08;0.13;0.13;0.02;0;0;0;0;0;0;0;0;0;0;0;0;"Game Miami";Game
"Miles Kelly";1;Guards;63392;22;1.765;0.003;0.39;0.749;0.536;0.087;0;0.015;0;0.003;0.006;0.005;0.001;0;13;Guard;60;15.04;0.89;7127;1;174;1939;449;26;4538;3728;153.14;1.29;55.27;0.47;51.64;0.43;2.18;0.02;12.16;0.468;0.717;0.332;0.247;103.49;186.92;100.71;47.21;7.31;280;6382;365;100;0.66;262.23;2.21;438.33;3.69;0.589;282;584.8;4.92;175.7;1.48;109.23;0.92;7.64;0.06;-12.55;877.36;7.39;0.205;0.002;0.173;0.001;86;9226.62;77.68;118.96;1;9.59;0;0;1139.59;0;0;5928.58;88;6226;763;50;127.41;34.4;0.74;218.86;1.84;4.3;513.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;25;19;23;5;0.61;0.21;0.16;0.19;0.04;21;9;12;0.18;0.08;0.1;93;0.78;65;16;27;18;4;0.55;0.13;0.23;0.15;0.03;104;25;36;43;0;0.88;0.21;0.3;0.36;0;35;10;10;15;0.29;0.08;0.08;0.13;56;1;50;3;2;0.47;0.01;0.42;0.03;0.02;60;10;22;28;0.51;0.08;0.19;0.24;31;4;14;9;4;0.26;0.03;0.12;0.08;0.03;0;0;0;0;0;0;0;0;0;0;0;0;"Game Miami";Game
"Rodney Howard";2;Bigs;50662;25;1.259;0.004;0.295;0.544;0.348;0.069;0;0.011;0;0.002;0.005;0.003;0.001;0;24;Center;61;15.12;0.64;7102;1;132;1493;297;21;5159;3381;127.26;1.08;39.39;0.33;44.05;0.37;1.09;0.01;12.04;0.254;0.553;0.178;0.273;69.69;137.97;58.11;63.96;14.6;185;6582;202;132;0.5;211.78;1.79;329.73;2.79;0.462;255;454.36;3.84;136.06;1.15;90.55;0.76;0;0;-11.19;680.97;5.75;0.167;0.001;0.157;0.001;70;10315.89;87.15;92.45;0.78;7.54;0;0;892.75;0;0;6677.15;65;6492;503;42;131.79;26.93;0.53;224.21;1.89;4.5;527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;26;12;17;1;0.47;0.22;0.1;0.14;0.01;18;8;10;0.15;0.07;0.08;78;0.66;49;11;24;13;1;0.41;0.09;0.2;0.11;0.01;94;32;20;30;12;0.79;0.27;0.17;0.25;0.1;32;16;8;8;0.27;0.14;0.07;0.07;37;2;32;2;1;0.31;0.02;0.27;0.02;0.01;36;17;9;10;0.3;0.14;0.08;0.08;27;6;8;12;1;0.23;0.05;0.07;0.1;0.01;0;0;0;0;0;0;0;0;0;0;0;0;"Game Miami";Game
