Name;"Group Id";"Group name";"League ID";"Player ID";"Distance (mi)";"Distance (speed | extreme) (mi)";"Distance (speed | high) (mi)";"Distance (speed | low) (mi)";"Distance (speed | medium) (mi)";"Distance (speed | very high) (mi)";"Distance (speed | very low) (mi)";"Distance / min (mi)";"Distance / min (speed | extreme) (mi)";"Distance / min (speed | high) (mi)";"Distance / min (speed | low) (mi)";"Distance / min (speed | medium) (mi)";"Distance / min (speed | very high) (mi)";"Distance / min (speed | very low) (mi)";Number;Position;"Speed (% of max.) (%)";"Speed (max.) (mph)";"Speed (Ø) (mph)";"Time (s)";"Time (speed | extreme) (s)";"Time (speed | high) (s)";"Time (speed | low) (s)";"Time (speed | medium) (s)";"Time (speed | very high) (s)";"Time (speed | very low) (s)";"Time on Playing Field (s)";"Accel 1";"Accel 1 / min";"Accel 2";"Accel 2 / min";"Accel 3";"Accel 3 / min";"Accel 4";"Accel 4 / min";"Acceleration (max.) (ft/s²)";"Acceleration Load (distance | high) (mi)";"Acceleration Load (distance | low) (mi)";"Acceleration Load (distance | medium) (mi)";"Acceleration Load (distance | very high) (mi)";"Acceleration Load (load | high)";"Acceleration Load (load | low)";"Acceleration Load (load | medium)";"Acceleration Load (load | very high)";"Acceleration Load (max.)";"Acceleration Load (time | high) (s)";"Acceleration Load (time | low) (s)";"Acceleration Load (time | medium) (s)";"Acceleration Load (time | very high) (s)";"Acceleration Load / min";"Accels Load";"Accels Load / min";"Accumulated Acceleration Load";"Accumulated Acceleration Load / min";"Anaerobic Activity (distance) (mi)";"Anaerobic Activity (time) (s)";"Decel 1";"Decel 1 / min";"Decel 2";"Decel 2 / min";"Decel 3";"Decel 3 / min";"Decel 4";"Decel 4 / min";"Deceleration (max.) (ft/s²)";"Decels Load";"Decels Load / min";"High Metabolic Power Distance (m)";"High Metabolic Power Distance / min (m)";"High Speed and Acceleration Distance (m)";"High Speed and Acceleration Distance / min (m)";"High Speed and Acceleration Time (s)";"Jump Load (J)";"Jump Load / min (J)";"Jump Load per mass (J/kg)";"Jump Load per mass / min (J/kg)";"Mechanical Intensity";"Mechanical Intensity (def.)";"Mechanical Intensity (off.)";"Mechanical Load";"Mechanical Load (def.)";"Mechanical Load (off.)";"Metabolic Power (max.) (W)";"Metabolic Power (time | high) (s)";"Metabolic Power (time | low) (s)";"Metabolic Power (time | medium) (s)";"Metabolic Power (time | very high) (s)";"Metabolic Power (Ø) (W)";"Metabolic Power per mass (max.) (W/kg)";"Metabolic Power per mass (Ø) (W/kg)";"Metabolic Work (kcal)";"Metabolic Work / min (kcal)";"Physio Intensity";"Physio Load";"Heart Rate (max.) (bpm)";"Heart Rate (min.) (bpm)";"Heart Rate (time | 0 - 50%) (s)";"Heart Rate (time | 50 - 60%) (s)";"Heart Rate (time | 60 - 70%) (s)";"Heart Rate (time | 70 - 80%) (s)";"Heart Rate (time | 80 - 90%) (s)";"Heart Rate (time | ≥ 90%) (s)";"Heart Rate (Ø) (bpm)";"Heart Rate Recoveries";"Heart Rate Recoveries / min";"Human Core Temperature (max.) (°F)";"Human Core Temperature (Ø) (°F)";TRIMP;Accelerations;"Accelerations (high)";"Accelerations (low)";"Accelerations (medium)";"Accelerations (very high)";"Accelerations / min";"Accelerations / min (high)";"Accelerations / min (low)";"Accelerations / min (medium)";"Accelerations / min (very high)";"Changes of Direction";"Changes of Direction (left)";"Changes of Direction (right)";"Changes of Direction / min";"Changes of Direction / min (left)";"Changes of Direction / min (right)";"Changes of Orientation";"Changes of Orientation / min";Decelerations;"Decelerations (high)";"Decelerations (low)";"Decelerations (medium)";"Decelerations (very high)";"Decelerations / min";"Decelerations / min (high)";"Decelerations / min (low)";"Decelerations / min (medium)";"Decelerations / min (very high)";Exertions;"Exertions (high)";"Exertions (low)";"Exertions (medium)";"Exertions (very high)";"Exertions / min";"Exertions / min (high)";"Exertions / min (low)";"Exertions / min (medium)";"Exertions / min (very high)";FCTs;"FCTs (high)";"FCTs (low)";"FCTs (medium)";"FCTs / min";"FCTs / min (high)";"FCTs / min (low)";"FCTs / min (medium)";Jumps;"Jumps (high)";"Jumps (low)";"Jumps (medium)";"Jumps (very high)";"Jumps / min";"Jumps / min (high)";"Jumps / min (low)";"Jumps / min (medium)";"Jumps / min (very high)";MCTs;"MCTs (high)";"MCTs (low)";"MCTs (medium)";"MCTs / min";"MCTs / min (high)";"MCTs / min (low)";"MCTs / min (medium)";Sprints;"Sprints (high)";"Sprints (low)";"Sprints (medium)";"Sprints (very high)";"Sprints / min";"Sprints / min (high)";"Sprints / min (low)";"Sprints / min (medium)";"Sprints / min (very high)";"Noah Shots";"Noah Shots (make)";"Noah Shots (miss)";"Noah Shots / min";"Noah Shots / min (make)";"Noah Shots / min (miss)";"RSPCT Shots";"RSPCT Shots (make)";"RSPCT Shots (miss)";"RSPCT Shots / min";"RSPCT Shots / min (make)";"RSPCT Shots / min (miss)";Description;Types
"Deebo Coleman";1;GUARDS;63391;19;2.444;0;0;0;0;0;0;0.017;0;0;0;0;0;0;10;Forward;55;13.7;1.03;8523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.468;0.861;0.233;0.881;134.5;216.28;75.68;216.34;10.24;339;7500;273;411;0.8;363.18;2.56;642.8;4.53;1.23;650;0;0;0;0;0;0;0;0;0;1196.59;8.42;0;0;0;0;0;19658.45;138.4;201.58;1.42;10.98;0;0;1559.77;0;0;0;0;0;0;0;0;0;0;374.55;2.64;6.3;893.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;1.69;0;0;0;0;0;0;0;0;0;0;152;48;24;39;41;1.07;0.34;0.17;0.27;0.29;0;0;0;0;0;0;0;0;88;7;75;6;0;0.62;0.05;0.53;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #1 Miami OH";Game
"Devion Smith";1;GUARDS;63390;30;3.416;0;0;0;0;0;0;0.024;0;0;0;0;0;0;5;Forward;63;15.63;1.45;8523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.72;1.334;0.391;0.97;181.1;288.15;117.35;221.09;10.1;461;7207;420;435;1.01;510.77;3.6;807.68;5.69;1.531;775;0;0;0;0;0;0;0;0;0;1605.68;11.3;0;0;0;0;0;23836.4;167.81;305.52;2.15;14.9;0;0;2116.45;0;0;0;0;0;0;0;0;0;0;425.18;2.99;7;999.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185;1.3;0;0;0;0;0;0;0;0;0;0;214;76;25;70;43;1.51;0.54;0.18;0.49;0.3;0;0;0;0;0;0;0;0;113;9;87;8;9;0.8;0.06;0.61;0.06;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #1 Miami OH";Game
"Jalon Moore";1;GUARDS;63393;23;0.393;0;0;0;0;0;0;0.003;0;0;0;0;0;0;14;Forward;33;8.21;0.17;8522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.028;0.311;0.053;0;6.65;96.08;11.96;0.13;5.09;18;8456;48;0;0.14;77.18;0.54;114.82;0.81;0.019;12;0;0;0;0;0;0;0;0;0;255.82;1.8;0;0;0;0;0;1565.23;11.02;16.35;0.12;2.34;0;0;333;0;0;0;0;0;0;0;0;0;0;52.35;0.37;1;140.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3;2;0;0.04;0;0.02;0.01;0;0;0;0;0;0;0;0;0;5;0;3;1;1;0.04;0;0.02;0.01;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #1 Miami OH";Game
"Jehloni James";2;BIGS;63396;28;0.357;0;0;0;0;0;0;0.003;0;0;0;0;0;0;35;Forward;38;9.54;0.15;8523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.026;0.299;0.026;0.006;7.6;108.21;6.42;1.31;6.56;21;8473;26;3;0.15;85.09;0.6;123.54;0.87;0.027;18;0;0;0;0;0;0;0;0;0;263.05;1.85;0;0;0;0;0;3085.49;21.72;35.43;0.25;2.45;0;0;348.14;0;0;0;0;0;0;0;0;0;0;44.48;0.31;0.8;116.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0.04;0;0;0;0;0;0;0;0;0;0;8;1;3;4;0;0.06;0.01;0.02;0.03;0;0;0;0;0;0;0;0;0;8;0;5;0;3;0.06;0;0.04;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #1 Miami OH";Game
"Jermontae Hill";1;GUARDS;63394;29;0.399;0;0;0;0;0;0;0.003;0;0;0;0;0;0;43;Forward;28;6.85;0.17;8523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.021;0.328;0.049;0.002;5.13;102.35;11.29;0.74;7;15;8463;44;1;0.15;83.82;0.59;119.51;0.84;0.013;9;0;0;0;0;0;0;0;0;0;261.41;1.84;0;0;0;0;0;1521.33;10.71;16.94;0.12;2.43;0;0;345.23;0;0;0;0;0;0;0;0;0;0;50.43;0.36;0.9;134.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.01;0;0;0;0;0;0;0;0;0;0;7;1;6;0;0;0.05;0.01;0.04;0;0;0;0;0;0;0;0;0;0;5;0;4;0;1;0.04;0;0.03;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #1 Miami OH";Game
"Jordan Meka";2;BIGS;64244;24;0.48;0;0;0;0;0;0;0.003;0;0;0;0;0;0;23;Center;38;9.54;0.2;8523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03;0.392;0.048;0.01;7.78;112.37;12.24;2.52;7.5;23;8445;49;5;0.17;94.5;0.67;134.92;0.95;0.027;17;0;0;0;0;0;0;0;0;0;282.41;1.99;0;0;0;0;0;2817.36;19.83;27.6;0.19;2.65;0;0;376.91;0;0;0;0;0;0;0;0;0;0;69.23;0.49;1.3;183.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0.03;0;0;0;0;0;0;0;0;0;0;10;3;6;1;0;0.07;0.02;0.04;0.01;0;0;0;0;0;0;0;0;0;9;2;6;0;1;0.06;0.01;0.04;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #1 Miami OH";Game
"Jordan Usher";1;GUARDS;37356;17;3.925;0;0;0;0;0;0;0.028;0;0;0;0;0;0;4;Forward;68;16.88;1.66;8523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.808;1.744;0.525;0.847;214.96;351.19;158.71;205.22;9.13;560;6973;573;417;1.16;587;4.13;930.08;6.55;1.461;813;0;0;0;0;0;0;0;0;0;1894.36;13.34;0;0;0;0;0;41466.97;291.92;415.54;2.93;17.47;0;0;2481.36;0;0;0;0;0;0;0;0;0;0;609.18;4.29;10.3;1468.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;256;1.8;0;0;0;0;0;0;0;0;0;0;266;84;33;110;39;1.87;0.59;0.23;0.77;0.27;0;0;0;0;0;0;0;0;159;11;126;18;4;1.12;0.08;0.89;0.13;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #1 Miami OH";Game
"Khalid Moore";1;GUARDS;29932;21;2.513;0;0;0;0;0;0;0.018;0;0;0;0;0;0;12;Forward;72;17.93;1.07;8510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.741;0.902;0.424;0.446;169.3;200.97;119.58;99.51;10.76;447;7429;430;204;0.74;366.05;2.58;589.35;4.16;0.991;511;0;0;0;0;0;0;0;0;0;1120.23;7.9;0;0;0;0;0;23945.53;168.83;253.79;1.79;10.48;0;0;1486.27;0;0;0;0;0;0;0;0;0;0;379.55;2.68;6.3;889.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;1.11;0;0;0;0;0;0;0;0;0;0;174;53;45;66;10;1.23;0.37;0.32;0.47;0.07;0;0;0;0;0;0;0;0;127;3;116;6;2;0.9;0.02;0.82;0.04;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #1 Miami OH";Game
"Kyle Sturdivant";1;GUARDS;64242;14;2.611;0;0;0;0;0;0;0.018;0;0;0;0;0;0;1;Guard;65;16.08;1.11;8523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.611;1.049;0.346;0.605;155.47;224.02;100.1;129.53;8.28;399;7485;366;272;0.76;400.77;2.82;609.12;4.29;1.062;552;0;0;0;0;0;0;0;0;0;1243.23;8.75;0;0;0;0;0;18627.78;131.14;208.46;1.47;11.57;0;0;1644;0;0;0;0;0;0;0;0;0;0;374.54;2.64;6.2;874.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;0.92;0;0;0;0;0;0;0;0;0;0;177;66;29;69;13;1.25;0.46;0.2;0.49;0.09;0;0;0;0;0;0;0;0;103;4;90;8;1;0.73;0.03;0.63;0.06;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #1 Miami OH";Game
"Michael Devoe";1;GUARDS;29933;31;3.982;0;0;0;0;0;0;0.028;0;0;0;0;0;0;99;Guard;59;14.7;1.69;8523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.845;1.889;0.537;0.71;234.86;405.08;187.12;164.72;9.62;608;6882;683;351;1.24;602.45;4.24;991.78;6.98;1.363;784;0;0;0;0;0;0;0;0;0;1984.23;13.97;0;0;0;0;0;25111.45;176.78;289.84;2.04;18.21;0;0;2586.68;0;0;0;0;0;0;0;0;0;0;532.38;3.75;9.1;1293.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1.27;0;0;0;0;0;0;0;0;0;0;258;82;53;109;14;1.82;0.58;0.37;0.77;0.1;0;0;0;0;0;0;0;0;139;1;130;5;3;0.98;0.01;0.92;0.04;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #1 Miami OH";Game
