Name;"Group Id";"Group name";"League ID";"Player ID";"Distance (mi)";"Distance (speed | extreme) (mi)";"Distance (speed | high) (mi)";"Distance (speed | low) (mi)";"Distance (speed | medium) (mi)";"Distance (speed | very high) (mi)";"Distance (speed | very low) (mi)";"Distance / min (mi)";"Distance / min (speed | extreme) (mi)";"Distance / min (speed | high) (mi)";"Distance / min (speed | low) (mi)";"Distance / min (speed | medium) (mi)";"Distance / min (speed | very high) (mi)";"Distance / min (speed | very low) (mi)";Number;Position;"Speed (% of max.) (%)";"Speed (max.) (mph)";"Speed (Ø) (mph)";"Time (s)";"Time (speed | extreme) (s)";"Time (speed | high) (s)";"Time (speed | low) (s)";"Time (speed | medium) (s)";"Time (speed | very high) (s)";"Time (speed | very low) (s)";"Time on Playing Field (s)";"Accel 1";"Accel 1 / min";"Accel 2";"Accel 2 / min";"Accel 3";"Accel 3 / min";"Accel 4";"Accel 4 / min";"Acceleration (max.) (ft/s²)";"Acceleration Load (distance | high) (mi)";"Acceleration Load (distance | low) (mi)";"Acceleration Load (distance | medium) (mi)";"Acceleration Load (distance | very high) (mi)";"Acceleration Load (load | high)";"Acceleration Load (load | low)";"Acceleration Load (load | medium)";"Acceleration Load (load | very high)";"Acceleration Load (max.)";"Acceleration Load (time | high) (s)";"Acceleration Load (time | low) (s)";"Acceleration Load (time | medium) (s)";"Acceleration Load (time | very high) (s)";"Acceleration Load / min";"Accels Load";"Accels Load / min";"Accumulated Acceleration Load";"Accumulated Acceleration Load / min";"Anaerobic Activity (distance) (mi)";"Anaerobic Activity (time) (s)";"Decel 1";"Decel 1 / min";"Decel 2";"Decel 2 / min";"Decel 3";"Decel 3 / min";"Decel 4";"Decel 4 / min";"Deceleration (max.) (ft/s²)";"Decels Load";"Decels Load / min";"High Metabolic Power Distance (m)";"High Metabolic Power Distance / min (m)";"High Speed and Acceleration Distance (m)";"High Speed and Acceleration Distance / min (m)";"High Speed and Acceleration Time (s)";"Jump Load (J)";"Jump Load / min (J)";"Jump Load per mass (J/kg)";"Jump Load per mass / min (J/kg)";"Mechanical Intensity";"Mechanical Intensity (def.)";"Mechanical Intensity (off.)";"Mechanical Load";"Mechanical Load (def.)";"Mechanical Load (off.)";"Metabolic Power (max.) (W)";"Metabolic Power (time | high) (s)";"Metabolic Power (time | low) (s)";"Metabolic Power (time | medium) (s)";"Metabolic Power (time | very high) (s)";"Metabolic Power (Ø) (W)";"Metabolic Power per mass (max.) (W/kg)";"Metabolic Power per mass (Ø) (W/kg)";"Metabolic Work (kcal)";"Metabolic Work / min (kcal)";"Physio Intensity";"Physio Load";"Heart Rate (max.) (bpm)";"Heart Rate (min.) (bpm)";"Heart Rate (time | 0 - 50%) (s)";"Heart Rate (time | 50 - 60%) (s)";"Heart Rate (time | 60 - 70%) (s)";"Heart Rate (time | 70 - 80%) (s)";"Heart Rate (time | 80 - 90%) (s)";"Heart Rate (time | ≥ 90%) (s)";"Heart Rate (Ø) (bpm)";"Heart Rate Recoveries";"Heart Rate Recoveries / min";"Human Core Temperature (max.) (°F)";"Human Core Temperature (Ø) (°F)";TRIMP;Accelerations;"Accelerations (high)";"Accelerations (low)";"Accelerations (medium)";"Accelerations (very high)";"Accelerations / min";"Accelerations / min (high)";"Accelerations / min (low)";"Accelerations / min (medium)";"Accelerations / min (very high)";"Changes of Direction";"Changes of Direction (left)";"Changes of Direction (right)";"Changes of Direction / min";"Changes of Direction / min (left)";"Changes of Direction / min (right)";"Changes of Orientation";"Changes of Orientation / min";Decelerations;"Decelerations (high)";"Decelerations (low)";"Decelerations (medium)";"Decelerations (very high)";"Decelerations / min";"Decelerations / min (high)";"Decelerations / min (low)";"Decelerations / min (medium)";"Decelerations / min (very high)";Exertions;"Exertions (high)";"Exertions (low)";"Exertions (medium)";"Exertions (very high)";"Exertions / min";"Exertions / min (high)";"Exertions / min (low)";"Exertions / min (medium)";"Exertions / min (very high)";FCTs;"FCTs (high)";"FCTs (low)";"FCTs (medium)";"FCTs / min";"FCTs / min (high)";"FCTs / min (low)";"FCTs / min (medium)";Jumps;"Jumps (high)";"Jumps (low)";"Jumps (medium)";"Jumps (very high)";"Jumps / min";"Jumps / min (high)";"Jumps / min (low)";"Jumps / min (medium)";"Jumps / min (very high)";MCTs;"MCTs (high)";"MCTs (low)";"MCTs (medium)";"MCTs / min";"MCTs / min (high)";"MCTs / min (low)";"MCTs / min (medium)";Sprints;"Sprints (high)";"Sprints (low)";"Sprints (medium)";"Sprints (very high)";"Sprints / min";"Sprints / min (high)";"Sprints / min (low)";"Sprints / min (medium)";"Sprints / min (very high)";"Noah Shots";"Noah Shots (make)";"Noah Shots (miss)";"Noah Shots / min";"Noah Shots / min (make)";"Noah Shots / min (miss)";"RSPCT Shots";"RSPCT Shots (make)";"RSPCT Shots (miss)";"RSPCT Shots / min";"RSPCT Shots / min (make)";"RSPCT Shots / min (miss)";Description;Types
"Deebo Coleman";1;Guards;63391;19;2.955;0;0.849;0.929;0.948;0.229;0;0.025;0;0.007;0.008;0.008;0.002;0;10;Forward;59;14.65;1.48;7183;0;377;2351;760;70;3627;5465;212.02;1.77;109.66;0.92;106;0.89;1.09;0.01;13.27;0.597;0.936;0.311;1.111;169.35;228.77;107.61;254.15;9.79;426;5851;408;498;1.13;428.77;3.58;759.87;6.35;1.576;808;796.65;6.65;328.64;2.75;250.64;2.09;0;0;-11.6;1375.93;11.49;0.512;0.004;0.43;0.004;191;27927.41;233.27;286.38;2.39;15.07;0;0;1804.7;0;0;6609.27;189;5626;1252;117;271.57;30.5;1.25;468.13;3.91;9;1080.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;48;39;50;3;1.17;0.4;0.33;0.42;0.03;49;28;21;0.41;0.23;0.18;254;2.12;136;40;53;40;3;1.14;0.33;0.44;0.33;0.03;192;82;26;47;37;1.6;0.68;0.22;0.39;0.31;78;21;20;37;0.65;0.18;0.17;0.31;134;3;124;6;1;1.12;0.03;1.04;0.05;0.01;111;27;27;57;0.93;0.23;0.23;0.48;82;16;29;33;4;0.68;0.13;0.24;0.28;0.03;0;0;0;0;0;0;0;0;0;0;0;0;"NC State Game";Game
"Deivon Smith";1;Guards;63390;18;1.958;0.019;0.507;0.686;0.642;0.103;0;0.017;0;0.004;0.006;0.005;0.001;0;5;Guard;69;17.15;1;7038;5;231;1875;518;32;4377;3878;169.23;1.44;68.17;0.58;62.5;0.53;2.91;0.02;14.84;0.495;0.681;0.278;0.502;123.48;189.75;86.51;104;9.69;321;6193;304;219;0.76;302.81;2.58;503.74;4.29;0.865;441;604.98;5.16;217.06;1.85;138.07;1.18;4.36;0.04;-14.78;964.47;8.22;0.263;0.002;0.225;0.002;104;15554.94;132.6;199.37;1.7;10.8;0;0;1267.27;0;0;8167.65;118;5999;858;63;147.84;47.11;0.85;248.39;2.12;4.9;572.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;31;22;31;6;0.77;0.26;0.19;0.26;0.05;34;18;16;0.29;0.15;0.14;119;1.01;76;17;37;18;4;0.65;0.14;0.32;0.15;0.03;149;51;29;56;13;1.27;0.43;0.25;0.48;0.11;42;16;4;22;0.36;0.14;0.03;0.19;83;2;73;2;6;0.71;0.02;0.62;0.02;0.05;54;19;8;27;0.46;0.16;0.07;0.23;45;5;16;19;5;0.38;0.04;0.14;0.16;0.04;0;0;0;0;0;0;0;0;0;0;0;0;"NC State Game";Game
"Jalon Moore";1;Guards;63393;23;0.993;0.006;0.181;0.455;0.312;0.039;0;0.008;0;0.002;0.004;0.003;0;0;14;Forward;64;15.83;0.51;7072;2;82;1385;248;12;5343;3009;105.37;0.89;29.64;0.25;26.36;0.22;2.18;0.02;13.41;0.231;0.443;0.174;0.144;54.7;137.81;47.92;31.55;7.58;145;6687;170;70;0.41;163.55;1.39;271.98;2.31;0.302;160;400.93;3.4;86.35;0.73;57;0.48;0;0;-11.5;544.28;4.62;0.095;0.001;0.082;0.001;40;9391.98;79.68;98.13;0.83;6.01;0;0;707.83;0;0;6838.08;41;6602;403;26;90.14;32.15;0.42;151.33;1.28;3;356.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;20;13;8;2;0.36;0.17;0.11;0.07;0.02;8;4;4;0.07;0.03;0.03;46;0.39;35;7;15;11;2;0.3;0.06;0.13;0.09;0.02;64;19;14;28;3;0.54;0.16;0.12;0.24;0.03;17;7;2;8;0.14;0.06;0.02;0.07;33;1;28;2;2;0.28;0.01;0.24;0.02;0.02;26;8;6;12;0.22;0.07;0.05;0.1;14;2;1;9;2;0.12;0.02;0.01;0.08;0.02;0;0;0;0;0;0;0;0;0;0;0;0;"NC State Game";Game
"Jordan Meka";2;Bigs;64244;24;0.638;0;0.104;0.339;0.181;0.014;0;0.005;0;0.001;0.003;0.002;0;0;23;Center;54;13.37;0.32;7245;0;48;1070;146;4;5977;2772;81.27;0.67;13.09;0.11;12.36;0.1;0;0;10.69;0.125;0.363;0.092;0.058;27.36;109.37;29.52;12.75;7.39;72;7034;108;30;0.26;106.73;0.88;179;1.48;0.144;75;314.71;2.61;28.23;0.23;33.07;0.27;0;0;-9.72;376.01;3.11;0.044;0;0.043;0;24;5679.12;47.03;55.64;0.46;4;0;0;482.73;0;0;5450.09;23;6947;263;12;57.22;24.03;0.25;100.55;0.83;2;244.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;8;4;5;0;0.14;0.07;0.03;0.04;0;5;3;2;0.04;0.02;0.02;27;0.22;13;6;4;3;0;0.11;0.05;0.03;0.02;0;30;10;12;7;1;0.25;0.08;0.1;0.06;0.01;10;4;4;2;0.08;0.03;0.03;0.02;17;1;11;0;5;0.14;0.01;0.09;0;0.04;12;4;4;4;0.1;0.03;0.03;0.03;6;2;1;3;0;0.05;0.02;0.01;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;"NC State Game";Game
"Jordan Usher";1;Guards;37356;17;2.609;0.02;0.772;0.887;0.843;0.086;0;0.022;0;0.006;0.007;0.007;0.001;0;4;Forward;67;16.61;1.32;7142;5;353;2586;703;27;3468;4875;221.65;1.86;96.26;0.81;92;0.77;2.55;0.02;13.83;0.712;1.003;0.416;0.476;153.62;246.94;112.01;94.03;15.86;405;6120;413;204;0.9;412.46;3.47;606.59;5.1;1.005;484;767.11;6.44;261.51;2.2;235.43;1.98;14.18;0.12;-13.19;1278.24;10.74;0.356;0.003;0.3;0.003;157;21904.4;184.02;219.5;1.84;14.2;0;0;1690.7;0;0;7883.25;165;5757;1129;91;252.67;35.55;1.14;429.52;3.61;8.2;976.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;40;37;49;6;1.11;0.34;0.31;0.41;0.05;33;20;13;0.28;0.17;0.11;118;0.99;114;32;37;37;8;0.96;0.27;0.31;0.31;0.07;186;61;49;69;7;1.56;0.51;0.41;0.58;0.06;60;16;13;31;0.5;0.13;0.11;0.26;74;6;55;8;5;0.62;0.05;0.46;0.07;0.04;86;24;19;43;0.72;0.2;0.16;0.36;58;8;29;17;4;0.49;0.07;0.24;0.14;0.03;0;0;0;0;0;0;0;0;0;0;0;0;"NC State Game";Game
"Khalid Moore";1;Guards;29932;21;2.486;0.01;0.794;0.785;0.759;0.138;0;0.021;0;0.007;0.007;0.006;0.001;0;12;Forward;64;15.9;1.24;7225;3;354;2051;588;43;4187;4852;179.77;1.49;78.91;0.66;101.82;0.85;2.18;0.02;13.43;0.977;0.77;0.355;0.384;198.12;186.95;104.52;80.09;8.49;512;6166;371;176;0.84;362.68;3.01;569.68;4.73;1.167;557;678.34;5.63;269.76;2.24;220.91;1.83;12;0.1;-12.53;1181.01;9.81;0.408;0.003;0.325;0.003;162;26623.33;221.09;282.18;2.34;12.82;0;0;1543.69;0;0;7686.41;176;5971;985;94;217.22;36.66;1.04;381.51;3.17;7.3;879.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;53;20;49;4;1.05;0.44;0.17;0.41;0.03;50;20;30;0.42;0.17;0.25;135;1.12;110;29;41;35;5;0.91;0.24;0.34;0.29;0.04;164;37;34;87;6;1.36;0.31;0.28;0.72;0.05;63;17;15;31;0.52;0.14;0.12;0.26;133;4;119;7;3;1.1;0.03;0.99;0.06;0.02;77;20;17;40;0.64;0.17;0.14;0.33;62;9;25;25;3;0.51;0.07;0.21;0.21;0.02;0;0;0;0;0;0;0;0;0;0;0;0;"NC State Game";Game
"Kyle Sturdivant";1;Guards;64242;14;2.712;0.005;0.684;1.006;0.888;0.129;0;0.023;0;0.006;0.008;0.007;0.001;0;1;Guard;64;15.81;1.37;7133;1;319;2497;706;42;3567;5369;205.05;1.72;113.86;0.96;107.95;0.91;0;0;11.71;0.676;0.915;0.377;0.744;175.78;226.06;128.63;156.83;25.73;468;5883;448;333;1.03;426.86;3.59;687.3;5.78;1.246;662;732.99;6.17;306.89;2.58;282.2;2.37;19.64;0.17;-13.28;1341.72;11.29;0.353;0.003;0.314;0.003;185;30432.58;256;340.56;2.86;14.88;0;0;1768.58;0;0;5406.64;173;5743;1119;97;234.82;27.23;1.18;399.07;3.36;7.6;908.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;60;51;58;1;1.43;0.5;0.43;0.49;0.01;33;18;15;0.28;0.15;0.13;174;1.46;136;34;42;48;12;1.14;0.29;0.35;0.4;0.1;237;85;30;102;20;1.99;0.72;0.25;0.86;0.17;56;12;14;30;0.47;0.1;0.12;0.25;166;6;146;13;1;1.4;0.05;1.23;0.11;0.01;104;18;29;57;0.87;0.15;0.24;0.48;64;14;23;25;2;0.54;0.12;0.19;0.21;0.02;0;0;0;0;0;0;0;0;0;0;0;0;"NC State Game";Game
"Mike Devoe";1;Guards;29933;13;3.518;0;0.803;1.319;1.329;0.066;0;0.03;0;0.007;0.011;0.011;0.001;0;0;Guard;57;14.13;1.79;7072;0;380;3318;1119;21;2235;6383;288.78;2.45;118.64;1.01;71.55;0.61;1.09;0.01;12.15;0.812;1.453;0.638;0.614;191.83;332.09;188.44;125.11;17.64;516;5594;689;273;1.27;480.05;4.07;837.47;7.1;1.218;624;976.43;8.28;325.84;2.76;195.82;1.66;0;0;-11.74;1498.09;12.71;0.307;0.003;0.2;0.002;110;22164.42;188.03;255.82;2.17;16.78;0;0;1978.14;0;0;5994.18;198;4926;1877;72;297.99;31.13;1.55;480.44;4.08;9.7;1143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;32;50;47;3;1.12;0.27;0.42;0.4;0.03;32;17;15;0.27;0.14;0.13;146;1.24;119;38;51;29;1;1.01;0.32;0.43;0.25;0.01;221;65;45;102;9;1.87;0.55;0.38;0.87;0.08;77;3;34;40;0.65;0.03;0.29;0.34;125;3;119;2;1;1.06;0.03;1.01;0.02;0.01;126;10;34;82;1.07;0.08;0.29;0.7;53;6;32;14;1;0.45;0.05;0.27;0.12;0.01;0;0;0;0;0;0;0;0;0;0;0;0;"NC State Game";Game
"Miles Kelly";1;Guards;63392;22;1.162;0;0.3;0.472;0.345;0.045;0;0.01;0;0.003;0.004;0.003;0;0;13;Guard;57;14.29;0.58;7194;0;132;1390;276;15;5382;2488;110.8;0.92;36.67;0.31;31.27;0.26;1.09;0.01;12;0.295;0.485;0.186;0.195;64.54;137.93;54.9;36.95;7.99;167;6739;209;78;0.44;179.84;1.5;294.32;2.45;0.418;193;404.73;3.38;90;0.75;78.55;0.66;6.55;0.05;-12.03;579.82;4.84;0.139;0.001;0.102;0.001;48;9850.52;82.15;127.01;1.06;6.34;0;0;759.65;0;0;5073;51;6618;486;39;83.73;29.43;0.49;146.4;1.22;2.8;338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;15;9;12;2;0.32;0.13;0.08;0.1;0.02;21;11;10;0.18;0.09;0.08;66;0.55;39;9;12;14;4;0.33;0.08;0.1;0.12;0.03;60;18;16;23;3;0.5;0.15;0.13;0.19;0.03;18;2;3;13;0.15;0.02;0.03;0.11;60;2;54;3;1;0.5;0.02;0.45;0.03;0.01;35;7;8;20;0.29;0.06;0.07;0.17;31;6;11;14;0;0.26;0.05;0.09;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;"NC State Game";Game
"Rodney Howard";2;Bigs;50662;25;3.196;0;0.886;1.129;1.02;0.161;0;0.027;0;0.008;0.01;0.009;0.001;0;24;Center;59;14.6;1.65;7003;0;394;2718;863;50;2977;6042;245.11;2.1;110.45;0.95;125.07;1.07;1.09;0.01;11.87;0.811;1.168;0.452;0.765;208.99;258.03;143.9;184.92;12.04;538;5580;495;390;1.21;481.73;4.13;795.85;6.82;1.384;773;911.49;7.81;388.7;3.33;218.66;1.87;3.27;0.03;-12.3;1522.13;13.04;0.468;0.004;0.354;0.003;174;43753.43;374.88;392.13;3.36;17.17;0;0;2003.85;0;0;6486.74;208;5269;1411;115;356.03;26.16;1.44;573.92;4.92;11.5;1337.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169;67;34;65;3;1.45;0.57;0.29;0.56;0.03;54;27;27;0.46;0.23;0.23;225;1.93;139;29;69;39;2;1.19;0.25;0.59;0.33;0.02;248;91;41;87;29;2.12;0.78;0.35;0.75;0.25;106;34;17;55;0.91;0.29;0.15;0.47;134;9;100;19;6;1.15;0.08;0.86;0.16;0.05;111;42;13;56;0.95;0.36;0.11;0.48;78;10;33;34;1;0.67;0.09;0.28;0.29;0.01;0;0;0;0;0;0;0;0;0;0;0;0;"NC State Game";Game
