Name;"Group Id";"Group name";"League ID";"Player ID";"Distance (mi)";"Distance (speed | extreme) (mi)";"Distance (speed | high) (mi)";"Distance (speed | low) (mi)";"Distance (speed | medium) (mi)";"Distance (speed | very high) (mi)";"Distance (speed | very low) (mi)";"Distance / min (mi)";"Distance / min (speed | extreme) (mi)";"Distance / min (speed | high) (mi)";"Distance / min (speed | low) (mi)";"Distance / min (speed | medium) (mi)";"Distance / min (speed | very high) (mi)";"Distance / min (speed | very low) (mi)";Number;Position;"Speed (% of max.) (%)";"Speed (max.) (mph)";"Speed (Ø) (mph)";"Time (s)";"Time (speed | extreme) (s)";"Time (speed | high) (s)";"Time (speed | low) (s)";"Time (speed | medium) (s)";"Time (speed | very high) (s)";"Time (speed | very low) (s)";"Time on Playing Field (s)";"Accel 1";"Accel 1 / min";"Accel 2";"Accel 2 / min";"Accel 3";"Accel 3 / min";"Accel 4";"Accel 4 / min";"Acceleration (max.) (ft/s²)";"Acceleration Load (distance | high) (mi)";"Acceleration Load (distance | low) (mi)";"Acceleration Load (distance | medium) (mi)";"Acceleration Load (distance | very high) (mi)";"Acceleration Load (load | high)";"Acceleration Load (load | low)";"Acceleration Load (load | medium)";"Acceleration Load (load | very high)";"Acceleration Load (max.)";"Acceleration Load (time | high) (s)";"Acceleration Load (time | low) (s)";"Acceleration Load (time | medium) (s)";"Acceleration Load (time | very high) (s)";"Acceleration Load / min";"Accels Load";"Accels Load / min";"Accumulated Acceleration Load";"Accumulated Acceleration Load / min";"Anaerobic Activity (distance) (mi)";"Anaerobic Activity (time) (s)";"Decel 1";"Decel 1 / min";"Decel 2";"Decel 2 / min";"Decel 3";"Decel 3 / min";"Decel 4";"Decel 4 / min";"Deceleration (max.) (ft/s²)";"Decels Load";"Decels Load / min";"High Metabolic Power Distance (m)";"High Metabolic Power Distance / min (m)";"High Speed and Acceleration Distance (m)";"High Speed and Acceleration Distance / min (m)";"High Speed and Acceleration Time (s)";"Jump Load (J)";"Jump Load / min (J)";"Jump Load per mass (J/kg)";"Jump Load per mass / min (J/kg)";"Mechanical Intensity";"Mechanical Intensity (def.)";"Mechanical Intensity (off.)";"Mechanical Load";"Mechanical Load (def.)";"Mechanical Load (off.)";"Metabolic Power (max.) (W)";"Metabolic Power (time | high) (s)";"Metabolic Power (time | low) (s)";"Metabolic Power (time | medium) (s)";"Metabolic Power (time | very high) (s)";"Metabolic Power (Ø) (W)";"Metabolic Power per mass (max.) (W/kg)";"Metabolic Power per mass (Ø) (W/kg)";"Metabolic Work (kcal)";"Metabolic Work / min (kcal)";"Physio Intensity";"Physio Load";"Heart Rate (max.) (bpm)";"Heart Rate (min.) (bpm)";"Heart Rate (time | 0 - 50%) (s)";"Heart Rate (time | 50 - 60%) (s)";"Heart Rate (time | 60 - 70%) (s)";"Heart Rate (time | 70 - 80%) (s)";"Heart Rate (time | 80 - 90%) (s)";"Heart Rate (time | ≥ 90%) (s)";"Heart Rate (Ø) (bpm)";"Heart Rate Recoveries";"Heart Rate Recoveries / min";"Human Core Temperature (max.) (°F)";"Human Core Temperature (Ø) (°F)";TRIMP;Accelerations;"Accelerations (high)";"Accelerations (low)";"Accelerations (medium)";"Accelerations (very high)";"Accelerations / min";"Accelerations / min (high)";"Accelerations / min (low)";"Accelerations / min (medium)";"Accelerations / min (very high)";"Changes of Direction";"Changes of Direction (left)";"Changes of Direction (right)";"Changes of Direction / min";"Changes of Direction / min (left)";"Changes of Direction / min (right)";"Changes of Orientation";"Changes of Orientation / min";Decelerations;"Decelerations (high)";"Decelerations (low)";"Decelerations (medium)";"Decelerations (very high)";"Decelerations / min";"Decelerations / min (high)";"Decelerations / min (low)";"Decelerations / min (medium)";"Decelerations / min (very high)";Exertions;"Exertions (high)";"Exertions (low)";"Exertions (medium)";"Exertions (very high)";"Exertions / min";"Exertions / min (high)";"Exertions / min (low)";"Exertions / min (medium)";"Exertions / min (very high)";FCTs;"FCTs (high)";"FCTs (low)";"FCTs (medium)";"FCTs / min";"FCTs / min (high)";"FCTs / min (low)";"FCTs / min (medium)";Jumps;"Jumps (high)";"Jumps (low)";"Jumps (medium)";"Jumps (very high)";"Jumps / min";"Jumps / min (high)";"Jumps / min (low)";"Jumps / min (medium)";"Jumps / min (very high)";MCTs;"MCTs (high)";"MCTs (low)";"MCTs (medium)";"MCTs / min";"MCTs / min (high)";"MCTs / min (low)";"MCTs / min (medium)";Sprints;"Sprints (high)";"Sprints (low)";"Sprints (medium)";"Sprints (very high)";"Sprints / min";"Sprints / min (high)";"Sprints / min (low)";"Sprints / min (medium)";"Sprints / min (very high)";"Noah Shots";"Noah Shots (make)";"Noah Shots (miss)";"Noah Shots / min";"Noah Shots / min (make)";"Noah Shots / min (miss)";"RSPCT Shots";"RSPCT Shots (make)";"RSPCT Shots (miss)";"RSPCT Shots / min";"RSPCT Shots / min (make)";"RSPCT Shots / min (miss)";Description;Types
"Deebo Coleman";1;GUARDS;63391;19;2.8;0;0;0;0;0;0;0.022;0;0;0;0;0;0;10;Forward;63;15.6;1.31;7730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.54;0.871;0.31;1.078;157.86;213.43;101.99;256.64;11.49;398;6474;371;487;1;384.95;2.99;729.92;5.67;1.496;777;0;0;0;0;0;0;0;0;0;1305.41;10.13;0;0;0;0;0;24653.75;191.36;252.81;1.96;13.12;0;0;1690.36;0;0;0;0;0;0;0;0;0;0;428.55;3.33;7.9;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;171;1.33;0;0;0;0;0;0;0;0;0;0;186;62;28;50;46;1.44;0.48;0.22;0.39;0.36;0;0;0;0;0;0;0;0;121;2;110;4;5;0.94;0.02;0.85;0.03;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #2 Stetson";Game
"Devion Smith";1;GUARDS;63390;30;2.823;0;0;0;0;0;0;0.022;0;0;0;0;0;0;5;Forward;70;17.35;1.32;7734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.651;0.955;0.384;0.834;166.02;240.08;112.72;187.29;10.17;414;6552;397;370;0.97;433.27;3.36;706.11;5.48;1.32;664;0;0;0;0;0;0;0;0;0;1368.68;10.62;0;0;0;0;0;27577.21;213.95;353.46;2.74;13.98;0;0;1801.95;0;0;0;0;0;0;0;0;0;0;360.78;2.8;6.4;825.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159;1.23;0;0;0;0;0;0;0;0;0;0;191;60;38;63;30;1.48;0.47;0.29;0.49;0.23;0;0;0;0;0;0;0;0;149;3;129;4;13;1.16;0.02;1;0.03;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #2 Stetson";Game
"Jalon Moore";1;GUARDS;63393;23;0.795;0;0;0;0;0;0;0.006;0;0;0;0;0;0;14;Forward;55;13.72;0.37;7734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.135;0.422;0.134;0.103;34.05;121.37;36.28;26.03;7.66;88;7456;136;54;0.3;126;0.98;217.74;1.69;0.207;117;0;0;0;0;0;0;0;0;0;414.95;3.22;0;0;0;0;0;10457.06;81.13;109.26;0.85;4.2;0;0;540.95;0;0;0;0;0;0;0;0;0;0;111.89;0.87;2.2;285.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0.23;0;0;0;0;0;0;0;0;0;0;33;12;5;15;1;0.26;0.09;0.04;0.12;0.01;0;0;0;0;0;0;0;0;37;4;23;7;3;0.29;0.03;0.18;0.05;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #2 Stetson";Game
"Jehloni James";2;BIGS;63396;28;0.336;0;0;0;0;0;0;0.003;0;0;0;0;0;0;35;Forward;38;9.36;0.16;7734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005;0.303;0.022;0.006;1.39;103.46;5.42;1.64;6.69;4;7703;24;4;0.15;87;0.67;111.91;0.87;0.008;5;0;0;0;0;0;0;0;0;0;260.05;2.02;0;0;0;0;0;2246.05;17.42;25.79;0.2;2.69;0;0;347.05;0;0;0;0;0;0;0;0;0;0;41.5;0.32;0.9;109.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0.02;0;0;0;0;0;0;0;0;0;0;3;1;1;0;1;0.02;0.01;0.01;0;0.01;0;0;0;0;0;0;0;0;7;0;5;0;2;0.05;0;0.04;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #2 Stetson";Game
"Jermontae Hill";1;GUARDS;63394;29;0.359;0;0;0;0;0;0;0.003;0;0;0;0;0;0;43;Forward;29;7.17;0.17;7734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004;0.316;0.039;0;0.91;87.89;8.84;0;4.46;3;7698;33;0;0.13;75.95;0.59;97.63;0.76;0.001;1;0;0;0;0;0;0;0;0;0;217.91;1.69;0;0;0;0;0;718.08;5.57;8;0.06;2.28;0;0;293.86;0;0;0;0;0;0;0;0;0;0;44.84;0.35;0.9;120.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0.01;0;0.01;0;0;0;0;0;0;0;0;0;0;3;0;2;1;0;0.02;0;0.02;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #2 Stetson";Game
"Jordan Meka";2;BIGS;64244;24;0.849;0;0;0;0;0;0;0.007;0;0;0;0;0;0;23;Center;56;13.92;0.4;7730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.153;0.489;0.104;0.103;36.71;123.9;30.41;22.62;8.14;95;7479;109;48;0.29;140.27;1.09;213.64;1.66;0.219;111;0;0;0;0;0;0;0;0;0;438.14;3.4;0;0;0;0;0;8267.91;64.18;81.01;0.63;4.49;0;0;578.41;0;0;0;0;0;0;0;0;0;0;130.57;1.01;2.5;325.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0.25;0;0;0;0;0;0;0;0;0;0;33;12;3;16;2;0.26;0.09;0.02;0.12;0.02;0;0;0;0;0;0;0;0;23;2;12;5;4;0.18;0.02;0.09;0.04;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #2 Stetson";Game
"Jordan Usher";1;GUARDS;37356;17;3.263;0;0;0;0;0;0;0.026;0;0;0;0;0;0;4;Forward;69;17.25;1.54;7658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.624;1.49;0.371;0.777;170.82;302.2;118.02;188.91;9.86;436;6420;429;374;1.08;491.5;3.85;779.95;6.11;1.263;693;0;0;0;0;0;0;0;0;0;1523.18;11.93;0;0;0;0;0;40421.04;316.7;405.06;3.17;15.78;0;0;2014.68;0;0;0;0;0;0;0;0;0;0;509.63;3.99;9.6;1221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;199;1.56;0;0;0;0;0;0;0;0;0;0;192;61;26;68;37;1.5;0.48;0.2;0.53;0.29;0;0;0;0;0;0;0;0;155;12;124;8;11;1.21;0.09;0.97;0.06;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #2 Stetson";Game
"Khalid Moore";1;GUARDS;29932;21;2.252;0;0;0;0;0;0;0.018;0;0;0;0;0;0;12;Forward;63;15.59;1.06;7674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.628;0.847;0.379;0.399;145.91;191.56;110;86.72;8.5;379;6712;399;184;0.74;334.09;2.61;534.19;4.18;0.874;448;0;0;0;0;0;0;0;0;0;1035.82;8.1;0;0;0;0;0;25416.85;198.73;269.39;2.11;10.71;0;0;1369.91;0;0;0;0;0;0;0;0;0;0;340.34;2.66;6.2;796.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;0.85;0;0;0;0;0;0;0;0;0;0;144;36;27;71;10;1.13;0.28;0.21;0.56;0.08;0;0;0;0;0;0;0;0;125;6;110;7;2;0.98;0.05;0.86;0.05;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #2 Stetson";Game
"Kyle Sturdivant";1;GUARDS;64242;14;2.084;0;0;0;0;0;0;0.016;0;0;0;0;0;0;1;Guard;64;16.01;0.97;7734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.485;0.829;0.283;0.487;132.25;183.82;86.51;110.9;8.12;338;6853;310;233;0.71;316.55;2.46;513.49;3.98;0.847;470;0;0;0;0;0;0;0;0;0;1027.23;7.97;0;0;0;0;0;25758.5;199.84;288.26;2.24;10.43;0;0;1343.77;0;0;0;0;0;0;0;0;0;0;296.68;2.3;5.4;698.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118;0.92;0;0;0;0;0;0;0;0;0;0;155;54;21;64;16;1.2;0.42;0.16;0.5;0.12;0;0;0;0;0;0;0;0;136;3;124;8;1;1.06;0.02;0.96;0.06;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #2 Stetson";Game
"Michael Devoe";1;GUARDS;29933;31;2.868;0;0;0;0;0;0;0.022;0;0;0;0;0;0;99;Guard;51;12.8;1.34;7734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.692;1.351;0.426;0.4;179.06;312.69;140.13;92.93;7.53;467;6547;517;203;1;476.86;3.7;724.82;5.62;0.938;543;0;0;0;0;0;0;0;0;0;1487.73;11.54;0;0;0;0;0;18631.51;144.55;215.05;1.67;15.24;0;0;1964.59;0;0;0;0;0;0;0;0;0;0;384.29;2.98;7.2;932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125;0.97;0;0;0;0;0;0;0;0;0;0;192;49;40;102;1;1.49;0.38;0.31;0.79;0.01;0;0;0;0;0;0;0;0;100;3;92;5;0;0.78;0.02;0.71;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #2 Stetson";Game
