Name;"Group Id";"Group name";"League ID";"Player ID";"Distance (mi)";"Distance (speed | extreme) (mi)";"Distance (speed | high) (mi)";"Distance (speed | low) (mi)";"Distance (speed | medium) (mi)";"Distance (speed | very high) (mi)";"Distance (speed | very low) (mi)";"Distance / min (mi)";"Distance / min (speed | extreme) (mi)";"Distance / min (speed | high) (mi)";"Distance / min (speed | low) (mi)";"Distance / min (speed | medium) (mi)";"Distance / min (speed | very high) (mi)";"Distance / min (speed | very low) (mi)";Number;Position;"Speed (% of max.) (%)";"Speed (max.) (mph)";"Speed (Ø) (mph)";"Time (s)";"Time (speed | extreme) (s)";"Time (speed | high) (s)";"Time (speed | low) (s)";"Time (speed | medium) (s)";"Time (speed | very high) (s)";"Time (speed | very low) (s)";"Time on Playing Field (s)";"Accel 1";"Accel 1 / min";"Accel 2";"Accel 2 / min";"Accel 3";"Accel 3 / min";"Accel 4";"Accel 4 / min";"Acceleration (max.) (ft/s²)";"Acceleration Load (distance | high) (mi)";"Acceleration Load (distance | low) (mi)";"Acceleration Load (distance | medium) (mi)";"Acceleration Load (distance | very high) (mi)";"Acceleration Load (load | high)";"Acceleration Load (load | low)";"Acceleration Load (load | medium)";"Acceleration Load (load | very high)";"Acceleration Load (max.)";"Acceleration Load (time | high) (s)";"Acceleration Load (time | low) (s)";"Acceleration Load (time | medium) (s)";"Acceleration Load (time | very high) (s)";"Acceleration Load / min";"Accels Load";"Accels Load / min";"Accumulated Acceleration Load";"Accumulated Acceleration Load / min";"Anaerobic Activity (distance) (mi)";"Anaerobic Activity (time) (s)";"Decel 1";"Decel 1 / min";"Decel 2";"Decel 2 / min";"Decel 3";"Decel 3 / min";"Decel 4";"Decel 4 / min";"Deceleration (max.) (ft/s²)";"Decels Load";"Decels Load / min";"High Metabolic Power Distance (m)";"High Metabolic Power Distance / min (m)";"High Speed and Acceleration Distance (m)";"High Speed and Acceleration Distance / min (m)";"High Speed and Acceleration Time (s)";"Jump Load (J)";"Jump Load / min (J)";"Jump Load per mass (J/kg)";"Jump Load per mass / min (J/kg)";"Mechanical Intensity";"Mechanical Intensity (def.)";"Mechanical Intensity (off.)";"Mechanical Load";"Mechanical Load (def.)";"Mechanical Load (off.)";"Metabolic Power (max.) (W)";"Metabolic Power (time | high) (s)";"Metabolic Power (time | low) (s)";"Metabolic Power (time | medium) (s)";"Metabolic Power (time | very high) (s)";"Metabolic Power (Ø) (W)";"Metabolic Power per mass (max.) (W/kg)";"Metabolic Power per mass (Ø) (W/kg)";"Metabolic Work (kcal)";"Metabolic Work / min (kcal)";"Physio Intensity";"Physio Load";"Heart Rate (max.) (bpm)";"Heart Rate (min.) (bpm)";"Heart Rate (time | 0 - 50%) (s)";"Heart Rate (time | 50 - 60%) (s)";"Heart Rate (time | 60 - 70%) (s)";"Heart Rate (time | 70 - 80%) (s)";"Heart Rate (time | 80 - 90%) (s)";"Heart Rate (time | ≥ 90%) (s)";"Heart Rate (Ø) (bpm)";"Heart Rate Recoveries";"Heart Rate Recoveries / min";"Human Core Temperature (max.) (°F)";"Human Core Temperature (Ø) (°F)";TRIMP;Accelerations;"Accelerations (high)";"Accelerations (low)";"Accelerations (medium)";"Accelerations (very high)";"Accelerations / min";"Accelerations / min (high)";"Accelerations / min (low)";"Accelerations / min (medium)";"Accelerations / min (very high)";"Changes of Direction";"Changes of Direction (left)";"Changes of Direction (right)";"Changes of Direction / min";"Changes of Direction / min (left)";"Changes of Direction / min (right)";"Changes of Orientation";"Changes of Orientation / min";Decelerations;"Decelerations (high)";"Decelerations (low)";"Decelerations (medium)";"Decelerations (very high)";"Decelerations / min";"Decelerations / min (high)";"Decelerations / min (low)";"Decelerations / min (medium)";"Decelerations / min (very high)";Exertions;"Exertions (high)";"Exertions (low)";"Exertions (medium)";"Exertions (very high)";"Exertions / min";"Exertions / min (high)";"Exertions / min (low)";"Exertions / min (medium)";"Exertions / min (very high)";FCTs;"FCTs (high)";"FCTs (low)";"FCTs (medium)";"FCTs / min";"FCTs / min (high)";"FCTs / min (low)";"FCTs / min (medium)";Jumps;"Jumps (high)";"Jumps (low)";"Jumps (medium)";"Jumps (very high)";"Jumps / min";"Jumps / min (high)";"Jumps / min (low)";"Jumps / min (medium)";"Jumps / min (very high)";MCTs;"MCTs (high)";"MCTs (low)";"MCTs (medium)";"MCTs / min";"MCTs / min (high)";"MCTs / min (low)";"MCTs / min (medium)";Sprints;"Sprints (high)";"Sprints (low)";"Sprints (medium)";"Sprints (very high)";"Sprints / min";"Sprints / min (high)";"Sprints / min (low)";"Sprints / min (medium)";"Sprints / min (very high)";"Noah Shots";"Noah Shots (make)";"Noah Shots (miss)";"Noah Shots / min";"Noah Shots / min (make)";"Noah Shots / min (miss)";"RSPCT Shots";"RSPCT Shots (make)";"RSPCT Shots (miss)";"RSPCT Shots / min";"RSPCT Shots / min (make)";"RSPCT Shots / min (miss)";Description;Types
"Deebo Coleman";1;GUARDS;63391;19;2.784;0;0;0;0;0;0;0.02;0;0;0;0;0;0;10;Forward;65;16.09;1.23;8179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.539;0.895;0.308;1.042;151.83;231.83;95.61;250.14;10.15;380;6977;343;479;0.95;395.82;2.9;729.41;5.35;1.449;753;0;0;0;0;0;0;0;0;0;1331.73;9.77;0;0;0;0;0;23126.73;169.65;237.15;1.74;12.67;0;0;1727.55;0;0;0;0;0;0;0;0;0;0;423.91;3.11;7.5;1018.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;1.15;0;0;0;0;0;0;0;0;0;0;182;66;23;49;44;1.34;0.48;0.17;0.36;0.32;0;0;0;0;0;0;0;0;107;4;94;6;3;0.78;0.03;0.69;0.04;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #8 UNC";Game
"Devion Smith";1;GUARDS;63390;30;2.001;0;0;0;0;0;0;0.015;0;0;0;0;0;0;5;Forward;67;16.55;0.88;8179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.412;0.803;0.211;0.576;102.66;190.3;64.18;130.9;10.51;258;7429;232;260;0.64;322.09;2.36;488.04;3.58;0.9;450;0;0;0;0;0;0;0;0;0;987.14;7.24;0;0;0;0;0;13746.39;100.84;176.19;1.29;9.6;0;0;1309.23;0;0;0;0;0;0;0;0;0;0;254.06;1.86;4.3;585.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0.7;0;0;0;0;0;0;0;0;0;0;119;60;13;25;21;0.87;0.44;0.1;0.18;0.15;0;0;0;0;0;0;0;0;64;7;47;6;4;0.47;0.05;0.34;0.04;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #8 UNC";Game
"Jordan Meka";2;BIGS;64244;24;0.409;0;0;0;0;0;0;0.003;0;0;0;0;0;0;23;Center;29;7.2;0.18;8179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.015;0.359;0.028;0.007;5.1;103.42;7.29;2.96;7.06;14;8130;28;6;0.15;91.91;0.67;118.77;0.87;0.013;14;0;0;0;0;0;0;0;0;0;268.77;1.97;0;0;0;0;0;3105.56;22.78;30.43;0.22;2.65;0;0;360.68;0;0;0;0;0;0;0;0;0;0;59.81;0.44;1.1;156.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0.04;0;0;0;0;0;0;0;0;0;0;10;3;5;1;1;0.07;0.02;0.04;0.01;0.01;0;0;0;0;0;0;0;0;13;0;13;0;0;0.1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #8 UNC";Game
"Jordan Usher";1;GUARDS;37356;17;2.493;0;0;0;0;0;0;0.018;0;0;0;0;0;0;4;Forward;64;15.99;1.1;8179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.517;1.121;0.337;0.518;137.88;259.35;109.56;121.45;9.56;366;7170;391;252;0.82;404.27;2.97;628.24;4.61;0.899;501;0;0;0;0;0;0;0;0;0;1258.36;9.23;0;0;0;0;0;30356.43;222.69;304.2;2.23;12.2;0;0;1662.64;0;0;0;0;0;0;0;0;0;0;392.07;2.88;6.8;932.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155;1.14;0;0;0;0;0;0;0;0;0;0;175;66;34;64;11;1.28;0.48;0.25;0.47;0.08;0;0;0;0;0;0;0;0;115;4;93;11;7;0.84;0.03;0.68;0.08;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #8 UNC";Game
"Khalid Moore";1;GUARDS;29932;21;3.327;0;0;0;0;0;0;0.025;0;0;0;0;0;0;12;Forward;68;16.97;1.47;8142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.001;1.073;0.485;0.768;234.31;255.42;143.83;169.86;9.42;597;6680;516;350;1.05;488.5;3.6;803.42;5.92;1.547;777;0;0;0;0;0;0;0;0;0;1576.23;11.62;0;0;0;0;0;33180.31;244.51;351.67;2.59;15.22;0;0;2064.73;0;0;0;0;0;0;0;0;0;0;506.77;3.73;8.7;1177.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;195;1.44;0;0;0;0;0;0;0;0;0;0;225;80;43;84;18;1.66;0.59;0.32;0.62;0.13;0;0;0;0;0;0;0;0;176;4;162;7;3;1.3;0.03;1.19;0.05;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #8 UNC";Game
"Kyle Sturdivant";1;GUARDS;64242;14;2.64;0;0;0;0;0;0;0.019;0;0;0;0;0;0;1;Guard;63;15.6;1.16;8179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.589;0.984;0.365;0.702;154.5;219.65;109.19;154.61;8.81;397;7067;395;320;0.83;404.45;2.97;637.95;4.68;1.15;599;0;0;0;0;0;0;0;0;0;1278;9.38;0;0;0;0;0;23644.68;173.45;264.6;1.94;12.34;0;0;1682.45;0;0;0;0;0;0;0;0;0;0;383.2;2.81;6.5;884.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;0.97;0;0;0;0;0;0;0;0;0;0;188;76;21;69;22;1.38;0.56;0.15;0.51;0.16;0;0;0;0;0;0;0;0;135;3;126;6;0;0.99;0.02;0.92;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #8 UNC";Game
"Michael Devoe";1;GUARDS;29933;31;3.431;0;0;0;0;0;0;0.025;0;0;0;0;0;0;99;Guard;63;15.65;1.51;8179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.796;1.556;0.506;0.573;215.55;348.13;164.35;139.22;9.76;555;6714;612;298;1.13;510.77;3.75;867.25;6.36;1.207;708;0;0;0;0;0;0;0;0;0;1679.45;12.32;0;0;0;0;0;25065.21;183.87;289.3;2.12;16.07;0;0;2190.23;0;0;0;0;0;0;0;0;0;0;457.75;3.36;8.2;1114.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188;1.38;0;0;0;0;0;0;0;0;0;0;235;71;41;113;10;1.72;0.52;0.3;0.83;0.07;0;0;0;0;0;0;0;0;142;3;132;5;2;1.04;0.02;0.97;0.04;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #8 UNC";Game
"Miles Kelly";1;GUARDS;63392;22;1.63;0;0;0;0;0;0;0.012;0;0;0;0;0;0;13;Guard;53;13.11;0.72;8179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.427;0.648;0.284;0.271;101.04;179.15;83.57;58.28;9.14;265;7484;308;123;0.55;245.64;1.8;422.05;3.1;0.587;303;0;0;0;0;0;0;0;0;0;836.45;6.14;0;0;0;0;0;13038.64;95.65;168.11;1.23;7.94;0;0;1082.09;0;0;0;0;0;0;0;0;0;0;196.19;1.44;3.5;474.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0.47;0;0;0;0;0;0;0;0;0;0;98;29;26;39;4;0.72;0.21;0.19;0.29;0.03;0;0;0;0;0;0;0;0;93;3;87;1;2;0.68;0.02;0.64;0.01;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #8 UNC";Game
"Rodney Howard";2;BIGS;50662;25;2.645;0;0;0;0;0;0;0.019;0;0;0;0;0;0;24;Center;56;13.99;1.17;8179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.795;1.062;0.47;0.318;203.31;242.36;156.62;78.24;7.88;542;6900;559;178;0.89;474.59;3.48;680.54;4.99;0.908;551;0;0;0;0;0;0;0;0;0;1320.68;9.69;0;0;0;0;0;23696.79;173.84;212.37;1.56;13.17;0;0;1795.27;0;0;0;0;0;0;0;0;0;0;480.54;3.53;8.1;1106.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155;1.14;0;0;0;0;0;0;0;0;0;0;223;53;50;112;8;1.64;0.39;0.37;0.82;0.06;0;0;0;0;0;0;0;0;93;1;83;8;1;0.68;0.01;0.61;0.06;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #8 UNC";Game
"Saba Gigiberia";2;BIGS;50661;15;0.723;0;0;0;0;0;0;0.005;0;0;0;0;0;0;2;Center;58;14.55;0.32;8179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.083;0.457;0.078;0.106;24.75;141.21;21.51;28.84;8.14;62;7979;79;58;0.28;157.27;1.15;216.3;1.59;0.166;100;0;0;0;0;0;0;0;0;0;428.32;3.14;0;0;0;0;0;4685.88;34.37;41.66;0.31;4.3;0;0;585.59;0;0;0;0;0;0;0;0;0;0;122.47;0.9;2.2;305.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0.39;0;0;0;0;0;0;0;0;0;0;26;8;6;10;2;0.19;0.06;0.04;0.07;0.01;0;0;0;0;0;0;0;0;19;1;16;2;0;0.14;0.01;0.12;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Game #8 UNC";Game
