Name;"Group Id";"Group name";"League ID";"Player ID";"Distance (mi)";"Distance (speed | extreme) (mi)";"Distance (speed | high) (mi)";"Distance (speed | low) (mi)";"Distance (speed | medium) (mi)";"Distance (speed | very high) (mi)";"Distance (speed | very low) (mi)";"Distance / min (mi)";"Distance / min (speed | extreme) (mi)";"Distance / min (speed | high) (mi)";"Distance / min (speed | low) (mi)";"Distance / min (speed | medium) (mi)";"Distance / min (speed | very high) (mi)";"Distance / min (speed | very low) (mi)";Number;Position;"Speed (% of max.) (%)";"Speed (max.) (mph)";"Speed (Ø) (mph)";"Time (s)";"Time (speed | extreme) (s)";"Time (speed | high) (s)";"Time (speed | low) (s)";"Time (speed | medium) (s)";"Time (speed | very high) (s)";"Time (speed | very low) (s)";"Time on Playing Field (s)";"Accel 1";"Accel 1 / min";"Accel 2";"Accel 2 / min";"Accel 3";"Accel 3 / min";"Accel 4";"Accel 4 / min";"Acceleration (max.) (ft/s²)";"Acceleration Load (distance | high) (mi)";"Acceleration Load (distance | low) (mi)";"Acceleration Load (distance | medium) (mi)";"Acceleration Load (distance | very high) (mi)";"Acceleration Load (load | high)";"Acceleration Load (load | low)";"Acceleration Load (load | medium)";"Acceleration Load (load | very high)";"Acceleration Load (max.)";"Acceleration Load (time | high) (s)";"Acceleration Load (time | low) (s)";"Acceleration Load (time | medium) (s)";"Acceleration Load (time | very high) (s)";"Acceleration Load / min";"Accels Load";"Accels Load / min";"Accumulated Acceleration Load";"Accumulated Acceleration Load / min";"Anaerobic Activity (distance) (mi)";"Anaerobic Activity (time) (s)";"Decel 1";"Decel 1 / min";"Decel 2";"Decel 2 / min";"Decel 3";"Decel 3 / min";"Decel 4";"Decel 4 / min";"Deceleration (max.) (ft/s²)";"Decels Load";"Decels Load / min";"High Metabolic Power Distance (m)";"High Metabolic Power Distance / min (m)";"High Speed and Acceleration Distance (m)";"High Speed and Acceleration Distance / min (m)";"High Speed and Acceleration Time (s)";"Jump Load (J)";"Jump Load / min (J)";"Jump Load per mass (J/kg)";"Jump Load per mass / min (J/kg)";"Mechanical Intensity";"Mechanical Intensity (def.)";"Mechanical Intensity (off.)";"Mechanical Load";"Mechanical Load (def.)";"Mechanical Load (off.)";"Metabolic Power (max.) (W)";"Metabolic Power (time | high) (s)";"Metabolic Power (time | low) (s)";"Metabolic Power (time | medium) (s)";"Metabolic Power (time | very high) (s)";"Metabolic Power (Ø) (W)";"Metabolic Power per mass (max.) (W/kg)";"Metabolic Power per mass (Ø) (W/kg)";"Metabolic Work (kcal)";"Metabolic Work / min (kcal)";"Physio Intensity";"Physio Load";"Heart Rate (max.) (bpm)";"Heart Rate (min.) (bpm)";"Heart Rate (time | 0 - 50%) (s)";"Heart Rate (time | 50 - 60%) (s)";"Heart Rate (time | 60 - 70%) (s)";"Heart Rate (time | 70 - 80%) (s)";"Heart Rate (time | 80 - 90%) (s)";"Heart Rate (time | ≥ 90%) (s)";"Heart Rate (Ø) (bpm)";"Heart Rate Recoveries";"Heart Rate Recoveries / min";"Human Core Temperature (max.) (°F)";"Human Core Temperature (Ø) (°F)";TRIMP;Accelerations;"Accelerations (high)";"Accelerations (low)";"Accelerations (medium)";"Accelerations (very high)";"Accelerations / min";"Accelerations / min (high)";"Accelerations / min (low)";"Accelerations / min (medium)";"Accelerations / min (very high)";"Changes of Direction";"Changes of Direction (left)";"Changes of Direction (right)";"Changes of Direction / min";"Changes of Direction / min (left)";"Changes of Direction / min (right)";"Changes of Orientation";"Changes of Orientation / min";Decelerations;"Decelerations (high)";"Decelerations (low)";"Decelerations (medium)";"Decelerations (very high)";"Decelerations / min";"Decelerations / min (high)";"Decelerations / min (low)";"Decelerations / min (medium)";"Decelerations / min (very high)";Exertions;"Exertions (high)";"Exertions (low)";"Exertions (medium)";"Exertions (very high)";"Exertions / min";"Exertions / min (high)";"Exertions / min (low)";"Exertions / min (medium)";"Exertions / min (very high)";FCTs;"FCTs (high)";"FCTs (low)";"FCTs (medium)";"FCTs / min";"FCTs / min (high)";"FCTs / min (low)";"FCTs / min (medium)";Jumps;"Jumps (high)";"Jumps (low)";"Jumps (medium)";"Jumps (very high)";"Jumps / min";"Jumps / min (high)";"Jumps / min (low)";"Jumps / min (medium)";"Jumps / min (very high)";MCTs;"MCTs (high)";"MCTs (low)";"MCTs (medium)";"MCTs / min";"MCTs / min (high)";"MCTs / min (low)";"MCTs / min (medium)";Sprints;"Sprints (high)";"Sprints (low)";"Sprints (medium)";"Sprints (very high)";"Sprints / min";"Sprints / min (high)";"Sprints / min (low)";"Sprints / min (medium)";"Sprints / min (very high)";"Noah Shots";"Noah Shots (make)";"Noah Shots (miss)";"Noah Shots / min";"Noah Shots / min (make)";"Noah Shots / min (miss)";"RSPCT Shots";"RSPCT Shots (make)";"RSPCT Shots (miss)";"RSPCT Shots / min";"RSPCT Shots / min (make)";"RSPCT Shots / min (miss)";Description;Types
"Deebo Coleman";1;Guards;63391;19;2.535;0.01;0.654;0.766;0.914;0.19;0;0.021;0;0.006;0.006;0.008;0.002;0;10;Forward;65;16.18;1.29;7087;3;290;1986;747;59;4002;4497;176;1.49;87.25;0.74;103.14;0.87;3.64;0.03;13.91;0.464;0.843;0.227;0.999;142.82;208.44;84.99;245.84;14.32;360;5953;304;470;1.03;370.02;3.13;682.08;5.77;1.359;736;683.49;5.79;297.99;2.52;212.86;1.8;10.91;0.09;-12.84;1205.25;10.2;0.423;0.004;0.364;0.003;174;17691.21;149.77;181.41;1.54;13.34;0;0;1575.27;0;0;8060.28;131;5716;1129;111;240.2;37.19;1.11;404.52;3.42;7.8;927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;50;30;50;8;1.17;0.42;0.25;0.42;0.07;33;13;20;0.28;0.11;0.17;196;1.66;114;37;46;26;5;0.97;0.31;0.39;0.22;0.04;168;68;23;33;44;1.42;0.58;0.19;0.28;0.37;73;22;16;35;0.62;0.19;0.14;0.3;84;7;74;3;0;0.71;0.06;0.63;0.03;0;88;27;12;49;0.75;0.23;0.1;0.41;71;16;23;27;5;0.6;0.14;0.19;0.23;0.04;0;0;0;0;0;0;0;0;0;0;0;0;"Wake Forest Game";Game
"Deivon Smith";1;Guards;63390;18;2.009;0.01;0.491;0.743;0.612;0.153;0;0.018;0;0.004;0.007;0.005;0.001;0;5;Guard;62;15.42;1.07;6802;3;220;2045;514;47;3974;4305;173.11;1.53;67.91;0.6;70.55;0.62;1.09;0.01;12.96;0.502;0.75;0.257;0.499;121.97;201.42;83.48;101.02;8.52;315;5973;301;212;0.8;312.65;2.76;507.88;4.48;0.886;438;661.65;5.84;219.34;1.93;140.59;1.24;6.55;0.06;-12.69;1028.13;9.07;0.292;0.003;0.257;0.002;118;19088.27;168.37;244.66;2.16;11.83;0;0;1340.78;0;0;5812.32;95;5762;867;79;157.05;33.52;0.91;254.77;2.25;5.2;587.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;35;23;33;3;0.83;0.31;0.2;0.29;0.03;29;14;15;0.26;0.12;0.13;125;1.1;77;22;34;17;4;0.68;0.19;0.3;0.15;0.04;139;56;23;49;11;1.23;0.49;0.2;0.43;0.1;46;14;8;24;0.41;0.12;0.07;0.21;91;3;77;3;8;0.8;0.03;0.68;0.03;0.07;58;14;8;36;0.51;0.12;0.07;0.32;43;16;10;14;3;0.38;0.14;0.09;0.12;0.03;0;0;0;0;0;0;0;0;0;0;0;0;"Wake Forest Game";Game
"Jalon Moore";1;Guards;63393;23;0.322;0;0.003;0.253;0.066;0;0;0.003;0;0;0.002;0.001;0;0;14;Forward;35;8.76;0.17;6813;0;1;829;57;0;5926;2143;61.77;0.54;4.55;0.04;0;0;0;0;5.47;0.018;0.264;0.038;0.001;4;90.47;7.97;0.31;5.48;11;6765;35;1;0.16;66.31;0.58;102.75;0.9;0.006;4;227.74;2.01;6;0.05;0;0;0;0;-5.79;233.74;2.06;0.001;0;0;0;0;1395.66;12.29;14.58;0.13;2.64;0;0;300.06;0;0;2338.26;2;6695;117;0;27.85;10.99;0.13;45.26;0.4;1;115.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0.02;0;0.02;0;0;0;0;0;0;0;0;1;0.01;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0.04;0;0.04;0;0;1;0;1;0;0.01;0;0.01;0;5;0;4;0;1;0.04;0;0.04;0;0.01;1;0;1;0;0.01;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Wake Forest Game";Game
"Jordan Meka";2;Bigs;64244;24;0.371;0;0.023;0.245;0.103;0;0;0.003;0;0;0.002;0.001;0;0;23;Center;40;9.93;0.19;7062;0;11;1047;82;0;5922;2657;69.59;0.59;6.55;0.06;3.64;0.03;0;0;7.74;0.042;0.252;0.067;0.009;14.1;94.63;19.9;2.32;7.29;40;6944;73;5;0.2;79.77;0.68;130.94;1.11;0.029;24;257.45;2.19;11.18;0.09;3.82;0.03;0;0;-7.79;272.45;2.31;0.006;0;0.005;0;4;2567.68;21.81;25.16;0.21;2.99;0;0;352.23;0;0;3517.07;7;6928;126;2;33.28;15.51;0.15;57.26;0.49;1.2;141.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;6;2;0;0.08;0.01;0.05;0.02;0;0;0;0;0;0;0;4;0.03;1;0;1;0;0;0.01;0;0.01;0;0;15;2;9;4;0;0.13;0.02;0.08;0.03;0;1;0;1;0;0.01;0;0.01;0;8;2;5;0;1;0.07;0.02;0.04;0;0.01;1;0;1;0;0.01;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Wake Forest Game";Game
"Jordan Usher";1;Guards;37356;17;2.661;0.015;0.799;0.871;0.877;0.099;0;0.024;0;0.007;0.008;0.008;0.001;0;4;Forward;66;16.4;1.44;6680;4;366;2354;737;32;3187;4857;209.03;1.88;87.91;0.79;94.34;0.85;1.09;0.01;11.82;0.718;1.043;0.368;0.533;157.64;235.06;106.89;109.73;11.28;417;5641;393;229;0.94;392.37;3.52;609.32;5.47;1.066;518;742.45;6.67;268.57;2.41;215.45;1.94;9.82;0.09;-13.44;1236.29;11.1;0.354;0.003;0.281;0.003;147;27124.81;243.64;271.82;2.44;14.63;0;0;1628.66;0;0;7514.94;177;5200;1214;89;277.68;33.89;1.25;430.08;3.86;8.9;996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;45;34;49;1;1.16;0.4;0.31;0.44;0.01;30;17;13;0.27;0.15;0.12;107;0.96;119;28;46;40;5;1.07;0.25;0.41;0.36;0.04;176;51;34;77;14;1.58;0.46;0.31;0.69;0.13;62;8;15;39;0.56;0.07;0.13;0.35;103;5;88;6;4;0.93;0.04;0.79;0.05;0.04;86;20;15;51;0.77;0.18;0.13;0.46;52;6;18;25;3;0.47;0.05;0.16;0.22;0.03;0;0;0;0;0;0;0;0;0;0;0;0;"Wake Forest Game";Game
"Khalid Moore";1;Guards;29932;21;3;0.021;0.974;0.925;0.856;0.224;0;0.025;0;0.008;0.008;0.007;0.002;0;12;Forward;69;17.11;1.53;7071;5;428;2310;685;70;3573;5466;204.34;1.73;102.41;0.87;118.95;1.01;3.27;0.03;12.35;1.107;0.849;0.46;0.584;227.7;207.98;135.65;117.39;9.73;600;5730;493;247;1.04;428.98;3.64;688.72;5.84;1.436;666;768.02;6.52;343.5;2.91;256.3;2.17;6.55;0.06;-13.12;1374.36;11.66;0.527;0.004;0.449;0.004;206;24479.8;207.73;259.46;2.2;15.3;0;0;1803.34;0;0;6973;221;5553;1176;121;272.53;33.26;1.3;458.7;3.89;9;1061.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147;56;36;48;7;1.25;0.48;0.31;0.41;0.06;43;21;22;0.36;0.18;0.19;143;1.21;132;34;47;45;6;1.12;0.29;0.4;0.38;0.05;199;46;49;95;9;1.69;0.39;0.42;0.81;0.08;91;23;19;49;0.77;0.2;0.16;0.42;122;4;109;5;4;1.04;0.03;0.92;0.04;0.03;111;36;17;58;0.94;0.31;0.14;0.49;81;15;29;30;7;0.69;0.13;0.25;0.25;0.06;0;0;0;0;0;0;0;0;0;0;0;0;"Wake Forest Game";Game
"Kyle Sturdivant";1;Guards;64242;14;2.585;0.01;0.642;0.959;0.833;0.14;0;0.023;0;0.006;0.008;0.007;0.001;0;1;Guard;62;15.33;1.37;6800;3;295;2237;672;45;3549;4932;190.69;1.68;105.38;0.93;92.55;0.82;1.09;0.01;11.81;0.666;0.867;0.383;0.669;167.14;205.45;123.24;131.29;8.84;444;5639;438;278;0.97;389.7;3.44;627.12;5.53;1.166;583;689.73;6.09;303.2;2.68;242.18;2.14;13.09;0.12;-13.11;1248.2;11.01;0.366;0.003;0.317;0.003;166;22629.53;199.66;253.24;2.23;14.45;0;0;1637.9;0;0;5738.77;157;5436;1111;97;236.1;28.9;1.19;376.18;3.32;7.6;866.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;44;43;52;4;1.26;0.39;0.38;0.46;0.04;29;13;16;0.26;0.11;0.14;117;1.03;122;45;43;27;7;1.08;0.4;0.38;0.24;0.06;208;84;36;75;13;1.84;0.74;0.32;0.66;0.11;56;10;11;35;0.49;0.09;0.1;0.31;121;1;113;4;3;1.07;0.01;1;0.04;0.03;97;20;16;61;0.86;0.18;0.14;0.54;61;10;15;32;4;0.54;0.09;0.13;0.28;0.04;0;0;0;0;0;0;0;0;0;0;0;0;"Wake Forest Game";Game
"Mike Devoe";1;Guards;29933;13;3.192;0.007;0.783;1.271;1.068;0.062;0;0.028;0;0.007;0.011;0.009;0.001;0;0;Guard;62;15.51;1.68;6865;2;366;3065;882;20;2530;6067;266.79;2.33;109.11;0.95;79.8;0.7;1.09;0.01;11.97;0.796;1.317;0.53;0.548;188.9;299.98;152.15;108.05;12.86;492;5575;555;242;1.16;456.79;3.99;749.09;6.55;1.17;596;886.52;7.75;318.58;2.78;200.73;1.75;3.27;0.03;-12.78;1409.1;12.32;0.314;0.003;0.21;0.002;120;22233.3;194.33;256.62;2.24;16.31;0;0;1865.89;0;0;5582.23;184;5030;1577;74;268.18;28.99;1.39;437.86;3.83;9.1;1037.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;37;52;55;2;1.28;0.32;0.45;0.48;0.02;29;11;18;0.25;0.1;0.16;142;1.24;122;32;47;42;1;1.07;0.28;0.41;0.37;0.01;213;65;47;95;6;1.86;0.57;0.41;0.83;0.05;64;5;28;31;0.56;0.04;0.24;0.27;109;3;96;9;1;0.95;0.03;0.84;0.08;0.01;125;24;33;68;1.09;0.21;0.29;0.59;52;4;32;15;1;0.45;0.03;0.28;0.13;0.01;0;0;0;0;0;0;0;0;0;0;0;0;"Wake Forest Game";Game
"Miles Kelly";1;Guards;63392;22;1.527;0.014;0.336;0.699;0.411;0.067;0;0.013;0;0.003;0.006;0.003;0.001;0;13;Guard;66;16.37;0.77;7151;3;148;1792;339;20;4848;3668;139.81;1.17;45.56;0.38;45.45;0.38;5.09;0.04;15.19;0.396;0.66;0.248;0.222;89.74;172.87;72.12;41.45;9.21;238;6560;262;91;0.56;235.91;1.98;376.18;3.16;0.513;251;510.82;4.29;125.73;1.05;134.73;1.13;7.64;0.06;-12.83;778.91;6.54;0.188;0.002;0.174;0.001;87;8201.9;68.82;105.75;0.89;8.51;0;0;1014.82;0;0;8730.06;62;6380;661;48;110.48;50.65;0.64;190.48;1.6;3.7;444.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;25;11;21;4;0.51;0.21;0.09;0.18;0.03;24;13;11;0.2;0.11;0.09;84;0.7;55;19;9;25;2;0.46;0.16;0.08;0.21;0.02;90;21;28;39;2;0.76;0.18;0.23;0.33;0.02;30;10;5;15;0.25;0.08;0.04;0.13;59;1;56;2;0;0.5;0.01;0.47;0.02;0;45;14;10;21;0.38;0.12;0.08;0.18;35;5;10;17;3;0.29;0.04;0.08;0.14;0.03;0;0;0;0;0;0;0;0;0;0;0;0;"Wake Forest Game";Game
"Rodney Howard";2;Bigs;50662;25;1.812;0;0.514;0.697;0.524;0.076;0;0.015;0;0.004;0.006;0.004;0.001;0;24;Center;59;14.75;0.92;7082;0;221;1784;454;24;4598;4245;151.01;1.28;59.63;0.51;66.55;0.56;0;0;11.24;0.489;0.702;0.241;0.38;125.16;169.02;86.7;83.51;14.13;328;6271;302;180;0.7;277.18;2.35;464.4;3.93;0.759;413;543.26;4.6;228.1;1.93;112.91;0.96;6.68;0.06;-12.59;890.95;7.55;0.278;0.002;0.202;0.002;93;17240.7;146.08;154.51;1.31;9.9;0;0;1168.13;0;0;7152.9;113;6152;753;64;193.13;28.85;0.78;323.26;2.74;6.4;758.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;40;20;30;1;0.77;0.34;0.17;0.25;0.01;29;17;12;0.25;0.14;0.1;115;0.97;75;14;39;19;3;0.64;0.12;0.33;0.16;0.03;143;40;24;69;10;1.21;0.34;0.2;0.58;0.08;58;18;6;34;0.49;0.15;0.05;0.29;68;1;64;3;0;0.58;0.01;0.54;0.03;0;61;25;4;32;0.52;0.21;0.03;0.27;48;6;23;17;2;0.41;0.05;0.19;0.14;0.02;0;0;0;0;0;0;0;0;0;0;0;0;"Wake Forest Game";Game
