Session Type,Date,Session Name,Player Name,Player ID,Distance (mi),Accumulated Acceleration Load,Mechanical Load,Physio Load,M/P Ratio,Time on Playing Field,Jumps,Jump Load (J),Load/Jump,Minutes,Distance/Min,AA Load/Min,Mech Load/Min,Physio Load/Min,5 Day Avg Dist,5 Day Avg Load,St Dev Load
Practice,26-Sep,Practice #1,Lance Terry,0,3.042,873.7,2046.6,1039.5,1.9688312,1:01:34,220,40491.82,184.054,106.883,0.028,8.174,19.148,9.726,,,
Practice,26-Sep,Practice #1,Kyle Sturdivant,1,1.258,407.97,983.83,421.3,2.3352243,0:38:17,169,36448.4,215.671,106.883,0.012,3.817,9.205,3.942,,,
Practice,26-Sep,Practice #1,Deebo Coleman,3,3.108,889.65,1931.96,1135.9,1.7008187,1:15:46,184,36045.15,195.898,106.883,0.029,8.324,18.075,10.627,,,
Practice,26-Sep,Practice #1,Ja'von Franklin,4,2.616,718.86,1699.22,942.9,1.8021211,0:47:20,95,31174.22,328.15,106.883,0.024,6.726,15.898,8.822,,,
Practice,26-Sep,Practice #1,Devion Smith,5,3.39,906.03,2220.71,991.3,2.2401997,1:17:13,210,44508.35,211.945,106.883,0.032,8.477,20.777,9.275,,,
Practice,26-Sep,Practice #1,Cyril Martynov,10,2.042,577.5,1507.86,798.6,1.8881292,0:40:13,112,31797.86,283.909,106.883,0.019,5.403,14.108,7.472,,,
Practice,26-Sep,Practice #1,Tristan Maxwell,11,3.128,871.29,1905.75,1111.3,1.7148835,0:54:00,187,33326.26,178.215,106.883,0.029,8.152,17.83,10.397,,,
Practice,26-Sep,Practice #1,Miles Kelly,13,3.124,711.7,2058.27,908.2,2.266318,1:17:21,177,26627.29,150.437,106.883,0.029,6.659,19.257,8.497,,,
Practice,26-Sep,Practice #1,Jalon Moore,14,3.081,723.05,1845.13,1105.3,1.6693477,1:07:39,202,40823.1,202.095,106.883,0.029,6.765,17.263,10.341,,,
Practice,26-Sep,Practice #1,Jordan Meka,23,2.248,1167.25,1570.77,859.9,1.8266891,0:38:15,329,110200.6,334.956,106.883,0.021,10.921,14.696,8.045,,,
Practice,26-Sep,Practice #1,Rodney Howard,24,2.446,668.55,1618.96,1022.9,1.5827158,0:35:14,115,36604.34,318.299,106.883,0.023,6.255,15.147,9.57,,,
Practice,27-Sep,Practice #2,Lance Terry,0,2.896,804.12,1978.7,989.5,1.9996968,0:56:58,147,29144.47,198.262,108.817,0.027,7.39,18.184,9.093,,,
Practice,27-Sep,Practice #2,Kyle Sturdivant,1,2.928,592.9,1925.8,980.7,1.9636994,1:11:33,116,19667.98,169.552,108.817,0.027,5.449,17.698,9.012,,,
Practice,27-Sep,Practice #2,Deebo Coleman,3,2.914,813.21,1789.43,1065,1.680216,1:04:28,142,31535.22,222.079,108.817,0.027,7.473,16.444,9.787,,,
Practice,27-Sep,Practice #2,Ja'von Franklin,4,1.956,577.05,1481.45,705,2.1013475,0:37:25,60,21648.34,360.806,108.817,0.018,5.303,13.614,6.479,,,
Practice,27-Sep,Practice #2,Devion Smith,5,3.197,810.7,2049.18,934.7,2.1923398,1:07:13,133,27330.37,205.492,108.817,0.029,7.45,18.831,8.59,,,
Practice,27-Sep,Practice #2,Cyril Martynov,10,1.966,539.68,1549.83,768.9,2.0156457,0:39:32,74,21798.22,294.571,108.817,0.018,4.96,14.243,7.066,,,
Practice,27-Sep,Practice #2,Tristan Maxwell,11,3.153,847.16,1887.93,1120.2,1.6853508,1:09:32,108,18292.42,169.374,108.817,0.029,7.785,17.35,10.294,,,
Practice,27-Sep,Practice #2,Miles Kelly,13,3.104,678.15,1912.73,902.3,2.1198382,1:07:42,100,18148.2,181.482,108.817,0.029,6.232,17.578,8.292,,,
Practice,27-Sep,Practice #2,Jalon Moore,14,3.278,704.15,1950.81,1175.8,1.6591342,1:08:43,119,30115.6,253.072,108.817,0.03,6.471,17.927,10.805,,,
Practice,27-Sep,Practice #2,Jordan Meka,23,2.045,1048.16,1534.89,782,1.9627749,0:34:44,333,109417.8,328.582,108.817,0.019,9.632,14.105,7.186,,,
Practice,27-Sep,Practice #2,Rodney Howard,24,2.603,658.22,1675.97,1088.7,1.5394232,0:45:03,126,35263.22,279.867,108.817,0.024,6.049,15.402,10.005,,,
Practice,29-Sep,Practice #3,Lance Terry,0,3.204,926.71,2233.87,1094.7,2.040623,1:33:25,229,39566.55,172.78,125.567,0.026,7.38,17.79,8.718,2.969,838.91,61.4813584
Practice,29-Sep,Practice #3,Kyle Sturdivant,1,1.931,685.21,531.83,646.7,0.8223751,1:00:09,152,33534.49,220.622,125.567,0.015,5.457,4.235,5.15,2.093,500.435,141.174985
Practice,29-Sep,Practice #3,Deebo Coleman,3,3.693,1117.33,2671.63,1349.8,1.9792784,2:07:23,424,84020.87,198.162,175.567,0.021,6.364,15.217,7.688,3.011,851.43,158.203577
Practice,29-Sep,Practice #3,Ja'von Franklin,4,2.531,739.41,1879.66,912.3,2.060353,1:06:27,90,30245.52,336.061,125.567,0.02,5.889,14.969,7.265,2.286,647.955,88.4054563
Practice,29-Sep,Practice #3,Devion Smith,5,2.898,830.58,2048.51,847.4,2.4174062,1:29:47,240,40973.6,170.723,125.567,0.023,6.615,16.314,6.749,3.294,858.365,50.2920236
Practice,29-Sep,Practice #3,Cyril Martynov,10,2.284,600.58,1653.35,893,1.8514558,0:53:10,116,33386.73,287.817,125.567,0.018,4.783,13.167,7.112,2.004,558.59,30.7458637
Practice,29-Sep,Practice #3,Tristan Maxwell,11,3.159,956.83,2200.37,1122.5,1.9602405,1:24:03,185,34291.46,185.359,125.567,0.025,7.62,17.524,8.939,3.141,859.225,57.629358
Practice,29-Sep,Practice #3,Miles Kelly,13,4.032,983.71,2840.47,1171.9,2.423816,2:11:38,350,52706.79,150.591,175.567,0.023,5.603,16.179,6.675,3.114,694.925,167.571853
Practice,29-Sep,Practice #3,Jalon Moore,14,4.143,944.75,2736.12,1486.2,1.8410174,2:08:32,328,64524.3,196.72,175.567,0.024,5.381,15.585,8.465,3.18,713.6,133.788677
Practice,29-Sep,Practice #3,Jordan Meka,23,1.673,526.56,661.56,639.8,1.0340106,0:39:26,67,19762.42,294.961,125.567,0.013,4.193,5.269,5.095,2.147,1107.705,340.766945
Practice,29-Sep,Practice #3,Rodney Howard,24,2.576,709.59,1791.67,1077.4,1.6629571,0:54:28,142,47576.42,335.045,125.567,0.021,5.651,14.269,8.58,2.525,663.385,27.1718831
